股票代码,所属概念数量,code,所属概念,market_code
600611.SH,15,600611,网约车;百度概念;云计算;算力租赁;互联网金融;无人驾驶;低空经济;东数西算(算力);旅游概念;数据中心(AIDC);创投;参股券商;物业管理;沪股通;融资融券,17
002329.SZ,14,002329,乳业;绿色电力;生态农业;乡村振兴;跨境电商;三胎概念;西部大开发;文化传媒概念;数字经济;智慧城市;一带一路;冷链物流;光伏概念;融资融券,33
002248.SZ,3,002248,新型工业化;工业母机;高端装备,33
002585.SZ,17,002585,PET铜箔;OLED;柔性屏(折叠屏);消费电子概念;小米概念;光伏概念;华为概念;锂电池概念;新能源汽车;可降解塑料;区块链;建筑节能;绿色电力;参股银行;MLCC概念;融资融券;深股通,33
002762.SZ,10,002762,三胎概念;家用电器;消毒剂;毛发医疗;网红经济;医美概念;托育服务;IP经济(谷子经济);摘帽;股权转让(并购重组),33
002715.SZ,4,002715,创投;新能源汽车;比亚迪概念;黄金概念,33
002229.SZ,20,002229,算力租赁;数字水印;Web3.0;云计算;ChatGPT概念;虚拟数字人;AIGC概念;数据要素;元宇宙;区块链;东数西算(算力);数字经济;DeepSeek概念;人工智能;数据中心(AIDC);体育产业;海峡两岸;福建自贸区;融资融券;深股通,33
000779.SZ,22,000779,新型城镇化;房屋检测;乡村振兴;污水处理;新疆振兴;土壤修复;建筑节能;水利;数字经济;数据要素;国企改革;AI应用;西部大开发;DeepSeek概念;国资云;人工智能;一带一路;数字孪生;低空经济;抽水蓄能;数据中心(AIDC);光伏概念,33
002235.SZ,18,002235,Web3.0;知识产权保护;NFT概念;文化传媒概念;数据确权;数据要素;区块链;体育产业;独角兽概念;物业管理;网络安全;蚂蚁集团概念;福建自贸区;海峡两岸;比亚迪概念;深股通;股权转让(并购重组);融资融券,33
002963.SZ,18,002963,智慧灯杆;数字孪生;新型城镇化;雄安新区;智慧城市;物业管理;旅游概念;腾讯概念;物联网;阿里巴巴概念;换电概念;碳中和;华为概念;液冷服务器;数据中心(AIDC);储能;充电桩;高压快充,33
603797.SH,4,603797,新型城镇化;污水处理;PPP概念;粤港澳大湾区,17
603887.SH,12,603887,算力租赁;东数西算(算力);腾讯概念;阿里巴巴概念;抖音概念(字节概念);数据中心(AIDC);华为概念;液冷服务器;PPP概念;融资融券;沪股通;股权转让(并购重组),17
600272.SH,5,600272,医药电商;民营医院;参股银行;国企改革;2026中报预增,17
600667.SH,9,600667,存储芯片;先进封装;OLED;芯片概念;光伏建筑一体化;沪股通;融资融券;绿色电力;国企改革,17
001258.SZ,12,001258,绿色电力;光热发电;风电;碳中和;充电桩;新疆振兴;储能;特高压;国企改革;西部大开发;2026中报预增;深股通,33
603106.SH,22,603106,互联网金融;区块链;鸿蒙概念;智慧政务;国产操作系统;AI应用;华为鲲鹏;虚拟数字人;AIGC概念;智慧城市;信创;人工智能;人脸识别;数据安全;语音技术;智能医疗;京津冀一体化;云计算;雄安新区;物业管理;天津自贸区;沪股通,17
600721.SH,13,600721,青蒿素;肝炎概念;物业管理;流感;细胞免疫治疗;创新药;合成生物;CRO概念;减肥药;新疆振兴;国企改革;西部大开发;股权转让(并购重组),17
603179.SH,6,603179,特斯拉概念;机器人概念;比亚迪概念;新能源汽车;沪股通;融资融券,17
603137.SH,6,603137,装配式建筑;建筑节能;新型城镇化;光伏建筑一体化;股权转让(并购重组);融资融券,17
603897.SH,8,603897,机器人概念;工业互联网;比亚迪概念;新能源汽车;一带一路;高股息精选;沪股通;融资融券,17
603823.SH,4,603823,光刻胶;PEEK材料;钠离子电池;沪股通,17
600881.SH,15,600881,物业管理;体育产业;水泥概念;参股银行;禽流感;参股券商;医药电商;生物疫苗;国企改革;创新药;医疗器械概念;煤炭概念;沪股通;融资融券;股权转让(并购重组),17
600162.SH,7,600162,物业管理;沪股通;融资融券;京津冀一体化;养老概念;民营医院;粤港澳大湾区,17
600126.SH,15,600126,算力租赁;国资云;东数西算(算力);阿里巴巴概念;数据中心(AIDC);智慧城市;DeepSeek概念;数字经济;特钢概念;绿色电力;汽车拆解概念;比亚迪概念;国企改革;沪股通;融资融券,17
002194.SZ,14,002194,6G概念;职业教育;毫米波雷达;卫星导航;军工;华为概念;商业航天;5G;汽车电子;创投;芯片概念;共封装光学(CPO);融资融券;深股通,33
603009.SH,7,603009,人形机器人;汽车热管理;特斯拉概念;比亚迪概念;新能源汽车;融资融券;沪股通,17
603284.SH,6,603284,参股银行;乡村振兴;注册制次新股;专精特新;新股与次新股;融资融券,17
603087.SH,8,603087,创新药;减肥药;眼科医疗;医疗器械概念;智能医疗;虚拟数字人;沪股通;融资融券,17
000802.SZ,3,000802,文化传媒概念;IP经济(谷子经济);旅游概念,33
605286.SH,9,605286,虚拟电厂;东数西算(算力);人工智能;风电;储能;绿色电力;氢能源;新型城镇化;沪股通,17
002859.SZ,13,002859,PCB概念;PET铜箔;消费电子概念;超导概念;可控核聚变;专精特新;宁德时代概念;固态电池;锂电池概念;一带一路;深股通;MLCC概念;融资融券,33
605288.SH,9,605288,新能源汽车;智能家居;人民币贬值受益;医疗器械概念;智能医疗;一带一路;光伏概念;创投;沪股通,17
603655.SH,1,603655,新能源汽车,17
605179.SH,7,605179,乳业;三胎概念;冷链物流;乡村振兴;共同富裕示范区;长三角一体化;沪股通,17
688449.SH,8,688449,存储芯片;汽车芯片;芯片概念;AI PC;物联网;2026中报预增;沪股通;融资融券,17
600833.SH,5,600833,宠物经济;医药电商;上海国企改革;国企改革;2026中报预增,17
600683.SH,9,600683,特色小镇;物业管理;土地流转;创投;养老概念;国企改革;京津冀一体化;旅游概念;沪股通,17
002246.SZ,12,002246,军民融合;军工;核电;商业航天;核污染防治;专精特新;西部大开发;国企改革;垃圾分类;深股通;2026中报预增;融资融券,33
002031.SZ,12,002031,减速器;工业母机;人形机器人;机器视觉;机器人概念;高端装备;智能物流;航空发动机;人民币贬值受益;冷链物流;深股通;融资融券,33
600863.SH,10,600863,超超临界发电;煤炭概念;高股息精选;绿色电力;国企改革;风电;央企国企改革;西部大开发;沪股通;融资融券,17
603758.SH,8,603758,长安汽车概念;人形机器人;新能源汽车;西部大开发;传感器;消费电子概念;沪股通;融资融券,17
600664.SH,15,600664,流感;医药电商;维生素;仿制药一致性评价;肝炎概念;创新药;黑龙江自贸区;三胎概念;养老概念;跨境电商;DeepSeek概念;沪股通;融资融券;冷链物流;民营医院,17
002256.SZ,11,002256,光伏建筑一体化;绿色电力;盐湖提锂;碳中和;染料;储能;化肥;AI手机;锂电池概念;深股通;融资融券,33
002212.SZ,55,002212,数据安全;数据确权;云办公;财税数字化;华为鲲鹏;网络安全;华为昇腾;智慧政务;云计算;AI智能体;区块链;ChatGPT概念;电子身份证;鸿蒙概念;数字货币;信创;AI应用;阿里巴巴概念;多模态AI;国产操作系统;腾讯概念;DeepSeek概念;互联网金融;智慧城市;跨境支付(CIPS);数字水印;车联网(车路协同);人工智能;数字经济;EDR概念;物联网;东数西算(算力);工业互联网;华为概念;智慧灯杆;量子科技;低空经济;水利;数据中心(AIDC);智能电网;雄安新区;一带一路;无人机;机器人概念;储能;新型工业化;卫星导航;5G;商业航天;芯片概念;深股通;无人驾驶;数字孪生;数据要素;融资融券,33
603883.SH,8,603883,医药电商;养老概念;医疗器械概念;智能医疗;AI智能体;腾讯概念;沪股通;融资融券,17
000859.SZ,11,000859,光刻胶;柔性屏(折叠屏);芯片概念;新能源汽车;装配式建筑;雄安新区;一带一路;国企改革;MLCC概念;深股通;融资融券,33
603488.SH,3,603488,军工;军工信息化;虚拟现实,17
002685.SZ,14,002685,高端装备;专精特新;军工;新型工业化;传感器;信创;DeepSeek概念;一带一路;芯片概念;航运概念;深股通;2026中报预增;股权转让(并购重组);融资融券,33
603012.SH,11,603012,长三角一体化;高端装备;中俄贸易概念;新能源汽车;工业互联网;华为概念;人工智能;AIGC概念;煤炭概念;沪股通;融资融券,17
002687.SZ,1,002687,创投,33
600107.SH,4,600107,ST板块;天然气;储能;医药电商,22
603188.SH,3,603188,染料;固废处理;国企改革,17
002047.SZ,15,002047,股权转让(并购重组);光伏建筑一体化;横琴新区;装配式建筑;风电;元宇宙;一带一路;虚拟现实;国企改革;智慧城市;粤港澳大湾区;智能穿戴;AI眼镜;深股通;摘帽,33
301201.SZ,9,301201,细胞免疫治疗;CRO概念;创新药;肝炎概念;合成生物;专精特新;减肥药;深股通;融资融券,33
600759.SH,7,600759,俄乌冲突概念;天然气;ST板块;土地流转;海南自贸区;一带一路;人民币贬值受益,22
600715.SH,10,600715,网络游戏;NFT概念;短剧游戏;手机游戏;文化传媒概念;国企改革;AI应用;虚拟现实;沪股通;股权转让(并购重组),17
300092.SZ,15,300092,中俄贸易概念;高端装备;核污染防治;军工;一带一路;核电;水利;氢能源;光伏概念;商业航天;西部大开发;可降解塑料;硅能源;天然气;超超临界发电,33
688017.SH,9,688017,减速器;人形机器人;新型工业化;同花顺新质50;机器人概念;专精特新;中国AI 50;沪股通;融资融券,17
300164.SZ,9,300164,页岩气;俄乌冲突概念;天然气;新疆振兴;碳中和;西部大开发;一带一路;人民币贬值受益;深股通,33
603863.SH,1,603863,粤港澳大湾区,17
920088.BJ,7,920088,一带一路;空气能热泵;净水概念;专精特新;新疆振兴;融资融券;西部大开发,151
301230.SZ,14,301230,CRO概念;创新药;智能医疗;流感;合成生物;医疗器械概念;ChatGPT概念;AI应用;多模态AI;人工智能;人民币贬值受益;减肥药;深股通;融资融券,33
688469.SH,22,688469,第三代半导体;汽车芯片;MCU芯片;中芯国际概念;芯片概念;MicroLED概念;AI眼镜;消费电子概念;5G;传感器;数据中心(AIDC);光伏概念;特高压;智能电网;充电桩;比亚迪概念;储能;无人驾驶;新能源汽车;机器人概念;沪股通;融资融券,17
301148.SZ,9,301148,核污染防治;专精特新;海峡两岸;核电;福建自贸区;新型城镇化;污水处理;深股通;融资融券,33
300105.SZ,12,300105,雄安新区;DeepSeek概念;碳中和;固废处理;风电;国企改革;华为概念;PM2.5;超超临界发电;央企国企改革;储能;光伏概念,33
300449.SZ,14,300449,数字水印;东数西算(算力);知识产权保护;网络安全;智慧城市;人脸识别;安防;华为概念;车联网(车路协同);AI智能体;垃圾分类;人工智能;军工;股权转让(并购重组),33
600605.SH,6,600605,芯片概念;租售同权;物业管理;存储芯片;液冷服务器;沪股通,17
301281.SZ,5,301281,数字经济;维生素;仿制药一致性评价;股权转让(并购重组);融资融券,33
002896.SZ,9,002896,减速器;人形机器人;新型工业化;机器人概念;新能源汽车;共同富裕示范区;长三角一体化;融资融券;深股通,33
301333.SZ,7,301333,CRO概念;创新药;智能医疗;人工智能;AIGC概念;深股通;融资融券,33
603439.SH,9,603439,流感;医药电商;三胎概念;阿尔茨海默概念;创新药;西部大开发;专精特新;股权转让(并购重组);沪股通,17
002727.SZ,9,002727,医药电商;三胎概念;养老概念;跨境电商;西部大开发;职业教育;医疗器械概念;深股通;融资融券,33
600353.SH,24,600353,光刻机;第三代半导体;先进封装;可控核聚变;5G;特高压;柔性直流输电;核电;航空发动机;东数西算(算力);无人机;军工;智能电网;无人驾驶;军民融合;人形机器人;风电;智慧城市;虚拟电厂;信创;西部大开发;DeepSeek概念;沪股通;融资融券,17
300319.SZ,25,300319,共封装光学(CPO);消费电子概念;汽车电子;英伟达概念;5G;智能穿戴;AI眼镜;人形机器人;芯片概念;小米概念;存储芯片;比亚迪概念;华为概念;新能源汽车;机器人概念;无人机;东数西算(算力);充电桩;粤港澳大湾区;阿里巴巴概念;储能;深圳国企改革;国企改革;融资融券;深股通,33
300903.SZ,29,300903,共封装光学(CPO);存储芯片;先进封装;PCB概念;MiniLED;芯片概念;消费电子概念;5G;汽车电子;毫米波雷达;小米概念;数据中心(AIDC);比亚迪概念;专精特新;血氧仪;新能源汽车;锂电池概念;无人机;充电桩;储能;军工;机器人概念;粤港澳大湾区;钠离子电池;低空经济;工业互联网;第三代半导体;深股通;融资融券,33
300051.SZ,8,300051,云计算;福建自贸区;HJT电池;海峡两岸;TOPCON电池;储能;光伏概念;钙钛矿电池,33
688166.SH,10,688166,重组蛋白;减肥药;仿制药一致性评价;创新药;细胞免疫治疗;流感;合成生物;创投;沪股通;融资融券,17
689009.SH,11,689009,两轮车;跨境电商;DeepSeek概念;人工智能;机器人概念;国产操作系统;车联网(车路协同);储能;小米概念;英伟达概念;融资融券,17
688062.SH,5,688062,重组蛋白;创新药;智能医疗;沪股通;融资融券,17
300902.SZ,21,300902,安防;物联网;军民融合;军工;低空经济;无人机;数据要素;福建自贸区;专精特新;飞行汽车(eVTOL);机器人概念;海峡两岸;长安汽车概念;比亚迪概念;一带一路;新能源汽车;储能;宁德时代概念;特高压;AI应用;融资融券,33
301225.SZ,12,301225,汽车热管理;华为汽车;PEEK材料;车联网(车路协同);比亚迪概念;专精特新;新能源汽车;医疗器械概念;燃料电池;氢能源;深股通;融资融券,33
688536.SH,16,688536,汽车芯片;MCU芯片;共封装光学(CPO);芯片概念;5G;传感器;智能座舱;专精特新;无人机;储能;人形机器人;安防;机器人概念;股权转让(并购重组);沪股通;融资融券,17
002850.SZ,13,002850,减速器;PEEK材料;人形机器人;特斯拉概念;机器人概念;新能源汽车;比亚迪概念;宁德时代概念;固态电池;锂电池概念;储能;深股通;融资融券,33
601619.SH,9,601619,绿色电力;风电;碳交易;智能电网;储能;氢能源;西部大开发;沪股通;融资融券,17
003023.SZ,9,003023,露营经济;宠物经济;三胎概念;医疗器械概念;跨境电商;家用电器;西部大开发;智能家居;消毒剂,33
688335.SH,6,688335,污水处理;碳交易;专精特新;氢能源;绿色电力;融资融券,17
000820.SZ,5,000820,金属铜;固废处理;储能;光伏概念;摘帽,33
688428.SH,3,688428,创新药;沪股通;融资融券,17
300345.SZ,13,300345,HJT电池;TOPCON电池;BC电池;硅能源;光伏概念;碳中和;储能;军民融合;军工;智能电网;机器人概念;华为概念;智慧城市,33
920433.BJ,2,920433,西部大开发;融资融券,151
300175.SZ,8,300175,土地流转;冷链物流;数字经济;人民币贬值受益;工业大麻;数据中心(AIDC);期货概念;摘帽,33
000636.SZ,29,000636,超级电容;共封装光学(CPO);AI眼镜;5G;液冷服务器;汽车电子;智能穿戴;高压快充;数据中心(AIDC);光伏概念;传感器;东数西算(算力);华为概念;商业航天;深股通;卫星导航;储能;比亚迪概念;粤港澳大湾区;小金属概念;锂电池概念;无人机;机器人概念;创投;低空经济;国企改革;MLCC概念;2026中报预增;融资融券,33
688305.SH,18,688305,工业母机;新型工业化;机器人概念;高端装备;专精特新;新能源汽车;航空发动机;军工;无人机;低空经济;商业航天;大飞机;华为概念;芯片概念;DeepSeek概念;核电;沪股通;融资融券,17
605117.SH,11,605117,2026一季报预增;储能;光伏概念;一带一路;人民币贬值受益;同花顺出海50;共同富裕示范区;家用电器;2026中报预增;融资融券;沪股通,17
920533.BJ,10,920533,储能;专精特新;宁德时代概念;特斯拉概念;人民币贬值受益;融资融券;机器人概念;人形机器人;无人驾驶;新能源汽车,151
688601.SH,13,688601,汽车芯片;芯片概念;AI手机;AI眼镜;消费电子概念;小米概念;汽车电子;比亚迪概念;机器人概念;民爆概念;创投;融资融券;沪股通,17
688260.SH,7,688260,光纤概念;消费电子概念;汽车电子;华为概念;无人驾驶;MLCC概念;融资融券,17
001360.SZ,10,001360,黄金概念;金属回收;专精特新;高端装备;雅下水电概念;锂电池概念;一带一路;固废处理;机器视觉;融资融券,33
002416.SZ,20,002416,参股保险;互联网金融;创投;锂电池概念;区块链;人工智能;粤港澳大湾区;AI智能体;新能源汽车;物联网;阿里巴巴概念;储能;虚拟现实;算力租赁;东数西算(算力);高股息精选;消费电子概念;苹果概念;深股通;融资融券,33
300281.SZ,13,300281,碳中和;粤港澳大湾区;中俄贸易概念;工业互联网;可降解塑料;养老概念;高端装备;国企改革;PVDF概念;卫星导航;商业航天;风电;绿色电力,33
300969.SZ,7,300969,人形机器人;汽车热管理;比亚迪概念;无人驾驶;新能源汽车;深股通;融资融券,33
301183.SZ,14,301183,共封装光学(CPO);F5G概念;华为手机;6G概念;消费电子概念;汽车电子;专精特新;小米概念;无人驾驶;虚拟现实;华为概念;2026中报预增;深股通;融资融券,33
301051.SZ,6,301051,柔性屏(折叠屏);智能穿戴;消费电子概念;储能;深股通;融资融券,33
301182.SZ,13,301182,光纤概念;铜缆高速连接;消费电子概念;专精特新;新能源汽车;华为概念;高压快充;安防;机器人概念;充电桩;一带一路;深股通;融资融券,33
688443.SH,4,688443,创新药;西部大开发;沪股通;融资融券,17
000639.SZ,7,000639,NMN概念;ST板块;网红经济;维生素;体育产业;跨境电商;阿里巴巴概念,33
300765.SZ,7,300765,减肥药;创新药;生物疫苗;维生素;融资融券;深股通,33
300895.SZ,23,300895,算力租赁;国资云;云计算;数据确权;东数西算(算力);数据安全;网络安全;抖音概念(字节概念);阿里巴巴概念;电力物联网;数据要素;数据中心(AIDC);数字孪生;数字经济;DeepSeek概念;物联网;量子科技;华为概念;京津冀一体化;核电;国企改革;深股通;融资融券,33
688052.SH,13,688052,汽车芯片;先进封装;MCU芯片;芯片概念;消费电子概念;汽车电子;传感器;物联网;人形机器人;新能源汽车;机器人概念;沪股通;融资融券,17
688309.SH,7,688309,专精特新;高端装备;人民币贬值受益;碳中和;固废处理;2026中报预增;融资融券,17
300212.SZ,36,300212,财税数字化;国资云;数据确权;华为鲲鹏;数据要素;AI智能体;智慧政务;数据安全;数字孪生;养老概念;华为数字能源;阿里巴巴概念;百度概念;独角兽概念;ST板块;雄安新区;信创;PPP概念;京津冀一体化;乡村振兴;网络安全;数字经济;DeepSeek概念;智慧城市;智能医疗;人工智能;国企改革;创投;央企国企改革;物联网;车联网(车路协同);一带一路;东数西算(算力);华为概念;数据中心(AIDC);无人驾驶,33
920130.BJ,13,920130,信创;AI应用;融资融券;PCB概念;专精特新;安防;充电桩;智慧城市;网约车;多模态AI;人工智能;AI智能体;阿里巴巴概念,151
000838.SZ,6,000838,租售同权;ST板块;固废处理;西部大开发;污水处理;股权转让(并购重组),33
300996.SZ,18,300996,财税数字化;华为鲲鹏;ERP概念;智慧政务;跨境支付(CIPS);信创;AI语料;AI应用;数据要素;区块链;AIGC概念;AI智能体;网络安全;数字经济;互联网金融;人工智能;小米概念;融资融券,33
600745.SH,25,600745,ST板块;同花顺漂亮100;车联网(车路协同);人民币贬值受益;虚拟现实;AI PC;华为概念;无线耳机;智能座舱;小米概念;智能穿戴;数据中心(AIDC);汽车电子;英伟达概念;消费电子概念;同花顺果指数;苹果概念;5G;AI手机;液冷服务器;芯片概念;汽车芯片;先进封装;第三代半导体;股权转让(并购重组),22
301080.SZ,10,301080,重组蛋白;细胞免疫治疗;猴痘概念;人民币贬值受益;人工智能;专精特新;智能医疗;创新药;深股通;融资融券,33
601882.SH,6,601882,工业母机;新型工业化;高端装备;共同富裕示范区;融资融券;沪股通,17
300979.SZ,6,300979,三胎概念;体育产业;人民币贬值受益;绿色电力;融资融券;深股通,33
003010.SZ,16,003010,宠物经济;三胎概念;跨境电商;文化传媒概念;拼多多概念;虚拟数字人;AIGC概念;AI应用;DeepSeek概念;数字经济;人工智能;阿里巴巴概念;粤港澳大湾区;虚拟现实;2026中报预增;深股通,33
920575.BJ,3,920575,ST板块;生物疫苗;重组蛋白,151
688218.SH,16,688218,专精特新;无线充电;高端装备;新型工业化;宁德时代概念;机器视觉;人形机器人;新能源汽车;低空经济;机器人概念;储能;特斯拉概念;人工智能;创投;DeepSeek概念;融资融券,17
688448.SH,3,688448,数据中心(AIDC);污水处理;融资融券,17
688212.SH,8,688212,医疗器械概念;智能医疗;人工智能;专精特新;AI应用;机器人概念;沪股通;融资融券,17
301303.SZ,6,301303,物联网;专精特新;新能源汽车;机器人概念;深股通;融资融券,33
688606.SH,11,688606,禽流感;宠物经济;幽门螺杆菌概念;肝炎概念;医疗器械概念;辅助生殖;猴痘概念;基因测序;人民币贬值受益;融资融券;沪股通,17
688046.SH,4,688046,专精特新;DeepSeek概念;沪股通;融资融券,17
300049.SZ,12,300049,医疗器械概念;家庭医生;智能医疗;三胎概念;参股保险;人民币贬值受益;西部大开发;肝炎概念;AI应用;医药电商;深股通;融资融券,33
300149.SZ,11,300149,细胞免疫治疗;重组蛋白;创新药;CRO概念;智能医疗;AI应用;DeepSeek概念;人民币贬值受益;深股通;股权转让(并购重组);融资融券,33
300763.SZ,6,300763,绿色电力;储能;光伏概念;芯片概念;融资融券;深股通,33
300274.SZ,13,300274,宁德时代概念;虚拟电厂;储能;氢能源;充电桩;风电;光伏概念;同花顺漂亮100;新能源汽车;深股通;融资融券;数据中心(AIDC);数字经济,33
300369.SZ,29,300369,数据安全;网络安全;MLOps概念;云计算;华为鲲鹏;华为欧拉;信创;智慧政务;国产操作系统;AI语料;数字水印;数据确权;腾讯概念;东数西算(算力);阿里巴巴概念;AI智能体;数据要素;区块链;AI应用;车联网(车路协同);DeepSeek概念;数据中心(AIDC);人工智能;独角兽概念;华为概念;工业互联网;京津冀一体化;深股通;融资融券,33
301195.SZ,15,301195,鸿蒙概念;机器视觉;DeepSeek概念;人工智能;机器人概念;无人驾驶;工业互联网;物联网;专精特新;华为概念;卫星导航;商业航天;芯片概念;5G;融资融券,33
300167.SZ,17,300167,股权转让(并购重组);横琴新区;ST板块;氢能源;虚拟数字人;在线教育;智慧城市;智能物流;智慧政务;AI智能体;安防;信创;华为概念;东数西算(算力);数据中心(AIDC);算力租赁;军工,33
920166.BJ,4,920166,专精特新;医疗器械概念;新股与次新股;融资融券,151
301413.SZ,14,301413,人形机器人;机器人概念;传感器;无人驾驶;新能源汽车;比亚迪概念;专精特新;华为概念;粤港澳大湾区;储能;创投;汽车芯片;深股通;融资融券,33
000517.SZ,5,000517,物业管理;建筑节能;长三角一体化;深股通;融资融券,33
688114.SH,11,688114,基因测序;脑机接口;智能医疗;AI智能体;合成生物;机器人概念;医疗器械概念;AI应用;重组蛋白;沪股通;融资融券,17
688296.SH,13,688296,数字孪生;数据要素;人工智能;物联网;净水概念;DeepSeek概念;水利;污水处理;华为概念;地下管网;专精特新;数据中心(AIDC);融资融券,17
688710.SH,8,688710,CRO概念;细胞免疫治疗;创新药;智能医疗;国企改革;央企国企改革;沪股通;融资融券,17
920100.BJ,11,920100,安防;智能物流;汽车热管理;3D打印;减速器;新股与次新股;融资融券;机器人概念;光伏概念;人形机器人;新型工业化,151
000537.SZ,10,000537,绿色电力;风电;光热发电;储能;新疆振兴;央企国企改革;国企改革;京津冀一体化;深股通;融资融券,33
301165.SZ,31,301165,WiFi 6;共封装光学(CPO);6G概念;5G;液冷服务器;中国AI 50;数据中心(AIDC);东数西算(算力);网络安全;小米概念;信创;云办公;抖音概念(字节概念);阿里巴巴概念;腾讯概念;百度概念;国资云;工业互联网;AI智能体;新型工业化;人工智能;快手概念;蚂蚁集团概念;AI应用;AIGC概念;数字经济;智能医疗;一带一路;国企改革;深股通;融资融券,33
300305.SZ,11,300305,PET铜箔;OLED;BC电池;光伏概念;锂电池概念;专精特新;新能源汽车;虚拟电厂;MLCC概念;PCB概念;比亚迪概念,33
600938.SH,14,600938,页岩气;天然气;高股息精选;同花顺中特估100;碳交易;国企改革;央企国企改革;绿色电力;风电;海工装备;同花顺出海50;沪股通;中字头股票;融资融券,17
002458.SZ,6,002458,养鸡;猪肉;乳业;深股通;2026中报预增;融资融券,33
603400.SH,11,603400,机器人概念;新能源汽车;消费电子概念;人民币贬值受益;汽车电子;智能家居;充电桩;储能;锂电池概念;沪股通;融资融券,17
301269.SZ,13,301269,国家大基金持股;先进封装;存储芯片;芯片概念;小米概念;专精特新;华为概念;信创;AI应用;京津冀一体化;国企改革;深股通;融资融券,33
603939.SH,5,603939,医药电商;家庭医生;沪股通;智能物流;融资融券,17
600518.SH,8,600518,医药电商;维生素;民营医院;医疗器械概念;智能医疗;粤港澳大湾区;融资融券;沪股通,17
002825.SZ,8,002825,燃料电池;专精特新;创投;氢能源;锂电池概念;人民币贬值受益;消费电子概念;固态电池,33
300171.SZ,12,300171,细胞免疫治疗;生物疫苗;合成生物;基因测序;医疗器械概念;智能医疗;DeepSeek概念;独角兽概念;机器人概念;华为概念;融资融券;深股通,33
688190.SH,7,688190,无线充电;专精特新;新能源汽车;央企国企改革;国企改革;沪股通;融资融券,17
920578.BJ,8,920578,新能源汽车;融资融券;新型工业化;工业母机;机器人概念;西部大开发;专精特新;工业互联网,151
300683.SZ,7,300683,细胞免疫治疗;重组蛋白;CRO概念;创新药;仿制药一致性评价;眼科医疗;股权转让(并购重组),33
001230.SZ,16,001230,车联网(车路协同);无人驾驶;智慧城市;数字经济;人工智能;物联网;专精特新;机器人概念;新能源汽车;DeepSeek概念;数据中心(AIDC);污水处理;垃圾分类;新型城镇化;固废处理;PPP概念,33
300483.SZ,4,300483,俄乌冲突概念;天然气;深股通;股权转让(并购重组),33
603038.SH,7,603038,净水概念;鸿蒙概念;人工智能;智能家居;粤港澳大湾区;华为概念;2026中报预增,17
