股票代码,code,所属概念数量,所属概念,market_code
688593.SH,688593,8,电子纸;AI眼镜;MicroLED概念;OLED;智能穿戴;芯片概念;沪股通;融资融券,17
300567.SZ,300567,21,国家大基金持股;存储芯片;中芯国际概念;先进封装;OLED;芯片概念;MiniLED;富士康概念;柔性屏(折叠屏);苹果概念;AI眼镜;MR(混合现实);小米概念;比亚迪概念;机器视觉;虚拟现实;华为概念;宁德时代概念;锂电池概念;深股通;融资融券,33
301526.SZ,301526,17,PCB概念;华为手机;5G;消费电子概念;汽车电子;特高压;光伏概念;华为概念;风电;工业互联网;绿色电力;数字经济;一带一路;西部大开发;国企改革;深股通;融资融券,33
301150.SZ,301150,10,PET铜箔;固态电池;锂电池概念;宁德时代概念;PCB概念;储能;专精特新;比亚迪概念;深股通;融资融券,33
300301.SZ,300301,5,ST板块;PPP概念;跨境电商;人民币贬值受益;储能,33
688627.SH,688627,11,存储芯片;OLED;芯片概念;MicroLED概念;专精特新;东数西算(算力);高端装备;机器人概念;粤港澳大湾区;沪股通;融资融券,17
920510.BJ,920510,8,新型工业化;芯片概念;融资融券;机器人概念;新能源汽车;减速器;人形机器人;专精特新,151
688507.SH,688507,15,数字孪生;人形机器人;AI智能体;在线教育;AI应用;传感器;低空经济;机器人概念;人工智能;军工;商业航天;海工装备;股权转让(并购重组);沪股通;融资融券,17
301592.SZ,301592,8,存储芯片;芯片概念;无人机;军工;军工信息化;西部大开发;深股通;融资融券,33
688090.SH,688090,13,芯片概念;传感器;机器视觉;比亚迪概念;专精特新;新型工业化;新能源汽车;机器人概念;数字孪生;人工智能;AI应用;沪股通;融资融券,17
300398.SZ,300398,13,存储芯片;光纤概念;中芯国际概念;先进封装;第三代半导体;光刻胶;OLED;芯片概念;电子纸;光伏概念;新能源汽车;深股通;融资融券,33
300671.SZ,300671,18,汽车芯片;存储芯片;MCU芯片;第三代半导体;芯片概念;先进封装;WiFi 6;5G;MiniLED;无线耳机;毫米波雷达;新型烟草(电子烟);专精特新;海峡两岸;粤港澳大湾区;智能家居;深股通;融资融券,33
920178.BJ,920178,8,芯片概念;高端装备;PCB概念;专精特新;苹果概念;机器视觉;新股与次新股;融资融券,151
688685.SH,688685,17,传感器;共封装光学(CPO);东数西算(算力);商业航天;专精特新;算力租赁;无人机;军工;航空发动机;高端装备;军民融合;人工智能;DeepSeek概念;独角兽概念;智能医疗;沪股通;融资融券,17
300083.SZ,300083,27,工业母机;新型工业化;人形机器人;一体化压铸;高端装备;比亚迪概念;机器人概念;飞行汽车(eVTOL);小米概念;新能源汽车;无线充电;消费电子概念;军工;智能穿戴;苹果概念;无人机;低空经济;工业互联网;粤港澳大湾区;华为概念;人工智能;液冷服务器;5G;创投;储能;深股通;融资融券,33
301611.SZ,301611,11,光刻机;存储芯片;第三代半导体;OLED;芯片概念;专精特新;锂电池概念;燃料电池;医疗器械概念;深股通;融资融券,33
688172.SH,688172,8,国家大基金持股;第三代半导体;MCU芯片;芯片概念;传感器;国企改革;沪股通;融资融券,17
300005.SZ,300005,21,露营经济;三胎概念;足球概念;跨境电商;冰雪产业;体育产业;MicroLED概念;柔性屏(折叠屏);AI眼镜;MiniLED;OLED;机器人概念;消费电子概念;智能穿戴;芯片概念;京津冀一体化;商业航天;汽车芯片;MCU芯片;融资融券;深股通,33
688502.SH,688502,13,光刻机;光刻胶;芯片概念;专精特新;智能穿戴;机器视觉;无人驾驶;虚拟现实;人民币贬值受益;基因测序;眼科医疗;沪股通;融资融券,17
688233.SH,688233,7,存储芯片;第三代半导体;芯片概念;专精特新;2025年报预增;沪股通;融资融券,17
688307.SH,688307,15,光刻机;智能穿戴;智能座舱;专精特新;机器视觉;虚拟现实;无人驾驶;无人机;华为概念;海峡两岸;机器人概念;安防;人工智能;沪股通;融资融券,17
688551.SH,688551,13,芯片概念;光伏概念;华为概念;专精特新;比亚迪概念;储能;新能源汽车;固态电池;低空经济;宁德时代概念;燃料电池;氢能源;融资融券,17
688361.SH,688361,8,国家大基金持股;中芯国际概念;存储芯片;先进封装;芯片概念;同花顺新质50;沪股通;融资融券,17
688416.SH,688416,14,存储芯片;汽车芯片;MCU芯片;中芯国际概念;芯片概念;消费电子概念;智能穿戴;小米概念;语音技术;智能家居;人工智能;AIGC概念;沪股通;融资融券,17
688352.SH,688352,8,先进封装;MCU芯片;第三代半导体;OLED;芯片概念;国企改革;沪股通;融资融券,17
688295.SH,688295,14,碳纤维;风电;大飞机;氢能源;商业航天;低空经济;国企改革;飞行汽车(eVTOL);专精特新;机器人概念;体育产业;沪股通;中字头股票;融资融券,17
300093.SZ,300093,8,HJT电池;建筑节能;光伏建筑一体化;钙钛矿电池;西部大开发;算力租赁;光伏概念;摘帽,33
688408.SH,688408,9,光热发电;储能;光伏建筑一体化;光伏概念;一带一路;人民币贬值受益;机器人概念;沪股通;融资融券,17
300390.SZ,300390,14,固态电池;小金属概念;2026一季报预增;锂电池概念;宁德时代概念;中芯国际概念;存储芯片;储能;芯片概念;新能源汽车;医疗器械概念;华为概念;融资融券;深股通,33
300195.SZ,300195,25,烟草;ERP概念;信创;网络安全;中俄贸易概念;人工智能;数字经济;工业互联网;物联网;区块链;智能物流;高端装备;机器人概念;新型工业化;专精特新;机器视觉;一带一路;锂电池概念;京津冀一体化;C2M概念;医疗器械概念;光伏概念;数据中心(AIDC);工业母机;绿色电力,33
688813.SH,688813,16,共封装光学(CPO);科创次新股;PCB概念;PET铜箔;注册制次新股;固态电池;锂电池概念;比亚迪概念;核电;军工;华为概念;氢能源;西部大开发;国企改革;新股与次新股;融资融券,17
688037.SH,688037,10,中芯国际概念;存储芯片;先进封装;光刻胶;芯片概念;华为海思概念股;专精特新;国企改革;沪股通;融资融券,17
301005.SZ,301005,26,卫星导航;航空发动机;商业航天;大飞机;军工;无人机;低空经济;专精特新;飞行汽车(eVTOL);PEEK材料;小米概念;机器人概念;汽车热管理;比亚迪概念;特斯拉概念;换电概念;新能源汽车;人形机器人;小米汽车;家用电器;华为汽车;创投;智能物流;氢能源;深股通;融资融券,33
300065.SZ,300065,24,军工信息化;商业航天;军工;国产航母;高端装备;传感器;专精特新;海工装备;云计算;机器人概念;腾讯概念;东数西算(算力);数据要素;数据中心(AIDC);阿里巴巴概念;人工智能;算力租赁;DeepSeek概念;2025年报预增;京津冀一体化;风电;深股通;融资融券;股权转让(并购重组),33
688401.SH,688401,10,先进封装;第三代半导体;OLED;PCB概念;MiniLED;芯片概念;消费电子概念;专精特新;沪股通;融资融券,17
301322.SZ,301322,7,中芯国际概念;先进封装;芯片概念;新能源汽车;人民币贬值受益;动力电池回收;融资融券,33
300814.SZ,300814,16,共封装光学(CPO);铜缆高速连接;先进封装;PCB概念;MiniLED;5G;汽车电子;毫米波雷达;华为数字能源;数据中心(AIDC);新能源汽车;华为概念;华为汽车;一带一路;深股通;融资融券,33
920199.BJ,920199,13,鸿蒙概念;高压氧舱;西部大开发;脑机接口;融资融券;机器人概念;智能医疗;家用电器;医疗器械概念;体育产业;人民币贬值受益;人工智能;IP经济(谷子经济),151
300446.SZ,300446,24,军民融合;军工;海工装备;高铁;高端装备;长安汽车概念;小米汽车;华为汽车;无人驾驶;专精特新;新能源汽车;比亚迪概念;民爆概念;华为概念;机器视觉;小米概念;智能座舱;央企国企改革;国企改革;芯片概念;页岩气;光刻胶;PCB概念;深股通,33
301305.SZ,301305,15,生物质能发电;绿色电力;碳交易;固废处理;碳中和;可降解塑料;三胎概念;粤港澳大湾区;合成生物;垃圾分类;创新药;PPP概念;人工智能;深股通;融资融券,33
688362.SH,688362,11,先进封装;MCU芯片;芯片概念;消费电子概念;汽车电子;5G;传感器;专精特新;数字货币;沪股通;融资融券,17
300571.SZ,300571,33,算力租赁;东数西算(算力);F5G概念;华为昇腾;快手概念;数据中心(AIDC);数字水印;WiFi 6;智谱AI;6G概念;共封装光学(CPO);多模态AI;5G;腾讯概念;阿里巴巴概念;芯片概念;智能音箱;数据要素;虚拟现实;鸿蒙概念;元宇宙;虚拟数字人;无人机;DeepSeek概念;数字经济;储能;低空经济;机器人概念;短剧游戏;人形机器人;智能家居;文化传媒概念;IP经济(谷子经济),33
300489.SZ,300489,11,先进封装;第三代半导体;核污染防治;新能源汽车;核电;军工;氢能源;无人驾驶;无人机;低空经济;深股通,33
300717.SZ,300717,6,可降解塑料;ETC;电子身份证;专精特新;参股银行;煤化工概念,33
301319.SZ,301319,12,先进封装;富士康概念;芯片概念;比亚迪概念;新能源汽车;专精特新;光伏概念;华为概念;低空经济;粤港澳大湾区;深股通;融资融券,33
688630.SH,688630,15,PCB概念;光刻机;先进封装;OLED;光刻胶;芯片概念;BC电池;2026一季报预增;光伏概念;TOPCON电池;专精特新;高端装备;2025年报预增;融资融券;沪股通,17
688266.SH,688266,5,重组蛋白;创新药;细胞免疫治疗;沪股通;融资融券,17
300857.SZ,300857,42,算力租赁;EDR概念;英伟达概念;东数西算(算力);云游戏;云计算;共封装光学(CPO);存储芯片;数据中心(AIDC);5G;芯片概念;腾讯概念;智能音箱;消费电子概念;汽车电子;AI眼镜;2026一季报预增;AI智能体;人脸识别;安防;车联网(车路协同);智能穿戴;小米概念;物联网;AIGC概念;AI应用;AI视频;DeepSeek概念;2025年报预增;人工智能;粤港澳大湾区;短剧游戏;机器人概念;人形机器人;智能家居;网络游戏;人民币贬值受益;净水概念;家用电器;跨境电商;融资融券;深股通,33
300480.SZ,300480,15,存储芯片;第三代半导体;先进封装;芯片概念;共封装光学(CPO);传感器;专精特新;华为概念;物联网;高端装备;工业母机;机器人概念;工业互联网;一带一路;深股通,33
688323.SH,688323,18,先进封装;PCB概念;柔性屏(折叠屏);芯片概念;固态电池;消费电子概念;钙钛矿电池;6G概念;专精特新;5G;光伏概念;华为概念;卫星导航;商业航天;储能;军工;风电;融资融券,17
688789.SH,688789,4,染料;人民币贬值受益;融资融券;沪股通,17
301248.SZ,301248,51,算力租赁;华为昇腾;东数西算(算力);云办公;智谱AI;云计算;数据确权;时空大数据;智慧灯杆;华为数字能源;网络安全;数据中心(AIDC);腾讯概念;华为鲲鹏;人脸识别;信创;阿里巴巴概念;财税数字化;智慧政务;5G;多模态AI;语音技术;液冷服务器;AI智能体;数据要素;华为概念;AIGC概念;物联网;数字孪生;智慧城市;安防;芯片概念;智能电网;AI应用;数字乡村;卫星导航;区块链;在线教育;DeepSeek概念;人工智能;粤港澳大湾区;数字经济;智能医疗;新型工业化;无人机;低空经济;机器人概念;智能物流;新型城镇化;深股通;融资融券,33
000566.SZ,000566,17,猴痘概念;肝炎概念;民营医院;维生素;细胞免疫治疗;流感;海南自贸区;仿制药一致性评价;创新药;医疗器械概念;参股银行;国企改革;创投;央企国企改革;脑机接口;深股通;融资融券,33
000925.SZ,000925,35,数字水印;算力租赁;东数西算(算力);数据中心(AIDC);芯片概念;卫星导航;先进封装;时空大数据;高铁;商业航天;华为概念;信创;数据确权;无人机;车联网(车路协同);无人驾驶;智慧城市;元宇宙;多模态AI;ChatGPT概念;机器视觉;低空经济;数据要素;数字经济;数字孪生;工业互联网;人工智能;虚拟数字人;机器人概念;一带一路;空间计算;医疗器械概念;乡村振兴;合成生物;深股通,33
002520.SZ,002520,18,工业母机;减速器;人形机器人;新型工业化;航空发动机;成飞概念;高端装备;机器人概念;新能源汽车;大飞机;军民融合;数字经济;共同富裕示范区;人民币贬值受益;一带一路;风电;深股通;融资融券,33
603001.SH,603001,3,C2M概念;跨境电商;体育产业,17
600909.SH,600909,4,期货概念;沪股通;国企改革;融资融券,17
002600.SZ,002600,40,智能音箱;无线充电;小米概念;无线耳机;AI手机;智能穿戴;碳纤维;3D打印;人形机器人;比亚迪概念;AI眼镜;无人机;新能源汽车;消费电子概念;同花顺果指数;商业航天;机器人概念;液冷服务器;虚拟现实;英伟达概念;充电桩;苹果概念;光伏概念;华为概念;5G;富士康概念;低空经济;MR(混合现实);海峡两岸;柔性屏(折叠屏);储能;减速器;人民币贬值受益;AI PC;人工智能;稀土永磁;共封装光学(CPO);同花顺出海50;深股通;融资融券,33
688056.SH,688056,5,光刻胶;食品安全;芯片概念;核污染防治;融资融券,17
600226.SH,600226,10,PET铜箔;PCB概念;比亚迪概念;锂电池概念;动物疫苗;腾讯概念;创投;合成生物;融资融券;沪股通,17
600026.SH,600026,13,航运概念;上海自贸区;人民币贬值受益;一带一路;俄乌冲突概念;国企改革;央企国企改革;同花顺中特估100;天然气;证金持股;沪股通;融资融券;中字头股票,17
002497.SZ,002497,15,固态电池;锂电池概念;宁德时代概念;民爆概念;2025年报预增;西部大开发;军民融合;比亚迪概念;军工;特斯拉概念;工业互联网;机器人概念;雅下水电概念;深股通;融资融券,33
002803.SZ,002803,21,抖音概念(字节概念);华为盘古;云计算;数据要素;ChatGPT概念;AIGC概念;AI应用;人工智能;华为概念;海峡两岸;福建自贸区;跨境电商;2025年报预增;一带一路;专精特新;人民币贬值受益;宠物经济;新型烟草(电子烟);白酒概念;融资融券;深股通,33
603399.SH,603399,8,小金属概念;固态电池;锂电池概念;股权转让(并购重组);储能;专精特新;沪股通;融资融券,17
002674.SZ,002674,4,华为汽车;PPP概念;固废处理;海峡两岸,33
002254.SZ,002254,19,光纤概念;固态电池;智能穿戴;锂电池概念;高铁;新能源汽车;无人机;机器人概念;军工;氢能源;长安汽车概念;军民融合;安防;小米汽车;风电;东数西算(算力);国企改革;深股通;融资融券,33
002876.SZ,002876,9,柔性屏(折叠屏);消费电子概念;智能穿戴;OLED;小米概念;虚拟现实;专精特新;融资融券;深股通,33
603948.SH,603948,5,中俄贸易概念;共同富裕示范区;光伏概念;芯片概念;高股息精选,17
603698.SH,603698,10,军民融合;军工;高端装备;核电;氢能源;碳中和;国企改革;煤化工概念;沪股通;融资融券,17
002240.SZ,002240,9,盐湖提锂;小金属概念;固态电池;锂电池概念;宁德时代概念;比亚迪概念;西部大开发;深股通;融资融券,33
002631.SZ,002631,9,石墨烯;C2M概念;核污染防治;长三角一体化;工业互联网;智能家居;柔性屏(折叠屏);深股通;融资融券,33
000823.SZ,000823,21,共封装光学(CPO);PCB概念;苹果概念;消费电子概念;毫米波雷达;5G;汽车电子;AI眼镜;传感器;卫星导航;商业航天;数据中心(AIDC);比亚迪概念;东数西算(算力);无人机;虚拟现实;无人驾驶;深股通;融资融券;国企改革;证金持股,33
002943.SZ,002943,12,第三代半导体;芯片概念;TOPCON电池;AI眼镜;HJT电池;稀土永磁;智能穿戴;光伏概念;比亚迪概念;工业母机;深股通;融资融券,33
002025.SZ,002025,24,共封装光学(CPO);铜缆高速连接;光纤概念;液冷服务器;5G;卫星导航;商业航天;小米概念;数据中心(AIDC);同花顺新质50;比亚迪概念;机器视觉;军工;华为概念;大飞机;新能源汽车;低空经济;核电;智能物流;西部大开发;央企国企改革;国企改革;深股通;融资融券,33
002051.SZ,002051,21,水利;华为概念;新型城镇化;冰雪产业;东数西算(算力);人民币贬值受益;污水处理;一带一路;同花顺中特估100;固废处理;央企国企改革;雄安新区;乡村振兴;国企改革;生物质能发电;新疆振兴;深股通;融资融券;储能;液冷服务器;中字头股票,33
002364.SZ,002364,29,中国AI 50;5G;数据中心(AIDC);高压快充;东数西算(算力);特高压;智能电网;充电桩;华为概念;虚拟电厂;储能;换电概念;新能源汽车;宁德时代概念;核电;阿里巴巴概念;百度概念;风电;数字孪生;腾讯概念;海工装备;工业互联网;氢能源;拼多多概念;碳中和;水利;两轮车;深股通;融资融券,33
603203.SH,603203,28,先进封装;中芯国际概念;第三代半导体;OLED;存储芯片;共封装光学(CPO);PCB概念;富士康概念;苹果概念;芯片概念;消费电子概念;AI眼镜;汽车电子;液冷服务器;无线耳机;智能穿戴;机器视觉;专精特新;新型工业化;比亚迪概念;新能源汽车;机器人概念;华为概念;高端装备;宁德时代概念;工业互联网;人工智能;沪股通,17
002491.SZ,002491,13,光纤概念;5G;数据中心(AIDC);数字水印;专精特新;储能;网络安全;数据安全;长三角一体化;独角兽概念;固态电池;深股通;融资融券,33
603045.SH,603045,19,汽车电子;5G;比亚迪概念;新能源汽车;数据中心(AIDC);工业互联网;智能家居;BC电池;智能电网;高铁;充电桩;HJT电池;TOPCON电池;储能;2025年报预增;金属回收;黄金概念;股权转让(并购重组);融资融券,17
600246.SH,600246,13,存储芯片;芯片概念;5G;毫米波雷达;卫星导航;商业航天;创投;数字经济;京津冀一体化;物业管理;云计算;沪股通;融资融券,17
003043.SZ,003043,13,光刻机;芯片概念;专精特新;高铁;固态电池;高端装备;医疗器械概念;储能;数字经济;智能电网;智能物流;深股通;股权转让(并购重组),33
603324.SH,603324,8,中芯国际概念;光刻胶;先进封装;芯片概念;专精特新;宁德时代概念;华为海思概念股;华为概念,17
003018.SZ,003018,4,富士康概念;液冷服务器;东数西算(算力);深股通,33
002580.SZ,002580,23,快手概念;新疆振兴;动力电池回收;抖音概念(字节概念);雄安新区;钠离子电池;高铁;鸿蒙概念;阿里巴巴概念;国企改革;创投;东数西算(算力);储能;一带一路;数据中心(AIDC);固态电池;军工;锂电池概念;华为概念;液冷服务器;5G;深股通;融资融券,33
300604.SZ,300604,8,国家大基金持股;存储芯片;芯片概念;专精特新;2025年报预增;海峡两岸;融资融券;深股通,33
002552.SZ,002552,9,PCB概念;5G;股权转让(并购重组);汽车电子;黄金概念;互联网金融;2026一季报预增;国企改革;深股通,33
002536.SZ,002536,21,液冷服务器;芯片概念;汽车电子;数据中心(AIDC);汽车热管理;华为概念;无人机;新能源汽车;特斯拉概念;小米汽车;低空经济;充电桩;储能;机器人概念;海峡两岸;长安汽车概念;燃料电池;人民币贬值受益;一带一路;深股通;融资融券,33
603678.SH,603678,18,超级电容;第三代半导体;5G;芯片概念;小米概念;商业航天;数据中心(AIDC);核电;新能源汽车;专精特新;军工;海峡两岸;2025年报预增;创投;人工智能;无人机;沪股通;融资融券,17
600105.SH,600105,29,共封装光学(CPO);光纤概念;5G;芯片概念;超导概念;数据中心(AIDC);3D打印;可控核聚变;商业航天;比亚迪概念;东数西算(算力);专精特新;新能源汽车;华为概念;华为汽车;军工;2025年报预增;低空经济;长三角一体化;核电;海工装备;网络安全;工业互联网;数据安全;沪股通;风电;一带一路;参股银行;融资融券,17
002046.SZ,002046,22,培育钻石;第三代半导体;卫星导航;工业母机;商业航天;芯片概念;大飞机;无人机;军工;军民融合;高端装备;中芯国际概念;新能源汽车;机器人概念;光伏概念;核电;风电;智能医疗;央企国企改革;国企改革;深股通;融资融券,33
603083.SH,603083,14,F5G概念;共封装光学(CPO);WiFi 6;5G;液冷服务器;华为概念;物联网;2025年报预增;工业互联网;智能家居;人民币贬值受益;一带一路;沪股通;融资融券,17
002897.SZ,002897,25,共封装光学(CPO);铜缆高速连接;F5G概念;华为海思概念股;富士康概念;6G概念;5G;液冷服务器;消费电子概念;智能穿戴;数据中心(AIDC);新型烟草(电子烟);小米概念;华为概念;光伏概念;无人驾驶;比亚迪概念;新能源汽车;海峡两岸;2025年报预增;华为汽车;长安汽车概念;人民币贬值受益;深股通;融资融券,33
600584.SH,600584,24,国家大基金持股;存储芯片;先进封装;中芯国际概念;共封装光学(CPO);汽车芯片;同花顺果指数;第三代半导体;芯片概念;苹果概念;汽车电子;毫米波雷达;智能穿戴;无人驾驶;机器人概念;物联网;人民币贬值受益;沪股通;融资融券;人工智能;绿色电力;央企国企改革;国企改革;股权转让(并购重组),17
603986.SH,603986,15,存储芯片;汽车芯片;MCU芯片;芯片概念;汽车电子;无线耳机;传感器;小米概念;人形机器人;光伏概念;物联网;锂电池概念;人民币贬值受益;融资融券;沪股通,17
002080.SZ,002080,22,PCB概念;6G概念;5G;固态电池;宁德时代概念;锂电池概念;商业航天;新能源汽车;无人机;军工;2025年报预增;燃料电池;风电;海工装备;氢能源;深股通;一带一路;污水处理;央企国企改革;国企改革;中字头股票;融资融券,33
001359.SZ,001359,10,PCB概念;宁德时代概念;特斯拉概念;新能源汽车;固态电池;高铁;汽车热管理;储能;深股通;融资融券,33
002821.SZ,002821,9,CRO概念;减肥药;创新药;合成生物;智能医疗;深股通;人民币贬值受益;京津冀一体化;融资融券,33
605069.SH,605069,21,智谱AI;水利;元宇宙;土壤修复;智慧城市;碳中和;新型城镇化;AI智能体;AIGC概念;人工智能;污水处理;数字经济;数字孪生;雄安新区;乡村振兴;PPP概念;京津冀一体化;IP经济(谷子经济);物业管理;旅游概念;机器人概念,17
002990.SZ,002990,30,华为昇腾;人脸识别;多模态AI;东数西算(算力);鸿蒙概念;信创;人形机器人;智慧政务;无人驾驶;安防;车联网(车路协同);传感器;机器视觉;核污染防治;机器人概念;网络安全;华为概念;AIGC概念;物联网;数字经济;AI智能体;智慧城市;人工智能;语音技术;芯片概念;DeepSeek概念;一带一路;存储芯片;冷链物流;深股通,33
603061.SH,603061,4,芯片概念;专精特新;2025年报预增;沪股通,17
000021.SZ,000021,23,存储芯片;先进封装;第三代半导体;共封装光学(CPO);芯片概念;汽车电子;超级电容;无人机;物联网;新能源汽车;智能电网;储能;机器人概念;虚拟电厂;人民币贬值受益;深股通;区块链;数字经济;医疗器械概念;智能物流;央企国企改革;国企改革;融资融券,33
605366.SH,605366,6,有机硅概念;光纤概念;硅能源;风电;沪股通;融资融券,17
600497.SH,600497,12,金属锌;金属铅;黄金概念;小金属概念;金属回收;光纤概念;军工;央企国企改革;西部大开发;国企改革;沪股通;融资融券,17
002428.SZ,002428,14,光纤概念;第三代半导体;芯片概念;小金属概念;卫星导航;商业航天;光伏概念;军工;金属回收;华为概念;氟化工概念;深股通;融资融券;西部大开发,33
000908.SZ,000908,9,消毒剂;仿制药一致性评价;眼科医疗;医美概念;流感;创新药;医疗器械概念;基因测序;摘帽,33
002192.SZ,002192,6,锂电池概念;储能;粤港澳大湾区;比亚迪概念;深股通;融资融券,33
603650.SH,603650,10,光刻胶;中芯国际概念;存储芯片;OLED;芯片概念;石墨烯;上海自贸区;可降解塑料;融资融券;沪股通,17
001339.SZ,001339,32,算力租赁;东数西算(算力);数据安全;云办公;人脸识别;网络安全;信创;智慧城市;中国AI 50;鸿蒙概念;英伟达概念;安防;ETC;物联网;在线教育;AI PC;机器视觉;车联网(车路协同);人工智能;DeepSeek概念;专精特新;新型工业化;5G;工业互联网;粤港澳大湾区;消费电子概念;机器人概念;芯片概念;智能医疗;智能座舱;人形机器人;深股通,33
603929.SH,603929,10,中芯国际概念;柔性屏(折叠屏);OLED;芯片概念;富士康概念;长三角一体化;2026一季报预增;华为概念;海峡两岸;沪股通,17
600563.SH,600563,15,超级电容;高压快充;数据中心(AIDC);柔性直流输电;光伏概念;特高压;储能;新能源汽车;人形机器人;军工;海峡两岸;高铁;福建自贸区;沪股通;融资融券,17
603297.SH,603297,13,光刻机;芯片概念;AI眼镜;PCB概念;商业航天;机器视觉;无人驾驶;虚拟现实;无人机;智能医疗;共同富裕示范区;沪股通;融资融券,17
002409.SZ,002409,15,国家大基金持股;中芯国际概念;存储芯片;光刻胶;先进封装;OLED;芯片概念;氟化工概念;磷化工;专精特新;特高压;海工装备;深股通;天然气;融资融券,33
603407.SH,603407,6,注册制次新股;小金属概念;牙科医疗;比亚迪概念;新股与次新股;融资融券,17
603938.SH,603938,10,光纤概念;存储芯片;芯片概念;有机硅概念;硅能源;光伏概念;海峡两岸;京津冀一体化;沪股通;融资融券,17
603713.SH,603713,9,上海自贸区;自由贸易港;人工智能;统一大市场;航运概念;跨境电商;智能物流;融资融券;沪股通,17
603989.SH,603989,16,5G;液冷服务器;高压快充;数据中心(AIDC);比亚迪概念;新能源汽车;华为概念;充电桩;储能;军工;固态电池;机器人概念;低空经济;沪股通;新疆振兴;融资融券,17
600176.SH,600176,14,PCB概念;2026一季报预增;光伏概念;PEEK材料;风电;沪股通;融资融券;长三角一体化;央企国企改革;一带一路;DeepSeek概念;国企改革;同花顺中特估100;中字头股票,17
002167.SZ,002167,10,稀土永磁;小金属概念;固态电池;锂电池概念;核电;牙科医疗;燃料电池;氢能源;深股通;融资融券,33
603386.SH,603386,13,人形机器人;毫米波雷达;比亚迪概念;小米概念;机器人概念;汽车电子;华为概念;5G;卫星导航;PCB概念;医疗器械概念;共封装光学(CPO);光纤概念,17
605020.SH,605020,10,环氧丙烷;PVDF概念;氟化工概念;共同富裕示范区;一带一路;智能物流;2025年报预增;液冷服务器;沪股通;融资融券,17
603317.SH,603317,4,高股息精选;西部大开发;融资融券;沪股通,17
600667.SH,600667,9,存储芯片;先进封装;OLED;芯片概念;光伏建筑一体化;沪股通;融资融券;绿色电力;国企改革,17
601872.SH,601872,11,航运概念;上海自贸区;俄乌冲突概念;海峡两岸;一带一路;央企国企改革;国企改革;高股息精选;天然气;融资融券;沪股通,17
601133.SH,601133,8,中芯国际概念;存储芯片;OLED;柔性屏(折叠屏);芯片概念;装配式建筑;沪股通;融资融券,17
600141.SH,600141,22,磷化工;草甘膦;氟化工概念;化肥;消毒剂;有机硅概念;硅能源;固态电池;锂电池概念;中芯国际概念;宁德时代概念;国企改革;乡村振兴;绿色电力;沪股通;融资融券;芯片概念;比亚迪概念;液冷服务器;机器人概念;存储芯片;光纤概念,17
605151.SH,605151,5,智能物流;创投;比亚迪概念;统一大市场;新能源汽车,17
605598.SH,605598,8,卫星导航;商业航天;无人机;钙钛矿电池;人民币贬值受益;一带一路;土壤修复;沪股通,17
