所属概念,股票代码,market_code,code,所属概念数量
民爆概念;国企改革;土壤修复;一带一路;雅下水电概念;汽车拆解概念;西部大开发;水利;央企国企改革;新疆振兴;芯片概念;深股通;融资融券,002037.SZ,33,002037,13
煤化工概念;化肥;磷化工;氟化工概念;生态农业;消毒剂;天然气;有机硅概念;央企国企改革;氢能源;国企改革;乡村振兴;深股通;融资融券,000830.SZ,33,000830,14
固态电池;机器人概念;人工智能;三胎概念;钠离子电池;在线教育;跨境电商;IP经济(谷子经济);股权转让(并购重组),002348.SZ,33,002348,9
同花顺中特估100;固废处理;新疆振兴;央企国企改革;污水处理;国企改革;乡村振兴;新型城镇化;雄安新区;一带一路;水利;冰雪产业;人民币贬值受益;深股通;融资融券;华为概念;东数西算(算力);中字头股票,002051.SZ,33,002051,18
煤化工概念;煤炭概念;水泥概念;消毒剂;可降解塑料;新疆振兴;碳交易;石墨烯;碳中和;国企改革;西部大开发;风电;一带一路;深股通;跨境电商;职业教育;摘帽,002092.SZ,33,002092,17
环氧丙烷;可降解塑料;氢能源;国企改革;碳纤维;深股通;融资融券,002408.SZ,33,002408,7
短剧游戏;文化传媒概念;虚拟数字人;AIGC概念;网红经济;IP经济(谷子经济);足球概念;智慧政务;职业教育;体育产业;旅游概念;数字经济;独角兽概念;互联网金融;人工智能;广东自贸区;创投;AI应用;粤港澳大湾区;参股券商;国企改革;融资融券;深股通,002181.SZ,33,002181,23
粮食概念;预制菜;国企改革;深圳国企改革;冷链物流;一带一路;数字乡村;深股通,000019.SZ,33,000019,8
新型城镇化;PPP概念;污水处理;横琴新区;养老概念;网红经济;粤港澳大湾区;石墨烯;文化传媒概念;互联网金融;区块链;抖音概念(字节概念),002663.SZ,33,002663,12
新型城镇化;信托概念;PPP概念;雄安新区;固废处理;国企改革;参股券商;回购增持再贷款概念;化债概念(AMC概念);生物质能发电;创投;流感;碳交易;京津冀一体化;碳中和;绿色电力;证金持股;独角兽概念;动力电池回收;深股通;融资融券,000652.SZ,33,000652,21
物业管理;证金持股;国企改革;京津冀一体化;智能家居;沪股通;融资融券;股权转让(并购重组),600743.SH,17,600743,8
医药电商;仿制药一致性评价;流感;维生素;肝炎概念;创新药;三胎概念;黑龙江自贸区;养老概念;跨境电商;DeepSeek概念;沪股通;融资融券,600664.SH,17,600664,13
水泥概念;光伏概念;国企改革;储能;参股券商;专精特新;融资融券;沪股通,600063.SH,17,600063,8
光纤概念;央企国企改革;物业管理;国企改革,000720.SZ,33,000720,4
体育产业;职业教育;横琴新区;新型城镇化;土壤修复;水利;粤港澳大湾区;特色小镇;元宇宙;地下管网;旅游概念;虚拟现实;PPP概念;乡村振兴;雄安新区;国企改革;土地流转;碳交易;新疆振兴;融资融券,002431.SZ,33,002431,20
股权转让(并购重组);医疗废物处理;生态农业;绿色电力;汽车拆解概念;土壤修复;京津冀一体化;PPP概念;风电;储能;乡村振兴;雄安新区;固废处理;污水处理;国企改革;新型城镇化;深股通;水利;金属回收;摘帽,002310.SZ,33,002310,20
化肥;磷化工;生态农业;农村电商;水泥概念;土壤修复;乡村振兴;国企改革;锂电池概念;深股通,002470.SZ,33,002470,10
信创;鸿蒙概念;网络安全;安防;智慧城市;华为概念;东数西算(算力);人工智能;智能医疗;数据中心;传感器;养老概念;比亚迪概念;物业管理;沪股通,600654.SH,17,600654,15
煤化工概念;化肥;磷化工;天然气;消毒剂;国企改革;氢能源;回购增持再贷款概念;一带一路;燃料电池;储能;光伏概念;机器人概念;股权转让(并购重组);沪股通;融资融券,600691.SH,17,600691,16
医疗器械概念;养老概念;跨境电商;智能医疗;人民币贬值受益;创投;融资融券;深股通,300677.SZ,33,300677,8
F5G概念;共封装光学(CPO);光纤概念;铜缆高速连接;5G;芯片概念;数据中心;专精特新;2025年报预增;华为概念;长三角一体化;机器人概念;抖音概念(字节概念);融资融券;深股通,300548.SZ,33,300548,15
共封装光学(CPO);MiniLED;先进封装;PCB概念;富士康概念;第三代半导体;苹果概念;华为手机;工业母机;汽车芯片;芯片概念;消费电子概念;高端装备;小米概念;机器视觉;军工;专精特新;新型工业化;比亚迪概念;2025年报预增;华为概念;工业互联网;锂电池概念;深股通;融资融券,301338.SZ,33,301338,25
煤化工概念;化肥;国企改革;沪股通;融资融券,600426.SH,17,600426,5
央企国企改革;国企改革;京津冀一体化;沪股通;融资融券,600230.SH,17,600230,5
专精特新;DeepSeek概念;回购增持再贷款概念;沪股通;融资融券,688046.SH,17,688046,5
中国AI 50;汽车芯片;先进封装;同花顺新质50;芯片概念;东数西算(算力);国产操作系统;数据中心;阿里巴巴概念;人工智能;沪股通;融资融券,688256.SH,17,688256,12
智能穿戴;虚拟现实;小米概念;华为概念;5G;柔性屏(折叠屏);新型工业化;机器人概念;消费电子概念;华为手机;3D打印;芯片概念;特斯拉概念;军工;人工智能;空间计算;新能源汽车;苹果概念;粤港澳大湾区;6G概念;元宇宙;新型烟草(电子烟);工业母机;创投;职业教育;在线教育;云游戏;AIGC概念;锂电池概念;文化传媒概念;氢能源;国企改革;深股通;股权转让(并购重组);融资融券,300134.SZ,33,300134,35
钠离子电池;固态电池;锂电池概念;两轮车;储能;MiniLED;人形机器人;芯片概念;飞行汽车(eVTOL);小米概念;机器人概念;智能家居;海峡两岸;一带一路;无人机;金属镍;创投;数据中心;深股通;融资融券,002245.SZ,33,002245,20
宠物经济;医疗器械概念;智能医疗;核污染防治;人民币贬值受益;专精特新;国企改革;融资融券;深股通,300981.SZ,33,300981,9
煤化工概念;煤炭概念;水泥概念;可降解塑料;天然气;绿色电力;参股券商;参股银行;氢能源;西部大开发;互联网金融;统一大市场;数字经济;航运概念;阿里巴巴概念;智能物流;生物疫苗;沪股通;融资融券,601216.SH,17,601216,19
PCB概念;2025年报预增;消毒剂;医疗器械概念;深股通;融资融券,002636.SZ,33,002636,6
PCB概念;PET铜箔;华为手机;芯片概念;专精特新;2025年报预增;固态电池;光伏概念;高端装备;融资融券;沪股通,688700.SH,17,688700,11
光刻胶;先进封装;PCB概念;芯片概念;专精特新;创投;深股通;融资融券,300429.SZ,33,300429,8
短剧游戏;文化传媒概念;虚拟数字人;AIGC概念;抖音概念(字节概念);在线教育;百度概念;人工智能;智能音箱;智能医疗;华为概念;国企改革;深股通;融资融券,301551.SZ,33,301551,14
煤化工概念;煤炭概念;氢能源;沪股通;融资融券,603113.SH,17,603113,5
粤港澳大湾区,603863.SH,17,603863,1
光刻胶;PCB概念;染料;5G;石墨烯;固态电池;储能;股权转让(并购重组),300522.SZ,33,300522,8
有机硅概念;固态电池;锂电池概念;宁德时代概念;硅能源;比亚迪概念;芯片概念;新能源汽车;光伏概念;小米概念;5G;可控核聚变;长安汽车概念;核电;无人机;军工;高铁;商业航天;特高压;水利;装配式建筑;西部大开发;雄安新区;深股通;融资融券,300019.SZ,33,300019,25
青蒿素;信托概念;天然气;股权转让(并购重组);西部大开发;碳中和;地下管网;氢能源;储能;融资融券,000593.SZ,33,000593,10
柔性直流输电;特高压;成飞概念;智能电网;大飞机;军民融合;商业航天;军工;海工装备;风电;光纤概念;光伏概念;5G;机器人概念,300265.SZ,33,300265,14
页岩气;俄乌冲突概念;煤炭概念;天然气;煤化工概念;新疆振兴;氢能源;碳中和;融资融券;西部大开发;一带一路;沪股通,600256.SH,17,600256,12
磷化工;消毒剂;土壤修复;碳中和;净水概念;污水处理;新型城镇化;PPP概念;工业互联网;融资融券,300437.SZ,33,300437,10
黄金概念;金属锌;金属铜;小金属概念;金属镍;金属回收;汽车拆解概念;广东自贸区;固废处理;碳中和;2025年报预增;DeepSeek概念;粤港澳大湾区;比亚迪概念;深股通;融资融券,301500.SZ,33,301500,16
华为汽车;长安汽车概念;人形机器人;比亚迪概念;新能源汽车;机器人概念;回购增持再贷款概念;国企改革,603239.SH,17,603239,8
可降解塑料;民爆概念;光伏概念,002360.SZ,33,002360,3
快手概念;小红书概念;拼多多概念;AIGC概念;虚拟数字人;抖音概念(字节概念);AI智能体;阿里巴巴概念;腾讯概念;人工智能;网红经济;AI应用;跨境电商;深股通,300792.SZ,33,300792,14
专精特新;沪股通;融资融券,688625.SH,17,688625,3
卫星导航;商业航天;存储芯片;芯片概念;5G;无人机;消费电子概念;东数西算(算力);低空经济;信创;华为概念;数据中心;粤港澳大湾区;人工智能;国产操作系统;云计算;锂电池概念;创投;金属回收;DeepSeek概念;华为鲲鹏;新能源汽车;储能;一带一路;智能物流;充电桩;鸿蒙概念;深圳国企改革;国企改革;智能医疗;冷链物流;统一大市场;物业管理;跨境支付(CIPS);乳业;医药电商;深股通;融资融券;白酒概念,002183.SZ,33,002183,39
玉米;粮食概念;生态农业;代糖概念;可降解塑料;碳交易;国企改革;央企国企改革;白酒概念;深股通;融资融券;中字头股票,000930.SZ,33,000930,12
芯片概念;人民币贬值受益;PM2.5;光伏概念;核污染防治;AI智能体;DeepSeek概念;融资融券,688628.SH,17,688628,8
医药电商;医美概念;医疗器械概念;三胎概念;人民币贬值受益;回购增持再贷款概念;深股通,002950.SZ,33,002950,7
雄安新区;京津冀一体化;国企改革;物业管理,600149.SH,17,600149,4
猪肉;养鸡;西部大开发;回购增持再贷款概念;AI应用;比亚迪概念;沪股通;融资融券,603477.SH,17,603477,8
光刻胶;芯片概念;消毒剂;化肥;光伏概念;净水概念;专精特新;西部大开发;污水处理;深股通;融资融券,301256.SZ,33,301256,11
草甘膦;磷化工;乡村振兴;2025年报预增;融资融券;沪股通,600389.SH,17,600389,6
草甘膦;回购增持再贷款概念;2025年报预增;人民币贬值受益;深股通;融资融券,301035.SZ,33,301035,6
信托概念;跨境支付(CIPS);数字货币;期货概念;同花顺中特估100;新疆振兴;参股券商;碳中和;深股通;国企改革;创投;氢能源;参股银行;西部大开发;可控核聚变;一带一路;中字头股票;融资融券,000617.SZ,33,000617,18
稀土永磁;5G;消费电子概念;智能音箱;专精特新;2025年报预增;机器人概念;新能源汽车;一带一路;深股通;融资融券,301141.SZ,33,301141,11
算力租赁;东数西算(算力);液冷服务器;英伟达概念;云计算;腾讯概念;华为概念;芯片概念;消费电子概念;小米概念;军工;OLED;2025年报预增;沪股通,603629.SH,17,603629,14
动物疫苗;禽流感;合成生物;宠物经济;消毒剂;天津自贸区;回购增持再贷款概念;绿色电力;京津冀一体化;AI应用;深股通,300119.SZ,33,300119,11
财税数字化;AIGC概念;ERP概念;AI智能体;云办公;智慧政务;云计算;信创;数据要素;鸿蒙概念;百度概念;阿里巴巴概念;区块链;DeepSeek概念;人工智能;智慧城市;华为概念;专精特新;融资融券,688369.SH,17,688369,19
国企改革;西部大开发;沪股通;中字头股票;融资融券,600610.SH,17,600610,5
医美概念;创新药;细胞免疫治疗;民营医院;幽门螺杆菌概念;医疗器械概念;回购增持再贷款概念;融资融券,603222.SH,17,603222,8
磷化工;钛白粉概念;水泥概念;煤炭概念;西部大开发;锂电池概念;绿色电力;氢能源;国企改革;固态电池;回购增持再贷款概念;宁德时代概念;储能;融资融券;深股通,002386.SZ,33,002386,15
锂电池概念;固态电池;PET铜箔;钠离子电池;宁德时代概念;超级电容;建筑节能;柔性屏(折叠屏);比亚迪概念;光伏概念;OLED;储能;小米概念;华为概念;DeepSeek概念;AI智能体;虚拟数字人;深股通;融资融券,300057.SZ,33,300057,19
煤化工概念;煤炭概念;POE胶膜;氢能源;碳中和;西部大开发;2025年报预增;DeepSeek概念;跨境电商;融资融券;沪股通,600989.SH,17,600989,11
创新药;重组蛋白;CRO概念;仿制药一致性评价;西部大开发;融资融券,688553.SH,17,688553,6
存储芯片;中芯国际概念;AI PC;芯片概念;2025年报预增;汽车电子;智能穿戴;专精特新;共封装光学(CPO);粤港澳大湾区;人民币贬值受益;数据中心;人工智能;融资融券;深股通,001309.SZ,33,001309,15
化肥;磷化工;民爆概念;央企国企改革;天然气;国企改革;西部大开发;乡村振兴;融资融券;AI智能体,000731.SZ,33,000731,10
草甘膦;央企国企改革;乡村振兴;国企改革;同花顺出海50;人民币贬值受益;沪股通;融资融券,600486.SH,17,600486,8
体育产业;职业教育;NFT概念;在线教育;IP经济(谷子经济);Web3.0;AIGC概念;数字经济;多模态AI;百度概念;人工智能;虚拟现实;低空经济;无人驾驶;回购增持再贷款概念;AI应用,002858.SZ,33,002858,16
光纤概念;存储芯片;芯片概念;有机硅概念;海峡两岸;光伏概念;京津冀一体化;硅能源;沪股通;融资融券,603938.SH,17,603938,10
钠离子电池;固态电池;锂电池概念;石墨烯;储能;5G;动力电池回收;燃料电池;新能源汽车;数据中心;专精特新;氢能源;军工;无人机;粤港澳大湾区;人民币贬值受益;一带一路;东数西算(算力);阿里巴巴概念;百度概念;深股通;融资融券,002733.SZ,33,002733,22
先进封装;存储芯片;芯片概念;高端装备;人民币贬值受益;绿色电力;融资融券,688419.SH,17,688419,7
环氧丙烷;煤化工概念;丙烯酸;POE胶膜;氢能源;锂电池概念;燃料电池;长三角一体化;互联网金融;融资融券;深股通;三胎概念,002648.SZ,33,002648,12
环氧丙烷;水泥概念;建筑节能;医疗器械概念;深股通;融资融券,002165.SZ,33,002165,6
染料;换电概念;股权转让(并购重组),603790.SH,17,603790,3
先进封装;PCB概念;芯片概念;消费电子概念;MiniLED;5G;毫米波雷达;6G概念;华为概念;海峡两岸;石墨烯;储能;固态电池;锂电池概念;冷链物流;绿色电力;沪股通,603186.SH,17,603186,17
有机硅概念;硅能源;专精特新;融资融券,605399.SH,17,605399,4
存储芯片;汽车芯片;芯片概念;沪股通;融资融券,688449.SH,17,688449,5
融资融券;碳中和;国企改革;氢能源;光伏概念;硅能源;芯片概念,920402.BJ,151,920402,7
虚拟电厂;华为数字能源;抽水蓄能;碳交易;智能电网;生物质能发电;绿色电力;光伏概念;风电;储能;换电概念;碳中和;算力租赁;充电桩;数据中心;高压快充;东数西算(算力);英伟达概念;蚂蚁集团概念;华为概念;水利;锂电池概念;百度概念;区块链;宁德时代概念;动力电池回收;数字经济;新能源汽车;长三角一体化;融资融券;深股通,002015.SZ,33,002015,31
足球概念;体育产业;跨境电商;人民币贬值受益;养老概念;冰雪产业;一带一路;物联网;消费电子概念;参股银行;人工智能;DeepSeek概念;AI智能体;AIGC概念;融资融券,301287.SZ,33,301287,15
国企改革;海峡两岸;宁德时代概念;光伏概念;新能源汽车;5G,002578.SZ,33,002578,6
专精特新;京津冀一体化;融资融券,688485.SH,17,688485,3
有机硅概念;消毒剂;钠离子电池;绿色电力;光伏概念;国企改革;京津冀一体化;华为概念;沪股通;融资融券,600409.SH,17,600409,10
食品安全;融资融券;专精特新;猪肉,920970.BJ,151,920970,4
化肥;民爆概念;生态农业;氢能源;燃料电池;国企改革;光伏概念;煤化工概念;新能源汽车;军工;军民融合;股权转让(并购重组);融资融券,002783.SZ,33,002783,13
航运概念;同花顺中特估100;参股银行;国企改革;上海自贸区;回购增持再贷款概念;央企国企改革;沪股通;融资融券;储能;数字经济;中字头股票,601866.SH,17,601866,12
俄乌冲突概念;天然气;股权转让(并购重组);氢能源;地下管网;国企改革;碳中和;碳交易;一带一路;海工装备;污水处理;垃圾分类;人民币贬值受益;云计算;融资融券,002554.SZ,33,002554,15
草甘膦;国企改革;央企国企改革;人民币贬值受益;深股通;融资融券,000553.SZ,33,000553,6
煤炭概念;同花顺中特估100;超超临界发电;绿色电力;央企国企改革;风电;新型城镇化;国企改革;水利;一带一路;智能物流;无人机;人民币贬值受益;新能源汽车;深股通;融资融券,000065.SZ,33,000065,16
国企改革;锂电池概念,600241.SH,17,600241,2
长安汽车概念;特斯拉概念;比亚迪概念;新能源汽车;飞行汽车(eVTOL);无人驾驶;智能座舱;汽车电子;车联网(车路协同);富士康概念;5G;储能;锂电池概念;一带一路,002976.SZ,33,002976,14
