market_code,所属概念数量,股票代码,所属概念,code
17,6,688072.SH,国家大基金持股;存储芯片;先进封装;芯片概念;沪股通;融资融券,688072
17,15,688001.SH,MicroLED概念;OLED;苹果概念;汽车电子;智能穿戴;消费电子概念;无线耳机;5G;芯片概念;智能音箱;特斯拉概念;人形机器人;先进封装;沪股通;融资融券,688001
33,6,301273.SZ,芯片概念;新型工业化;稀土永磁;专精特新;低空经济;融资融券,301273
17,12,688797.SH,芯片概念;高端装备;先进封装;国家大基金持股;OLED;专精特新;科创次新股;注册制次新股;新股与次新股;融资融券;存储芯片;西部大开发,688797
33,9,301580.SZ,牙科医疗;3D打印;专精特新;医疗器械概念;人民币贬值受益;智能医疗;阿里巴巴概念;深股通;融资融券,301580
17,10,688037.SH,中芯国际概念;存储芯片;先进封装;光刻胶;芯片概念;华为海思概念股;专精特新;国企改革;沪股通;融资融券,688037
33,8,300604.SZ,国家大基金持股;存储芯片;芯片概念;专精特新;海峡两岸;2026中报预增;融资融券;深股通,300604
33,7,301205.SZ,共封装光学(CPO);5G;芯片概念;数据中心(AIDC);人民币贬值受益;深股通;融资融券,301205
33,8,301369.SZ,中芯国际概念;第三代半导体;芯片概念;专精特新;创投;2026中报预增;深股通;融资融券,301369
17,11,688627.SH,存储芯片;OLED;芯片概念;MicroLED概念;专精特新;东数西算(算力);高端装备;机器人概念;粤港澳大湾区;沪股通;融资融券,688627
17,8,688809.SH,存储芯片;科创次新股;芯片概念;2026一季报预增;注册制次新股;华为概念;新股与次新股;融资融券,688809
17,17,688002.SH,汽车芯片;芯片概念;消费电子概念;汽车电子;毫米波雷达;商业航天;卫星导航;传感器;军工;无人机;比亚迪概念;无人驾驶;低空经济;机器人概念;2026中报预增;沪股通;融资融券,688002
17,10,688120.SH,中芯国际概念;存储芯片;先进封装;第三代半导体;芯片概念;MicroLED概念;专精特新;国企改革;沪股通;融资融券,688120
17,28,688003.SH,英伟达概念;苹果概念;PCB概念;先进封装;第三代半导体;机器视觉;芯片概念;消费电子概念;新型工业化;高端装备;人形机器人;专精特新;无人驾驶;小米概念;新能源汽车;机器人概念;低空经济;车联网(车路协同);光伏概念;百度概念;人工智能;智能物流;DeepSeek概念;共封装光学(CPO);存储芯片;汽车热管理;沪股通;融资融券,688003
17,14,688141.SH,汽车芯片;芯片概念;消费电子概念;汽车电子;小米概念;智能座舱;专精特新;锂电池概念;华为概念;无人驾驶;新能源汽车;储能;沪股通;融资融券,688141
33,16,300814.SZ,共封装光学(CPO);铜缆高速连接;先进封装;PCB概念;MiniLED;5G;汽车电子;毫米波雷达;华为数字能源;数据中心(AIDC);新能源汽车;华为概念;华为汽车;一带一路;深股通;融资融券,300814
33,8,301583.SZ,高端装备;先进封装;存储芯片;注册制次新股;新股与次新股;融资融券;专精特新;芯片概念,301583
17,16,688147.SH,存储芯片;中芯国际概念;先进封装;汽车芯片;第三代半导体;OLED;芯片概念;BC电池;HJT电池;TOPCON电池;钙钛矿电池;专精特新;光伏概念;高端装备;沪股通;融资融券,688147
33,16,300285.SZ,共封装光学(CPO);5G;消费电子概念;芯片概念;3D打印;商业航天;比亚迪概念;卫星导航;宁德时代概念;新能源汽车;固态电池;牙科医疗;锂电池概念;氢能源;深股通;融资融券,300285
17,12,688371.SH,共封装光学(CPO);液冷服务器;AI眼镜;小米概念;华为概念;脑机接口;一带一路;医疗器械概念;新能源汽车;消费电子概念;沪股通;融资融券,688371
33,32,301282.SZ,富士康概念;共封装光学(CPO);PCB概念;5G;汽车电子;智能座舱;消费电子概念;无人驾驶;数据中心(AIDC);东数西算(算力);华为汽车;卫星导航;比亚迪概念;新能源汽车;华为概念;商业航天;车联网(车路协同);机器人概念;无人机;物联网;军工;低空经济;高铁;宁德时代概念;充电桩;海峡两岸;智能家居;储能;固态电池;创投;深股通;融资融券,301282
17,6,688729.SH,中芯国际概念;存储芯片;芯片概念;高端装备;国企改革;融资融券,688729
33,14,300137.SZ,PM2.5;AI智能体;核污染防治;碳中和;机器人概念;区块链;水利;污水处理;碳交易;雄安新区;京津冀一体化;乡村振兴;深股通;摘帽,300137
33,11,300093.SZ,HJT电池;建筑节能;光伏建筑一体化;钙钛矿电池;西部大开发;算力租赁;光伏概念;深股通;风电;绿色电力;摘帽,300093
17,11,688610.SH,PCB概念;MiniLED;芯片概念;AI眼镜;机器视觉;光伏概念;机器人概念;锂电池概念;基因测序;沪股通;融资融券,688610
151,4,920957.BJ,一带一路;融资融券;粤港澳大湾区;专精特新,920957
17,7,688409.SH,光刻机;芯片概念;专精特新;DeepSeek概念;2026中报预增;沪股通;融资融券,688409
17,7,688662.SH,共封装光学(CPO);芯片概念;5G;储能;沪股通;融资融券,688662
17,8,688059.SH,工业母机;PCB概念;专精特新;机器人概念;2026一季报预增;2026中报预增;沪股通;融资融券,688059
33,16,300201.SZ,苹果概念;电力物联网;核污染防治;智能电网;宁德时代概念;机器人概念;工业互联网;储能;无人机;无人驾驶;军工;高端装备;锂电池概念;军民融合;融资融券;深股通,300201
17,11,688012.SH,国家大基金持股;中芯国际概念;存储芯片;先进封装;芯片概念;MiniLED;同花顺新质50;工业互联网;区块链;沪股通;融资融券,688012
33,14,300666.SZ,中芯国际概念;光刻机;存储芯片;OLED;第三代半导体;芯片概念;光伏概念;碳纤维;海峡两岸;深股通;中韩自贸区;共同富裕示范区;2026中报预增;融资融券,300666
17,12,688308.SH,PCB概念;工业母机;人形机器人;2026一季报预增;商业航天;光伏概念;专精特新;航空发动机;机器人概念;2026中报预增;沪股通;融资融券,688308
17,18,688392.SH,先进封装;芯片概念;PET铜箔;液冷服务器;专精特新;比亚迪概念;宁德时代概念;军工;固态电池;新能源汽车;碳纤维;储能;人形机器人;人工智能;锂电池概念;医疗器械概念;沪股通;融资融券,688392
33,11,300408.SZ,共封装光学(CPO);光纤概念;消费电子概念;5G;小米概念;数据中心(AIDC);华为概念;燃料电池;深股通;证金持股;融资融券,300408
33,13,300382.SZ,人形机器人;新能源汽车;专精特新;宁德时代概念;储能;机器人概念;C2M概念;工业互联网;锂电池概念;减速器;绿色电力;融资融券;深股通,300382
17,8,688702.SH,国家大基金持股;芯片概念;5G;中国AI 50;数据中心(AIDC);网络安全;沪股通;融资融券,688702
33,22,300757.SZ,共封装光学(CPO);光纤概念;华为海思概念股;富士康概念;苹果概念;芯片概念;BC电池;英伟达概念;量子科技;TOPCON电池;HJT电池;数据中心(AIDC);商业航天;光伏概念;新能源汽车;华为概念;新型工业化;高端装备;工业互联网;股权转让(并购重组);融资融券;深股通,300757
33,4,301228.SZ,食品安全;土壤修复;深股通;融资融券,301228
151,6,920701.BJ,专精特新;智能穿戴;融资融券;消费电子概念;华为概念;小米概念,920701
33,18,300870.SZ,第三代半导体;富士康概念;WiFi 6;液冷服务器;消费电子概念;数据中心(AIDC);无人机;比亚迪概念;华为概念;光伏概念;充电桩;海峡两岸;储能;阿里巴巴概念;智能家居;一带一路;深股通;融资融券,300870
17,8,688766.SH,存储芯片;MCU芯片;芯片概念;汽车电子;小米概念;华为概念;融资融券;沪股通,688766
17,11,688720.SH,国家大基金持股;存储芯片;中芯国际概念;先进封装;光刻胶;OLED;PCB概念;芯片概念;专精特新;沪股通;融资融券,688720
33,14,300054.SZ,中芯国际概念;存储芯片;光刻胶;先进封装;OLED;第三代半导体;芯片概念;柔性屏(折叠屏);2026一季报预增;锂电池概念;深股通;2026中报预增;玻璃基板;融资融券,300054
17,14,688630.SH,PCB概念;光刻机;先进封装;OLED;光刻胶;芯片概念;BC电池;2026一季报预增;光伏概念;TOPCON电池;专精特新;高端装备;融资融券;沪股通,688630
17,8,688359.SH,PCB概念;PET铜箔;HJT电池;TOPCON电池;光伏概念;玻璃基板;沪股通;融资融券,688359
33,12,300959.SZ,小红书概念;快手概念;抖音概念(字节概念);短剧游戏;拼多多概念;腾讯概念;阿里巴巴概念;华为概念;文化传媒概念;深股通;股权转让(并购重组);融资融券,300959
17,9,688403.SH,先进封装;存储芯片;OLED;芯片概念;汽车芯片;专精特新;人民币贬值受益;沪股通;融资融券,688403
33,32,300223.SZ,存储芯片;汽车芯片;MCU芯片;MiniLED;OLED;芯片概念;AI眼镜;汽车电子;消费电子概念;毫米波雷达;智能座舱;传感器;智能音箱;小米概念;机器视觉;3D打印;无人驾驶;人脸识别;抖音概念(字节概念);物联网;机器人概念;安防;人民币贬值受益;人工智能;鸿蒙概念;智能家居;区块链;家用电器;京津冀一体化;2026中报预增;深股通;融资融券,300223
17,10,688808.SH,科创次新股;共封装光学(CPO);存储芯片;芯片概念;注册制次新股;专精特新;高端装备;2026一季报预增;新股与次新股;融资融券,688808
17,8,688172.SH,国家大基金持股;第三代半导体;MCU芯片;芯片概念;传感器;国企改革;沪股通;融资融券,688172
17,10,688019.SH,中芯国际概念;存储芯片;光刻胶;先进封装;第三代半导体;芯片概念;专精特新;上海自贸区;沪股通;融资融券,688019
33,22,300567.SZ,国家大基金持股;存储芯片;中芯国际概念;先进封装;OLED;芯片概念;MiniLED;富士康概念;柔性屏(折叠屏);苹果概念;AI眼镜;MR(混合现实);小米概念;比亚迪概念;机器视觉;虚拟现实;华为概念;宁德时代概念;锂电池概念;深股通;玻璃基板;融资融券,300567
33,15,300751.SZ,钙钛矿电池;HJT电池;存储芯片;MicroLED概念;第三代半导体;芯片概念;先进封装;MiniLED;光伏概念;OLED;高端装备;新型工业化;锂电池概念;融资融券;深股通,300751
33,6,301566.SZ,5G;专精特新;军工;医疗器械概念;融资融券;深股通,301566
17,11,688362.SH,先进封装;MCU芯片;芯片概念;消费电子概念;汽车电子;5G;传感器;专精特新;数字货币;沪股通;融资融券,688362
151,6,920179.BJ,股权转让(并购重组);融资融券;芯片概念;光伏概念;中芯国际概念;专精特新,920179
17,6,688260.SH,光纤概念;消费电子概念;汽车电子;华为概念;无人驾驶;融资融券,688260
151,7,920725.BJ,比亚迪概念;融资融券;芯片概念;第三代半导体;培育钻石;6G概念;专精特新,920725
17,9,688652.SH,中芯国际概念;存储芯片;芯片概念;专精特新;高端装备;京津冀一体化;国企改革;沪股通;融资融券,688652
33,8,300649.SZ,新型城镇化;共同富裕示范区;PPP概念;水利;雄安新区;碳中和;IP经济(谷子经济);区块链,300649
33,11,301611.SZ,光刻机;存储芯片;第三代半导体;OLED;芯片概念;专精特新;锂电池概念;燃料电池;医疗器械概念;深股通;融资融券,301611
22,21,688646.SH,固态电池;锂电池概念;芯片概念;比亚迪概念;宁德时代概念;钠离子电池;专精特新;钙钛矿电池;储能;机器视觉;新能源汽车;长安汽车概念;动力电池回收;机器人概念;人形机器人;超级电容;新型工业化;一带一路;智能物流;装配式建筑;ST板块,688646
17,9,688605.SH,光刻机;中芯国际概念;芯片概念;专精特新;光伏概念;商业航天;医疗器械概念;沪股通;融资融券,688605
17,11,688530.SH,PET铜箔;芯片概念;MiniLED;MicroLED概念;HJT电池;钙钛矿电池;光伏概念;专精特新;小金属概念;可控核聚变;融资融券,688530
17,14,688700.SH,PCB概念;PET铜箔;华为手机;芯片概念;固态电池;专精特新;光伏概念;锂电池概念;HJT电池;高端装备;海峡两岸;玻璃基板;融资融券;沪股通,688700
33,32,300975.SZ,存储芯片;MCU芯片;汽车芯片;消费电子概念;AI眼镜;汽车电子;液冷服务器;毫米波雷达;芯片概念;东数西算(算力);数据中心(AIDC);物联网;抖音概念(字节概念);比亚迪概念;宁德时代概念;百度概念;新能源汽车;无人机;海峡两岸;机器人概念;低空经济;飞行汽车(eVTOL);智能物流;创投;一带一路;跨境电商;统一大市场;虚拟现实;OLED;超级电容;深股通;融资融券,300975
17,11,688401.SH,先进封装;第三代半导体;OLED;PCB概念;MiniLED;芯片概念;消费电子概念;专精特新;光刻机;沪股通;融资融券,688401
33,26,301099.SZ,存储芯片;汽车芯片;MCU芯片;芯片概念;消费电子概念;AI眼镜;汽车电子;传感器;智能座舱;比亚迪概念;光伏概念;新能源汽车;人形机器人;无人驾驶;机器人概念;语音技术;储能;车联网(车路协同);长安汽车概念;脑机接口;百度概念;人工智能;2026中报预增;深股通;股权转让(并购重组);融资融券,301099
17,11,688008.SH,存储芯片;中芯国际概念;芯片概念;消费电子概念;数据中心(AIDC);数据安全;人民币贬值受益;人工智能;2026中报预增;沪股通;融资融券,688008
33,33,300674.SZ,跨境支付(CIPS);Web3.0;数字货币;蚂蚁集团概念;虚拟数字人;区块链;互联网金融;AI应用;华为欧拉;鸿蒙概念;财税数字化;ChatGPT概念;化债概念(AMC概念);数据要素;华为鲲鹏;云计算;AI智能体;DeepSeek概念;信创;智谱AI;百度概念;腾讯概念;人工智能;MLOps概念;阿里巴巴概念;京津冀一体化;抖音概念(字节概念);算力租赁;创投;华为概念;数据中心(AIDC);融资融券;深股通,300674
17,16,688218.SH,专精特新;无线充电;高端装备;新型工业化;宁德时代概念;机器视觉;人形机器人;新能源汽车;低空经济;机器人概念;储能;特斯拉概念;人工智能;创投;DeepSeek概念;融资融券,688218
17,7,688082.SH,存储芯片;先进封装;中芯国际概念;第三代半导体;芯片概念;沪股通;融资融券,688082
17,14,688416.SH,存储芯片;汽车芯片;MCU芯片;中芯国际概念;芯片概念;消费电子概念;智能穿戴;小米概念;语音技术;智能家居;人工智能;AIGC概念;沪股通;融资融券,688416
17,8,688200.SH,第三代半导体;芯片概念;专精特新;高端装备;华为概念;京津冀一体化;沪股通;融资融券,688200
17,11,688535.SH,存储芯片;先进封装;汽车芯片;芯片概念;汽车电子;专精特新;华为概念;光伏概念;股权转让(并购重组);沪股通;融资融券,688535
33,14,300475.SZ,存储芯片;芯片概念;东数西算(算力);数据中心(AIDC);2026一季报预增;抖音概念(字节概念);腾讯概念;粤港澳大湾区;阿里巴巴概念;人民币贬值受益;家用电器;2026中报预增;深股通;融资融券,300475
33,8,301200.SZ,PCB概念;先进封装;工业母机;高端装备;2026中报预增;玻璃基板;深股通;融资融券,301200
17,20,688167.SH,光纤概念;共封装光学(CPO);光刻机;存储芯片;先进封装;OLED;MicroLED概念;芯片概念;消费电子概念;可控核聚变;3D打印;MR(混合现实);智能座舱;无人驾驶;机器视觉;虚拟现实;医美概念;西部大开发;沪股通;融资融券,688167
33,18,300806.SZ,PCB概念;光刻胶;富士康概念;苹果概念;柔性屏(折叠屏);消费电子概念;汽车电子;无线耳机;专精特新;特斯拉概念;新能源汽车;华为概念;石墨烯;虚拟现实;储能;氢能源;融资融券;深股通,300806
33,17,300706.SZ,存储芯片;PET铜箔;OLED;第三代半导体;芯片概念;超导概念;消费电子概念;HJT电池;小金属概念;钙钛矿电池;专精特新;光伏概念;钒电池;海峡两岸;福建自贸区;深股通;柔性屏(折叠屏),300706
33,21,300672.SZ,国家大基金持股;存储芯片;汽车芯片;WiFi 6;芯片概念;智能座舱;星闪概念;卫星导航;东数西算(算力);机器视觉;虚拟现实;专精特新;物联网;无人驾驶;机器人概念;车联网(车路协同);人工智能;鸿蒙概念;深股通;股权转让(并购重组);融资融券,300672
17,13,688502.SH,光刻机;光刻胶;芯片概念;专精特新;智能穿戴;机器视觉;无人驾驶;虚拟现实;人民币贬值受益;基因测序;眼科医疗;沪股通;融资融券,688502
17,11,688249.SH,汽车芯片;MCU芯片;OLED;芯片概念;MiniLED;MicroLED概念;消费电子概念;量子科技;国企改革;沪股通;融资融券,688249
33,27,300747.SZ,光纤概念;先进封装;OLED;PCB概念;芯片概念;5G;商业航天;BC电池;3D打印;光伏概念;工业母机;航空发动机;数字水印;无人机;TOPCON电池;新能源汽车;低空经济;高端装备;风电;央企国企改革;国企改革;宁德时代概念;玻璃基板;比亚迪概念;AI智能体;融资融券;深股通,300747
33,13,300593.SZ,芯片概念;5G;数据中心(AIDC);卫星导航;商业航天;比亚迪概念;专精特新;信创;储能;军工;军民融合;融资融券;深股通,300593
33,12,300534.SZ,流感;医药电商;三胎概念;创新药;医疗器械概念;中俄贸易概念;食品安全;西部大开发;参股券商;国企改革;专精特新;股权转让(并购重组),300534
33,35,301536.SZ,汽车芯片;芯片概念;消费电子概念;AI眼镜;卫星导航;智能穿戴;汽车电子;传感器;毫米波雷达;东数西算(算力);无人机;小米概念;星闪概念;专精特新;虚拟现实;网络安全;低空经济;机器视觉;海峡两岸;腾讯概念;安防;数据安全;无人驾驶;多模态AI;车联网(车路协同);移动支付;人脸识别;福建自贸区;新能源汽车;人工智能;机器人概念;智能家居;2026中报预增;融资融券;深股通,301536
17,19,688025.SH,共封装光学(CPO);PCB概念;光纤概念;苹果概念;芯片概念;MR(混合现实);3D打印;钙钛矿电池;机器视觉;比亚迪概念;专精特新;TOPCON电池;虚拟现实;宁德时代概念;固态电池;光伏概念;华为概念;沪股通;融资融券,688025
33,20,300843.SZ,铜缆高速连接;富士康概念;液冷服务器;消费电子概念;新型烟草(电子烟);高压快充;小米概念;数据中心(AIDC);比亚迪概念;智能座舱;新能源汽车;无人机;充电桩;储能;机器人概念;低空经济;人形机器人;飞行汽车(eVTOL);融资融券;深股通,300843
33,17,301328.SZ,汽车电子;铜缆高速连接;毫米波雷达;智能座舱;光伏概念;比亚迪概念;新能源汽车;人形机器人;数据中心(AIDC);无人驾驶;机器人概念;低空经济;粤港澳大湾区;海峡两岸;储能;深股通;融资融券,301328
33,16,300548.SZ,光纤概念;共封装光学(CPO);F5G概念;铜缆高速连接;5G;芯片概念;数据中心(AIDC);专精特新;机器视觉;华为概念;机器人概念;长三角一体化;抖音概念(字节概念);2026中报预增;融资融券;深股通,300548
17,14,688668.SH,铜缆高速连接;光纤概念;液冷服务器;5G;英伟达概念;商业航天;机器视觉;比亚迪概念;新能源汽车;长安汽车概念;2026中报预增;共封装光学(CPO);融资融券;沪股通,688668
33,23,300968.SZ,智能音箱;智能家居;虚拟现实;小米概念;华为概念;MR(混合现实);新型烟草(电子烟);机器人概念;智能穿戴;无人机;粤港澳大湾区;人民币贬值受益;卫星导航;AI手机;一带一路;消费电子概念;AI眼镜;商业航天;柔性屏(折叠屏);富士康概念;医美概念;深股通;融资融券,300968
33,25,301338.SZ,共封装光学(CPO);华为手机;PCB概念;富士康概念;先进封装;MiniLED;第三代半导体;汽车芯片;苹果概念;消费电子概念;芯片概念;工业母机;小米概念;专精特新;华为概念;机器视觉;新型工业化;比亚迪概念;工业互联网;军工;高端装备;锂电池概念;玻璃基板;深股通;融资融券,301338
17,11,688545.SH,国家大基金持股;中芯国际概念;存储芯片;光刻胶;先进封装;芯片概念;磷化工;独角兽概念;国企改革;沪股通;融资融券,688545
33,15,301070.SZ,光伏概念;东数西算(算力);比亚迪概念;华为昇腾;储能;无人驾驶;锂电池概念;高端装备;绿色电力;智慧政务;人工智能;DeepSeek概念;智能医疗;深股通;融资融券,301070
33,8,300236.SZ,中芯国际概念;光刻胶;存储芯片;先进封装;芯片概念;专精特新;深股通;融资融券,300236
151,10,920189.BJ,MicroLED概念;先进封装;芯片概念;有机硅概念;建筑节能;锂电池概念;专精特新;MiniLED;新股与次新股;融资融券,920189
33,11,300151.SZ,芯片概念;机器人概念;人民币贬值受益;创投;医疗器械概念;基因测序;辅助生殖;医药电商;存储芯片;融资融券;深股通,300151
151,11,920117.BJ,钠离子电池;石墨烯;氟化工概念;固态电池;锂电池概念;光伏概念;光刻胶;新股与次新股;融资融券;高端装备;专精特新,920117
33,10,300097.SZ,柔性屏(折叠屏);MicroLED概念;新型工业化;MiniLED;华为概念;智能物流;OLED;新能源汽车;摘帽;股权转让(并购重组),300097
17,9,688693.SH,第三代半导体;汽车芯片;芯片概念;专精特新;无人机;新能源汽车;充电桩;智能电网;融资融券,688693
17,14,688127.SH,共封装光学(CPO);光刻机;同花顺果指数;苹果概念;消费电子概念;芯片概念;5G;智能穿戴;华为概念;人民币贬值受益;一带一路;玻璃基板;沪股通;融资融券,688127
151,2,920187.BJ,新股与次新股;融资融券,920187
33,14,300951.SZ,苹果概念;富士康概念;汽车电子;消费电子概念;智能穿戴;智能座舱;虚拟现实;专精特新;新能源汽车;新型烟草(电子烟);低空经济;锂电池概念;深股通;融资融券,300951
33,26,300373.SZ,第三代半导体;汽车芯片;中芯国际概念;芯片概念;AI眼镜;5G;英伟达概念;高压快充;光伏概念;数据中心(AIDC);小米概念;固态电池;宁德时代概念;比亚迪概念;充电桩;储能;华为概念;新能源汽车;无人机;特斯拉概念;人形机器人;小米汽车;深股通;低空经济;华为汽车;融资融券,300373
151,5,920699.BJ,融资融券;比亚迪概念;华为概念;家用电器;东数西算(算力),920699
17,6,688233.SH,存储芯片;第三代半导体;芯片概念;专精特新;沪股通;融资融券,688233
33,22,300503.SZ,减速器;工业母机;人形机器人;新型工业化;机器人概念;传感器;富士康概念;高端装备;新能源汽车;比亚迪概念;商业航天;专精特新;燃料电池;人工智能;PCB概念;海峡两岸;粤港澳大湾区;芯片概念;氢能源;光伏概念;融资融券;深股通,300503
33,8,300835.SZ,消费电子概念;稀土永磁;数据中心(AIDC);光伏概念;专精特新;新能源汽车;融资融券;深股通,300835
33,11,300936.SZ,PCB概念;芯片概念;消费电子概念;毫米波雷达;5G;专精特新;卫星导航;无人驾驶;华为概念;储能;融资融券,300936
33,7,300868.SZ,AI眼镜;消费电子概念;智能穿戴;华为概念;跨境电商;深股通;融资融券,300868
33,14,300308.SZ,共封装光学(CPO);F5G概念;芯片概念;5G;液冷服务器;汽车电子;中国AI 50;数据中心(AIDC);同花顺新质50;无人驾驶;深股通;人民币贬值受益;创投;融资融券,300308
33,20,300620.SZ,共封装光学(CPO);光纤概念;芯片概念;5G;3D打印;量子科技;数据中心(AIDC);商业航天;2026一季报预增;卫星导航;无人驾驶;海工装备;横琴新区;粤港澳大湾区;一带一路;国企改革;2026中报预增;股权转让(并购重组);深股通;融资融券,300620
17,9,688138.SH,中芯国际概念;OLED;第三代半导体;芯片概念;专精特新;虚拟现实;先进封装;沪股通;融资融券,688138
17,12,688216.SH,存储芯片;先进封装;汽车芯片;MCU芯片;第三代半导体;芯片概念;消费电子概念;5G;传感器;专精特新;粤港澳大湾区;融资融券,688216
17,16,688536.SH,汽车芯片;MCU芯片;共封装光学(CPO);芯片概念;5G;传感器;智能座舱;专精特新;无人机;储能;人形机器人;安防;机器人概念;股权转让(并购重组);沪股通;融资融券,688536
33,29,301018.SZ,富士康概念;液冷服务器;5G;数据中心(AIDC);高压快充;东数西算(算力);可控核聚变;宁德时代概念;特高压;柔性直流输电;华为概念;成飞概念;新能源汽车;军工;锂电池概念;储能;抖音概念(字节概念);腾讯概念;空气能热泵;阿里巴巴概念;百度概念;核电;海工装备;DeepSeek概念;风电;抽水蓄能;碳中和;深股通;融资融券,301018
17,21,688123.SH,存储芯片;汽车芯片;共封装光学(CPO);中芯国际概念;芯片概念;AI眼镜;消费电子概念;智能穿戴;汽车电子;数据中心(AIDC);无线耳机;智能座舱;小米概念;华为概念;专精特新;新型烟草(电子烟);比亚迪概念;特斯拉概念;人民币贬值受益;沪股通;融资融券,688123
33,16,300112.SZ,新型工业化;人工智能;机器人概念;物联网;专精特新;机器视觉;军工;华为概念;新能源汽车;工业母机;氢能源;传感器;核电;光热发电;毫米波雷达;太赫兹,300112
33,18,301127.SZ,华为概念;充电桩;东数西算(算力);高端装备;风电;储能;专精特新;污水处理;净水概念;生物质能发电;新型城镇化;氢能源;固废处理;地下管网;PPP概念;绿色电力;深股通;融资融券,301127
151,18,920415.BJ,AI应用;鸿蒙概念;飞行汽车(eVTOL);阿里巴巴概念;车联网(车路协同);融资融券;百度概念;股权转让(并购重组);数字经济;拼多多概念;抖音概念(字节概念);卫星导航;信创;低空经济;人工智能;互联网金融;DeepSeek概念;AI智能体,920415
17,14,688655.SH,共封装光学(CPO);PCB概念;5G;汽车电子;智能穿戴;智能座舱;专精特新;新能源汽车;机器人概念;粤港澳大湾区;医疗器械概念;绿色电力;股权转让(并购重组);融资融券,688655
33,21,300042.SZ,存储芯片;汽车芯片;芯片概念;东数西算(算力);算力租赁;华为昇腾;AI眼镜;消费电子概念;智能穿戴;时空大数据;华为鲲鹏;粤港澳大湾区;智慧城市;知识产权保护;虚拟数字人;DeepSeek概念;人民币贬值受益;跨境电商;国企改革;深股通;融资融券,300042
33,27,300083.SZ,工业母机;新型工业化;人形机器人;一体化压铸;高端装备;比亚迪概念;机器人概念;飞行汽车(eVTOL);小米概念;新能源汽车;无线充电;消费电子概念;军工;智能穿戴;苹果概念;无人机;低空经济;工业互联网;粤港澳大湾区;华为概念;人工智能;液冷服务器;5G;创投;储能;深股通;融资融券,300083
17,15,688307.SH,光刻机;智能穿戴;智能座舱;专精特新;机器视觉;虚拟现实;无人驾驶;无人机;华为概念;海峡两岸;机器人概念;安防;人工智能;沪股通;融资融券,688307
17,10,688376.SH,中芯国际概念;光刻机;芯片概念;PM2.5;数据中心(AIDC);专精特新;腾讯概念;阿里巴巴概念;沪股通;融资融券,688376
