market_code,code,所属概念数量,股票代码,所属概念
17,688283,10,688283.SH,军工信息化;商业航天;卫星导航;军民融合;军工;车联网(车路协同);5G;专精特新;西部大开发;融资融券
33,301026,4,301026.SZ,黄金概念;小金属概念;金属回收;融资融券
151,920088,6,920088.BJ,空气能热泵;净水概念;专精特新;新疆振兴;融资融券;西部大开发
151,920019,5,920019.BJ,民爆概念;人民币贬值受益;一带一路;融资融券;国企改革
33,300017,23,300017.SZ,多模态AI;云计算;AI智能体;信创;虚拟数字人;华为鲲鹏;数据安全;AIGC概念;元宇宙;网络安全;算力租赁;东数西算(算力);在线教育;DeepSeek概念;人工智能;数字经济;数据中心;液冷服务器;人民币贬值受益;一带一路;阿尔茨海默概念;深股通;融资融券
33,300588,22,300588.SZ,时空大数据;数据要素;人脸识别;智慧城市;数字经济;人工智能;智慧政务;华为鲲鹏;DeepSeek概念;安防;独角兽概念;信创;网络安全;数据安全;东数西算(算力);华为概念;机器视觉;新疆振兴;西部大开发;专精特新;AI应用;股权转让(并购重组)
17,688766,8,688766.SH,存储芯片;MCU芯片;芯片概念;汽车电子;小米概念;华为概念;融资融券;沪股通
17,688272,12,688272.SH,量子科技;卫星导航;军民融合;车联网(车路协同);军工;无人机;机器视觉;无人驾驶;芯片概念;专精特新;机器人概念;融资融券
33,300436,10,300436.SZ,创新药;基因测序;辅助生殖;肝炎概念;仿制药一致性评价;医药电商;福建自贸区;海峡两岸;融资融券;深股通
33,300818,7,300818.SZ,黄金概念;金属铜;宁德时代概念;高端装备;专精特新;人民币贬值受益;一带一路
33,300765,7,300765.SZ,减肥药;创新药;生物疫苗;维生素;回购增持再贷款概念;融资融券;深股通
17,688699,5,688699.SH,MiniLED;先进封装;芯片概念;专精特新;融资融券
17,688191,17,688191.SH,智能电网;数字孪生;人工智能;多模态AI;DeepSeek概念;AI智能体;特高压;鸿蒙概念;水利;华为概念;华为昇腾;专精特新;风电;机器视觉;无人机;沪股通;融资融券
33,300373,26,300373.SZ,汽车芯片;第三代半导体;中芯国际概念;人形机器人;芯片概念;英伟达概念;特斯拉概念;AI眼镜;小米汽车;小米概念;比亚迪概念;新能源汽车;华为汽车;5G;宁德时代概念;高压快充;光伏概念;无人机;充电桩;储能;固态电池;低空经济;华为概念;回购增持再贷款概念;深股通;融资融券
151,920634,6,920634.BJ,风电;海工装备;储能;融资融券;金属锌;专精特新
33,301218,31,301218.SZ,空间计算;数据要素;时空大数据;智慧政务;卫星导航;数据安全;阿里巴巴概念;网络安全;人脸识别;人工智能;智慧城市;DeepSeek概念;低空经济;华为概念;智能医疗;无人机;物联网;安防;机器视觉;传感器;数据中心;机器人概念;专精特新;水利;共同富裕示范区;智能电网;人形机器人;一带一路;AI应用;股权转让(并购重组);融资融券
22,688646,19,688646.SH,宁德时代概念;锂电池概念;钙钛矿电池;固态电池;储能;新能源汽车;比亚迪概念;智能物流;钠离子电池;动力电池回收;专精特新;新型工业化;ST板块;芯片概念;机器人概念;长安汽车概念;装配式建筑;机器视觉;人形机器人
17,688210,12,688210.SH,苹果概念;柔性屏(折叠屏);3D打印;消费电子概念;无人机;AI眼镜;智能穿戴;专精特新;人民币贬值受益;回购增持再贷款概念;沪股通;融资融券
33,300967,6,300967.SZ,养鸡;乡村振兴;绿色电力;西部大开发;2025年报预增;融资融券
17,603077,21,603077.SH,金属锌;金属铅;磷化工;金属铜;草甘膦;化肥;黄金概念;硅能源;锂电池概念;天然气;稀土永磁;TOPCON电池;建筑节能;光伏概念;绿色电力;西部大开发;回购增持再贷款概念;一带一路;参股银行;沪股通;融资融券
17,600871,13,600871.SH,可燃冰;页岩气;俄乌冲突概念;天然气;雄安新区;碳中和;国企改革;一带一路;海工装备;央企国企改革;氢能源;融资融券;沪股通
33,002160,12,002160.SZ,金属回收;固态电池;锂电池概念;宁德时代概念;工业母机;国企改革;特斯拉概念;比亚迪概念;新能源汽车;汽车热管理;医疗器械概念;融资融券
33,000751,6,000751.SZ,金属锌;金属铜;小金属概念;黄金概念;金属回收;深股通
33,000620,12,000620.SZ,存储芯片;芯片概念;旅游概念;乡村振兴;参股银行;体育产业;京津冀一体化;IP经济(谷子经济);数据要素;短剧游戏;AI智能体;深股通
17,600313,14,600313.SH,玉米;转基因;粮食概念;大豆;土地流转;农业种植;乡村振兴;国企改革;央企国企改革;一带一路;化肥;2025年报预增;沪股通;融资融券
17,600916,9,600916.SH,黄金概念;国企改革;回购增持再贷款概念;央企国企改革;培育钻石;同花顺中特估100;中字头股票;沪股通;融资融券
33,002724,9,002724.SZ,智慧灯杆;粤港澳大湾区;军工;无人机;智慧城市;物联网;核电;证金持股;深股通
17,601212,12,601212.SH,金属铅;金属锌;黄金概念;金属铜;金属镍;小金属概念;锂电池概念;超导概念;西部大开发;可控核聚变;沪股通;融资融券
17,600490,11,600490.SH,金属锌;黄金概念;金属铜;小金属概念;金属镍;金属钴;锂电池概念;俄乌冲突概念;一带一路;沪股通;融资融券
17,600170,29,600170.SH,房屋检测;光伏建筑一体化;装配式建筑;雄安新区;新型城镇化;PPP概念;地下管网;物业管理;水泥概念;土壤修复;水利;上海国企改革;乡村振兴;参股券商;数字孪生;绿色电力;碳中和;DeepSeek概念;人工智能;国企改革;一带一路;证金持股;核电;数据中心;黄金概念;机器人概念;低空经济;融资融券;沪股通
17,603900,3,603900.SH,黄金概念;IP经济(谷子经济);股权转让(并购重组)
33,002440,4,002440.SZ,染料;2025年报预增;深股通;融资融券
17,603958,7,603958.SH,机器人概念;华为概念;DeepSeek概念;消费电子概念;海峡两岸;3D打印;股权转让(并购重组)
33,002721,16,002721.SZ,黄金概念;DeepSeek概念;数字经济;AI智能体;人工智能;互联网金融;区块链;阿里巴巴概念;移动支付;智慧政务;数字货币;小金属概念;国企改革;3D打印;深股通;摘帽
33,002169,16,002169.SZ,特高压;钒电池;光伏概念;充电桩;宁德时代概念;智能电网;储能;虚拟电厂;电力物联网;绿色电力;碳中和;芯片概念;工业互联网;数据中心;深股通;融资融券
33,000758,16,000758.SZ,金属锌;金属铜;金属铅;小金属概念;金属回收;黄金概念;金属钴;稀土永磁;回购增持再贷款概念;一带一路;国企改革;央企国企改革;人民币贬值受益;深股通;融资融券;中字头股票
17,601600,13,601600.SH,中字头股票;小金属概念;稀土永磁;俄乌冲突概念;锂电池概念;沪股通;融资融券;同花顺中特估100;证金持股;央企国企改革;国企改革;风电;乡村振兴
33,000878,9,000878.SZ,金属铜;黄金概念;小金属概念;期货概念;西部大开发;央企国企改革;国企改革;深股通;融资融券
33,002119,8,002119.SZ,存储芯片;先进封装;芯片概念;专精特新;核电;自由贸易港;深股通;融资融券
17,603132,6,603132.SH,金属锌;金属铅;小金属概念;西部大开发;专精特新;沪股通
33,001376,2,001376.SZ,碳中和;深股通
33,002114,8,002114.SZ,金属锌;金属铅;金属铜;小金属概念;西部大开发;绿色电力;乡村振兴;粮食概念
17,600655,15,600655.SH,预制菜;白酒概念;宠物经济;冰雪产业;旅游概念;跨境电商;IP经济(谷子经济);体育产业;绿色电力;黄金概念;蚂蚁集团概念;培育钻石;小金属概念;沪股通;融资融券
33,002237,11,002237.SZ,金属铅;黄金概念;金属锌;金属铜;小金属概念;金属回收;磷化工;化肥;国企改革;深股通;融资融券
33,000815,10,000815.SZ,东数西算(算力);云计算;国资云;数据中心;西部大开发;国企改革;央企国企改革;绿色电力;深股通;融资融券
17,600987,7,600987.SH,污水处理;共同富裕示范区;染料;回购增持再贷款概念;黄金概念;沪股通;融资融券
33,000630,11,000630.SZ,金属铜;金属镍;黄金概念;小金属概念;锂电池概念;新能源汽车;5G;国企改革;PCB概念;深股通;融资融券
17,600961,10,600961.SH,金属铅;金属锌;黄金概念;金属铜;小金属概念;金属回收;央企国企改革;国企改革;融资融券;沪股通
33,000506,9,000506.SZ,黄金概念;金属铜;小金属概念;股权转让(并购重组);一带一路;国企改革;人民币贬值受益;深股通;摘帽
17,603988,5,603988.SH,新能源汽车;储能;风电;股权转让(并购重组);沪股通
17,600459,18,600459.SH,黄金概念;小金属概念;金属回收;俄乌冲突概念;氢能源;西部大开发;燃料电池;PM2.5;固废处理;专精特新;新能源汽车;芯片概念;脑机接口;国企改革;军工;华为概念;沪股通;融资融券
33,000603,9,000603.SZ,金属铅;金属锌;黄金概念;金属铜;金属镍;小金属概念;文化传媒概念;深股通;融资融券
17,603680,6,603680.SH,高铁;一带一路;充电桩;储能;2025年报预增;沪股通
17,600489,8,600489.SH,黄金概念;金属铜;小金属概念;央企国企改革;国企改革;沪股通;融资融券;中字头股票
17,600230,5,600230.SH,国企改革;央企国企改革;京津冀一体化;沪股通;融资融券
17,600531,12,600531.SH,金属铅;金属锌;黄金概念;金属铜;小金属概念;金属回收;锂电池概念;固废处理;核电;国企改革;沪股通;融资融券
33,001360,10,001360.SZ,黄金概念;固废处理;高端装备;金属回收;一带一路;专精特新;雅下水电概念;锂电池概念;机器视觉;融资融券
33,001337,5,001337.SZ,黄金概念;西部大开发;国企改革;融资融券;深股通
17,600740,7,600740.SH,煤炭概念;煤化工概念;国企改革;碳纤维;工业互联网;融资融券;沪股通
17,603256,11,603256.SH,PCB概念;华为手机;苹果概念;消费电子概念;5G;芯片概念;海峡两岸;专精特新;华为概念;2025年报预增;沪股通
17,601702,6,601702.SH,特斯拉概念;新能源汽车;比亚迪概念;专精特新;融资融券;沪股通
17,603619,9,603619.SH,俄乌冲突概念;天然气;新疆振兴;一带一路;回购增持再贷款概念;海工装备;机器人概念;沪股通;融资融券
17,603601,14,603601.SH,商业航天;大飞机;核污染防治;核电;PM2.5;西部大开发;建筑节能;芯片概念;特斯拉概念;新能源汽车;家用电器;宁德时代概念;中芯国际概念;融资融券
33,000060,13,000060.SZ,金属锌;金属铅;金属铜;小金属概念;金属镍;黄金概念;金属钴;金属回收;国企改革;期货概念;DeepSeek概念;深股通;融资融券
33,000737,7,000737.SZ,金属铜;黄金概念;小金属概念;PCB概念;国企改革;融资融券;深股通
17,600988,9,600988.SH,金属铅;黄金概念;金属铜;2025年报预增;稀土永磁;西部大开发;人民币贬值受益;沪股通;融资融券
33,003042,4,003042.SZ,供销社;乡村振兴;草甘膦;中俄贸易概念
17,600759,8,600759.SH,海南自贸区;俄乌冲突概念;土地流转;天然气;一带一路;人民币贬值受益;融资融券;沪股通
33,002155,9,002155.SZ,金属铅;金属锌;黄金概念;小金属概念;乡村振兴;2025年报预增;国企改革;深股通;融资融券
17,601799,10,601799.SH,人形机器人;无人驾驶;机器人概念;华为汽车;智能座舱;沪股通;毫米波雷达;MicroLED概念;汽车电子;融资融券
33,000962,13,000962.SZ,超导概念;可控核聚变;航空发动机;超级电容;小金属概念;核电;商业航天;3D打印;央企国企改革;芯片概念;西部大开发;国企改革;深股通
17,603052,11,603052.SH,共封装光学(CPO);OLED;芯片概念;消费电子概念;宁德时代概念;固态电池;锂电池概念;专精特新;新能源汽车;传感器;沪股通
17,600262,9,600262.SH,氢能源;人民币贬值受益;无人驾驶;央企国企改革;西部大开发;车联网(车路协同);国企改革;华为概念;2025三季报预增
17,600352,5,600352.SH,染料;创投;沪股通;融资融券;人工智能
33,002342,15,002342.SZ,商业航天;军工;京津冀一体化;海工装备;水利;核电;高端装备;雄安新区;光伏概念;一带一路;风电;抽水蓄能;白酒概念;深股通;融资融券
33,002842,3,002842.SZ,金属铜;小金属概念;光伏概念
33,002080,22,002080.SZ,PCB概念;2025年报预增;固态电池;宁德时代概念;锂电池概念;5G;新能源汽车;6G概念;燃料电池;氢能源;无人机;深股通;一带一路;海工装备;军工;污水处理;风电;商业航天;国企改革;央企国企改革;中字头股票;融资融券
33,000807,10,000807.SZ,俄乌冲突概念;深股通;融资融券;央企国企改革;碳交易;燃料电池;西部大开发;国企改革;新能源汽车;工业互联网
17,601069,7,601069.SH,黄金概念;金属铜;小金属概念;西部大开发;国企改革;沪股通;融资融券
33,002455,13,002455.SZ,磷化工;石墨电极;动力电池回收;金属回收;锂电池概念;钠离子电池;固态电池;宁德时代概念;储能;光刻胶;新能源汽车;深股通;融资融券
33,002667,8,002667.SZ,金属锌;金属铅;小金属概念;锂电池概念;磷化工;储能;垃圾分类;融资融券
17,600869,44,600869.SH,可控核聚变;超导概念;光伏概念;核电;商业航天;海工装备;高端装备;铜缆高速连接;军工;特高压;雅下水电概念;光纤概念;芯片概念;风电;军民融合;PET铜箔;智能电网;无人机;低空经济;柔性直流输电;储能;充电桩;液冷服务器;锂电池概念;特斯拉概念;机器人概念;新能源汽车;数据中心;回购增持再贷款概念;宁德时代概念;人形机器人;固态电池;西部大开发;华为概念;东数西算(算力);独角兽概念;智慧城市;人工智能;钠离子电池;DeepSeek概念;阿里巴巴概念;参股银行;沪股通;融资融券
17,605599,4,605599.SH,黄金概念;国企改革;IP经济(谷子经济);沪股通
33,002532,8,002532.SZ,俄乌冲突概念;钠离子电池;锂电池概念;回购增持再贷款概念;西部大开发;新疆振兴;融资融券;深股通
33,002716,11,002716.SZ,金属铅;金属锌;黄金概念;金属铜;小金属概念;金属回收;回购增持再贷款概念;国企改革;深股通;2025年报预增;融资融券
33,000573,9,000573.SZ,物业管理;广东自贸区;粤港澳大湾区;创投;金属回收;锂电池概念;动力电池回收;互联网金融;金属铅
17,600547,7,600547.SH,黄金概念;2025三季报预增;沪股通;融资融券;证金持股;国企改革;数字经济
17,601388,8,601388.SH,金属回收;汽车拆解概念;固废处理;海峡两岸;人民币贬值受益;融资融券;2025年报预增;沪股通
33,002207,6,002207.SZ,页岩气;俄乌冲突概念;天然气;新疆振兴;西部大开发;国企改革
33,000599,18,000599.SZ,中韩自贸区;军民融合;大飞机;军工;一带一路;新型工业化;石墨烯;机器人概念;股权转让(并购重组);国企改革;新能源汽车;长安汽车概念;物联网;工业互联网;比亚迪概念;华为概念;人民币贬值受益;超级品牌
17,600219,13,600219.SH,金属回收;锂电池概念;宁德时代概念;高股息精选;证金持股;一带一路;高铁;新能源汽车;沪股通;融资融券;人民币贬值受益;大飞机;机器人概念
17,603188,3,603188.SH,染料;固废处理;国企改革
17,601068,10,601068.SH,中字头股票;盐湖提锂;稀土永磁;国企改革;央企国企改革;一带一路;PPP概念;高端装备;沪股通;融资融券
17,601015,7,601015.SH,煤炭概念;煤化工概念;天然气;污水处理;西部大开发;沪股通;融资融券
33,002578,6,002578.SZ,海峡两岸;宁德时代概念;国企改革;光伏概念;新能源汽车;5G
17,603993,13,603993.SH,金属钴;金属铜;金属镍;小金属概念;黄金概念;盐湖提锂;磷化工;同花顺出海50;宁德时代概念;同花顺漂亮100;沪股通;融资融券;人民币贬值受益
17,603599,3,603599.SH,草甘膦;沪股通;融资融券
33,000933,8,000933.SZ,煤炭概念;俄乌冲突概念;锂电池概念;宁德时代概念;风电;深股通;国企改革;融资融券
17,600595,6,600595.SH,超导概念;2025年报预增;煤炭概念;风电;融资融券;沪股通
33,300820,14,300820.SZ,可控核聚变;核电;光伏概念;充电桩;氢能源;第三代半导体;储能;专精特新;TOPCON电池;新能源汽车;芯片概念;西部大开发;深股通;融资融券
33,000426,11,000426.SZ,金属铅;金属锌;金属镍;黄金概念;金属铜;小金属概念;金属钴;西部大开发;俄乌冲突概念;深股通;融资融券
33,301606,10,301606.SZ,苹果概念;无线耳机;无线充电;消费电子概念;人民币贬值受益;华为概念;储能;跨境电商;深股通;融资融券
33,002379,4,002379.SZ,股权转让(并购重组);金属回收;深股通;融资融券
17,600497,12,600497.SH,金属锌;金属铅;小金属概念;黄金概念;金属回收;西部大开发;军工;央企国企改革;国企改革;光纤概念;沪股通;融资融券
33,300671,18,300671.SZ,汽车芯片;MCU芯片;MiniLED;WiFi 6;5G;毫米波雷达;新型烟草(电子烟);先进封装;芯片概念;无线耳机;第三代半导体;粤港澳大湾区;存储芯片;智能家居;专精特新;海峡两岸;深股通;融资融券
17,600481,16,600481.SH,硅能源;光热发电;光伏概念;核电;高端装备;氢能源;储能;碳中和;工业互联网;数据中心;超超临界发电;专精特新;DeepSeek概念;液冷服务器;融资融券;沪股通
17,600612,7,600612.SH,黄金概念;国企改革;IP经济(谷子经济);小金属概念;沪股通;融资融券;AI眼镜
33,002648,12,002648.SZ,环氧丙烷;POE胶膜;丙烯酸;煤化工概念;长三角一体化;氢能源;燃料电池;三胎概念;锂电池概念;互联网金融;融资融券;深股通
33,301086,17,301086.SZ,富士康概念;液冷服务器;苹果概念;工业母机;消费电子概念;汽车热管理;新能源汽车;华为数字能源;锂电池概念;新型工业化;专精特新;储能;华为概念;回购增持再贷款概念;虚拟现实;深股通;融资融券
33,002064,3,002064.SZ,可降解塑料;深股通;融资融券
17,688668,12,688668.SH,铜缆高速连接;液冷服务器;英伟达概念;5G;比亚迪概念;新能源汽车;机器视觉;长安汽车概念;商业航天;2025年报预增;融资融券;沪股通
17,601699,5,601699.SH,煤炭概念;煤化工概念;国企改革;沪股通;融资融券
17,600301,8,600301.SH,金属铅;金属锌;金属铜;小金属概念;DeepSeek概念;西部大开发;国企改革;沪股通
33,000629,9,000629.SZ,钛白粉概念;小金属概念;钒电池;储能;西部大开发;回购增持再贷款概念;国企改革;深股通;融资融券
33,300938,15,300938.SZ,汽车拆解概念;低空经济;军民融合;军工;比亚迪概念;华为汽车;特斯拉概念;华为概念;DeepSeek概念;食品安全;机器人概念;小米概念;AI眼镜;深股通;融资融券
33,000975,9,000975.SZ,金属铅;黄金概念;金属锌;小金属概念;回购增持再贷款概念;西部大开发;国企改革;深股通;融资融券
17,603578,3,603578.SH,共同富裕示范区;光伏概念;专精特新
17,603685,6,603685.SH,PCB概念;家用电器;长三角一体化;东数西算(算力);风电;绿色电力
33,301446,4,301446.SZ,风电;农机;数据中心;融资融券
17,688205,9,688205.SH,共封装光学(CPO);F5G概念;5G;芯片概念;数据中心;东数西算(算力);专精特新;沪股通;融资融券
33,002867,5,002867.SZ,黄金概念;IP经济(谷子经济);创投;深股通;融资融券
33,300697,7,300697.SZ,金属铜;新能源汽车;石墨烯;氢能源;高铁;国企改革;深股通
33,301178,39,301178.SZ,语音技术;智能医疗;数据确权;空间计算;鸿蒙概念;数字乡村;华为欧拉;数据要素;人脸识别;Web3.0;信创;智慧政务;腾讯概念;人工智能;算力租赁;安防;财税数字化;区块链;智慧城市;AI智能体;网络安全;数字经济;ChatGPT概念;DeepSeek概念;时空大数据;职业教育;虚拟现实;东数西算(算力);数字孪生;华为概念;数据中心;机器人概念;乡村振兴;高铁;虚拟电厂;绿色电力;AI应用;股权转让(并购重组);融资融券
33,300127,7,300127.SZ,稀土永磁;军工;特斯拉概念;新能源汽车;华为概念;西部大开发;深股通
33,002378,7,002378.SZ,小金属概念;金属铜;工业母机;军工;深股通;融资融券;2025年报预增
17,601001,4,601001.SH,煤炭概念;国企改革;沪股通;融资融券
17,601168,14,601168.SH,金属锌;金属铅;金属铜;金属镍;黄金概念;小金属概念;金属回收;盐湖提锂;锂电池概念;钒电池;西部大开发;沪股通;融资融券;国企改革
17,600618,7,600618.SH,环氧丙烷;消毒剂;氟化工概念;上海国企改革;国企改革;沪股通;融资融券
33,002851,25,002851.SZ,超级电容;第三代半导体;英伟达概念;芯片概念;高压快充;光伏概念;小米概念;数据中心;新能源汽车;中国AI 50;高端装备;储能;智能电网;充电桩;新型工业化;机器人概念;风电;高铁;家用电器;一带一路;智能家居;车联网(车路协同);医疗器械概念;融资融券;深股通
17,605289,14,605289.SH,空间计算;换电概念;智慧灯杆;智慧城市;新能源汽车;人工智能;DeepSeek概念;IP经济(谷子经济);虚拟现实;东数西算(算力);元宇宙;液冷服务器;沪股通;股权转让(并购重组)
33,002353,16,002353.SZ,页岩气;天然气;海工装备;同花顺出海50;核电;高端装备;中俄贸易概念;污水处理;一带一路;土壤修复;数据中心;回购增持再贷款概念;锂电池概念;动力电池回收;深股通;融资融券
33,300570,11,300570.SZ,共封装光学(CPO);F5G概念;铜缆高速连接;光纤概念;5G;芯片概念;数据中心;传感器;人民币贬值受益;融资融券;深股通
33,300375,12,300375.SZ,长安汽车概念;传感器;京津冀一体化;华为汽车;新能源汽车;比亚迪概念;汽车热管理;小米汽车;小米概念;储能;百度概念;宁德时代概念
17,601969,20,601969.SH,海南自贸区;自由贸易港;金属钴;金属铜;小金属概念;氟化工概念;黄金概念;锂电池概念;旅游概念;固废处理;碳中和;参股银行;土壤修复;乡村振兴;天然气;创投;回购增持再贷款概念;参股保险;沪股通;融资融券
17,601061,12,601061.SH,金属锌;金属铜;黄金概念;小金属概念;金属镍;超导概念;一带一路;国企改革;同花顺中特估100;沪股通;中字头股票;融资融券
151,920403,7,920403.BJ,转基因;玉米;乡村振兴;融资融券;粮食概念;人工智能;农业种植
17,688368,9,688368.SH,MCU芯片;汽车芯片;芯片概念;英伟达概念;小米概念;专精特新;无线充电;沪股通;融资融券
33,002998,0,002998.SZ,
33,301123,17,301123.SZ,共封装光学(CPO);铜缆高速连接;液冷服务器;PCB概念;宁德时代概念;新型烟草(电子烟);消费电子概念;人形机器人;比亚迪概念;锂电池概念;汽车电子;小米概念;新能源汽车;机器人概念;储能;深股通;融资融券
151,920061,7,920061.BJ,宁德时代概念;融资融券;专精特新;机器人概念;稀土永磁;固态电池;锂电池概念
33,000612,6,000612.SZ,股权转让(并购重组);稀土永磁;煤炭概念;深股通;2025年报预增;融资融券
17,688027,10,688027.SH,量子科技;商业航天;军工;芯片概念;专精特新;央企国企改革;国企改革;股权转让(并购重组);沪股通;融资融券
33,002731,4,002731.SZ,黄金概念;锂电池概念;三胎概念;IP经济(谷子经济)
33,002318,9,002318.SZ,特钢概念;超超临界发电;可控核聚变;核电;海工装备;回购增持再贷款概念;同花顺出海50;融资融券;深股通
17,605376,11,605376.SH,小金属概念;金属镍;3D打印;光伏概念;锂电池概念;硅能源;专精特新;人民币贬值受益;2025年报预增;融资融券;沪股通
33,001280,12,001280.SZ,小金属概念;超导概念;稀土永磁;核电;注册制次新股;央企国企改革;一带一路;军工;深股通;中字头股票;新股与次新股;融资融券
17,603061,4,603061.SH,2025年报预增;芯片概念;专精特新;沪股通
17,601958,7,601958.SH,小金属概念;OLED;西部大开发;军工;国企改革;沪股通;融资融券
17,688530,7,688530.SH,HJT电池;专精特新;光伏概念;芯片概念;钙钛矿电池;PET铜箔;融资融券
33,300619,11,300619.SZ,钠离子电池;固态电池;硅能源;有机硅概念;锂电池概念;小金属概念;光伏概念;新能源汽车;高端装备;粤港澳大湾区;深股通
17,601118,10,601118.SH,海南自贸区;赛马概念;农业种植;碳中和;乡村振兴;国企改革;可降解塑料;军工;融资融券;沪股通
33,301396,31,301396.SZ,ChatGPT概念;财税数字化;云计算;AI智能体;算力租赁;多模态AI;智慧政务;腾讯概念;信创;数据要素;东数西算(算力);空间计算;MR(混合现实);DeepSeek概念;数字经济;人工智能;数据中心;智慧城市;华为概念;安防;职业教育;智能医疗;物联网;AI应用;旅游概念;专精特新;智能物流;乡村振兴;新型城镇化;深股通;融资融券
33,002144,8,002144.SZ,共同富裕示范区;长三角一体化;医疗器械概念;新能源汽车;机器人概念;比亚迪概念;碳纤维;互联网金融
17,600888,8,600888.SH,石墨烯;新疆振兴;西部大开发;一带一路;一体化压铸;军工;沪股通;融资融券
33,000655,6,000655.SZ,金属铜;小金属概念;钒电池;国企改革;深股通;融资融券
17,600938,11,600938.SH,同花顺中特估100;页岩气;天然气;同花顺出海50;国企改革;央企国企改革;海工装备;风电;沪股通;中字头股票;融资融券
17,688123,20,688123.SH,存储芯片;中芯国际概念;汽车芯片;芯片概念;消费电子概念;无线耳机;AI眼镜;汽车电子;小米概念;智能穿戴;智能座舱;新型烟草(电子烟);特斯拉概念;比亚迪概念;专精特新;数据中心;人民币贬值受益;华为概念;沪股通;融资融券
33,002536,21,002536.SZ,液冷服务器;汽车热管理;汽车电子;特斯拉概念;芯片概念;小米汽车;新能源汽车;数据中心;长安汽车概念;机器人概念;储能;燃料电池;华为概念;人民币贬值受益;充电桩;海峡两岸;无人机;低空经济;一带一路;深股通;融资融券
33,300618,9,300618.SZ,金属钴;金属镍;小金属概念;金属铜;动力电池回收;锂电池概念;人民币贬值受益;深股通;融资融券
151,920471,7,920471.BJ,基因测序;NMN概念;环氧丙烷;融资融券;合成生物;京津冀一体化;可降解塑料
33,301141,10,301141.SZ,稀土永磁;5G;消费电子概念;智能音箱;专精特新;机器人概念;新能源汽车;一带一路;深股通;融资融券
17,601869,22,601869.SH,共封装光学(CPO);铜缆高速连接;光纤概念;第三代半导体;芯片概念;特高压;人形机器人;5G;新能源汽车;专精特新;智能电网;机器人概念;风电;太赫兹;海工装备;量子科技;一带一路;工业互联网;沪股通;创投;抖音概念(字节概念);融资融券
33,002128,11,002128.SZ,煤炭概念;绿色电力;西部大开发;国企改革;风电;央企国企改革;深股通;融资融券;储能;数据要素;股权转让(并购重组)
33,000554,8,000554.SZ,俄乌冲突概念;天然气;国企改革;氢能源;央企国企改革;充电桩;2025三季报预增;融资融券
17,603663,13,603663.SH,固态电池;小金属概念;宁德时代概念;稀土永磁;芯片概念;专精特新;氢能源;一体化压铸;核电;回购增持再贷款概念;海峡两岸;沪股通;融资融券
33,000830,14,000830.SZ,煤化工概念;磷化工;化肥;生态农业;消毒剂;有机硅概念;氟化工概念;天然气;国企改革;乡村振兴;央企国企改革;氢能源;深股通;融资融券
17,688416,10,688416.SH,存储芯片;中芯国际概念;MCU芯片;芯片概念;消费电子概念;小米概念;语音技术;回购增持再贷款概念;人工智能;融资融券
33,002552,7,002552.SZ,黄金概念;股权转让(并购重组);国企改革;PCB概念;5G;互联网金融;深股通
