code,所属概念数量,所属概念,market_code,股票代码
300499,27,液冷服务器;数据中心;柔性直流输电;汽车电子;东数西算(算力);可控核聚变;特高压;核电;宁德时代概念;比亚迪概念;充电桩;新能源汽车;专精特新;军工;储能;光伏概念;风电;阿里巴巴概念;腾讯概念;抖音概念(字节概念);锂电池概念;粤港澳大湾区;一带一路;中俄贸易概念;天然气;深股通;融资融券,33,300499.SZ
688556,9,光伏概念;第三代半导体;减速器;人形机器人;机器视觉;机器人概念;多模态AI;沪股通;融资融券,17,688556.SH
300561,15,语音技术;物联网;人脸识别;网络安全;人工智能;信创;粤港澳大湾区;ST板块;数据安全;区块链;百度概念;互联网金融;AI应用;物业管理;股权转让(并购重组),33,300561.SZ
301373,3,光伏概念;专精特新;融资融券,33,301373.SZ
301282,31,共封装光学(CPO);PCB概念;富士康概念;5G;汽车电子;消费电子概念;无人机;数据中心;商业航天;卫星导航;比亚迪概念;军工;智能座舱;海峡两岸;华为概念;新能源汽车;低空经济;物联网;东数西算(算力);无人驾驶;机器人概念;宁德时代概念;充电桩;华为汽车;车联网(车路协同);储能;高铁;智能家居;固态电池;创投;融资融券,33,301282.SZ
301611,11,存储芯片;光刻机;OLED;第三代半导体;芯片概念;专精特新;锂电池概念;燃料电池;医疗器械概念;深股通;融资融券,33,301611.SZ
301535,12,无人驾驶;专精特新;智能座舱;汽车电子;小米概念;长安汽车概念;小米汽车;新能源汽车;注册制次新股;深股通;新股与次新股;融资融券,33,301535.SZ
300736,3,区块链;华为概念;苹果概念,33,300736.SZ
300964,22,6G概念;5G;共封装光学(CPO);卫星导航;PCB概念;毫米波雷达;商业航天;华为概念;军工;无人机;虚拟现实;汽车电子;低空经济;专精特新;工业互联网;机器人概念;充电桩;新能源汽车;特斯拉概念;创投;医疗器械概念;融资融券,33,300964.SZ
688726,10,BC电池;TOPCON电池;钙钛矿电池;光伏概念;第三代半导体;芯片概念;专精特新;比亚迪概念;沪股通;融资融券,17,688726.SH
300285,15,商业航天;卫星导航;3D打印;芯片概念;5G;消费电子概念;宁德时代概念;比亚迪概念;氢能源;新能源汽车;固态电池;牙科医疗;锂电池概念;深股通;融资融券,33,300285.SZ
688648,16,无人驾驶;智能物流;机器人概念;机器视觉;专精特新;人工智能;拼多多概念;国企改革;华为概念;阿里巴巴概念;无人机;统一大市场;抖音概念(字节概念);沪股通;中字头股票;融资融券,17,688648.SH
301045,3,华为概念;小米概念;融资融券,33,301045.SZ
300394,13,共封装光学(CPO);光纤概念;先进封装;英伟达概念;5G;数据中心;华为概念;同花顺新质50;专精特新;无人驾驶;人民币贬值受益;深股通;融资融券,33,300394.SZ
688223,10,BC电池;钙钛矿电池;TOPCON电池;光伏概念;储能;同花顺漂亮100;DeepSeek概念;人民币贬值受益;沪股通;融资融券,17,688223.SH
301577,14,充电桩;海峡两岸;高压快充;专精特新;数据中心;5G;新能源汽车;数字货币;富士康概念;比亚迪概念;WiFi 6;无人驾驶;小米概念;融资融券,33,301577.SZ
300969,7,人形机器人;汽车热管理;比亚迪概念;新能源汽车;无人驾驶;深股通;融资融券,33,300969.SZ
688692,7,AI语料;信创;数据要素;华为概念;智能电网;沪股通;融资融券,17,688692.SH
300328,21,柔性屏(折叠屏);消费电子概念;AI眼镜;宁德时代概念;毫米波雷达;特斯拉概念;新能源汽车;比亚迪概念;一体化压铸;5G;智能穿戴;智能座舱;有机硅概念;人形机器人;小米概念;华为概念;医疗器械概念;国企改革;人工智能;深股通;融资融券,33,300328.SZ
688331,5,细胞免疫治疗;创新药;眼科医疗;沪股通;融资融券,17,688331.SH
300953,16,人形机器人;小米汽车;比亚迪概念;新能源汽车;小米概念;机器人概念;飞行汽车(eVTOL);宁德时代概念;储能;低空经济;锂电池概念;2025三季报预增;2025年报预增;一带一路;深股通;融资融券,33,300953.SZ
688506,5,创新药;人民币贬值受益;西部大开发;沪股通;融资融券,17,688506.SH
002445,10,文化传媒概念;手机游戏;海工装备;独角兽概念;虚拟现实;国企改革;光伏建筑一体化;绿色电力;深股通;融资融券,33,002445.SZ
301387,10,苹果概念;消费电子概念;智能穿戴;碳纤维;机器人概念;粤港澳大湾区;一带一路;数字经济;可降解塑料;融资融券,33,301387.SZ
688693,8,汽车芯片;芯片概念;专精特新;第三代半导体;无人机;充电桩;智能电网;融资融券,17,688693.SH
600135,11,柔性屏(折叠屏);京津冀一体化;光伏概念;雄安新区;央企国企改革;国企改革;参股保险;医疗器械概念;锂电池概念;固态电池;融资融券,17,600135.SH
600172,8,培育钻石;第三代半导体;回购增持再贷款概念;国企改革;物业管理;沪股通;旅游概念;融资融券,17,600172.SH
603017,18,商业航天;空间计算;低空经济;智慧城市;数字孪生;建筑节能;新型工业化;多模态AI;元宇宙;新型城镇化;虚拟现实;独角兽概念;DeepSeek概念;装配式建筑;光伏建筑一体化;长三角一体化;数据中心;一带一路,17,603017.SH
603421,10,电力物联网;虚拟电厂;智能电网;MCU芯片;充电桩;芯片概念;光伏概念;储能;鸿蒙概念;华为概念,17,603421.SH
600330,29,商业航天;PCB概念;第三代半导体;卫星导航;光伏概念;5G;军工;高端装备;毫米波雷达;无线充电;先进封装;储能;数据中心;量子科技;芯片概念;OLED;充电桩;新能源汽车;汽车电子;AI眼镜;锂电池概念;长三角一体化;智能穿戴;固废处理;创投;智能物流;乡村振兴;融资融券;沪股通,17,600330.SH
000839,15,文化传媒概念;虚拟数字人;AI语料;智慧政务;数据要素;互联网金融;物业管理;网络安全;AI智能体;人工智能;DeepSeek概念;创投;AI应用;国企改革;深股通,33,000839.SZ
002969,4,啤酒概念;海峡两岸;回购增持再贷款概念;股权转让(并购重组),33,002969.SZ
002298,47,电力物联网;智能电网;虚拟电厂;抽水蓄能;人工智能;人脸识别;阿里巴巴概念;智慧城市;数据要素;工业互联网;物联网;时空大数据;智慧政务;水利;华为概念;数据中心;数字经济;网络安全;信创;数字乡村;东数西算(算力);AIGC概念;数据安全;安防;充电桩;高铁;云计算;储能;光伏建筑一体化;军工;机器视觉;无人机;传感器;专精特新;无线充电;碳中和;5G;碳交易;PPP概念;军工信息化;锂电池概念;新型城镇化;消费电子概念;光纤概念;深股通;绿色电力;融资融券,33,002298.SZ
605287,11,Sora概念(文生视频);短剧游戏;AI应用;AIGC概念;虚拟现实;文化传媒概念;回购增持再贷款概念;装配式建筑;光伏建筑一体化;新型城镇化;乡村振兴,17,605287.SH
605318,3,长三角一体化;智能家居;装配式建筑,17,605318.SH
002335,28,液冷服务器;算力租赁;数据中心;东数西算(算力);5G;阿里巴巴概念;腾讯概念;量子科技;华为概念;智慧政务;智能电网;AI智能体;小红书概念;核电;无人驾驶;人工智能;储能;DeepSeek概念;光伏概念;数字经济;高铁;海工装备;海峡两岸;锂电池概念;福建自贸区;氢能源;深股通;融资融券,33,002335.SZ
600345,16,光纤概念;商业航天;卫星导航;安防;车联网(车路协同);华为概念;智慧城市;央企国企改革;信创;人工智能;数据要素;DeepSeek概念;国企改革;股权转让(并购重组);沪股通;融资融券,17,600345.SH
603115,3,储能;汽车电子;专精特新,17,603115.SH
001400,10,商业航天;3D打印;液冷服务器;风电;汽车热管理;专精特新;新能源汽车;注册制次新股;新股与次新股;融资融券,33,001400.SZ
003021,15,减速器;人形机器人;华为汽车;新型工业化;比亚迪概念;新能源汽车;机器人概念;小米概念;充电桩;MR(混合现实);5G;华为概念;医疗器械概念;融资融券;深股通,33,003021.SZ
001332,8,光热发电;可控核聚变;核电;海工装备;光伏概念;氢能源;天然气;深股通,33,001332.SZ
601778,14,光伏建筑一体化;光伏概念;虚拟电厂;碳交易;氢能源;储能;碳中和;风电;绿色电力;数据中心;阿里巴巴概念;腾讯概念;沪股通;融资融券,17,601778.SH
001389,19,共封装光学(CPO);PCB概念;AI PC;富士康概念;5G;消费电子概念;汽车电子;数据中心;商业航天;华为概念;机器人概念;粤港澳大湾区;卫星导航;人民币贬值受益;安防;一带一路;人工智能;深股通;融资融券,33,001389.SZ
600498,36,6G概念;光纤概念;F5G概念;商业航天;卫星导航;华为昇腾;WiFi 6;东数西算(算力);海工装备;云计算;共封装光学(CPO);AI智能体;网络安全;华为鲲鹏;数据中心;智慧政务;数据安全;5G;特高压;国资云;数据要素;数字乡村;液冷服务器;DeepSeek概念;人工智能;智能医疗;智慧城市;央企国企改革;芯片概念;一带一路;创投;汽车芯片;国企改革;MCU芯片;沪股通;融资融券,17,600498.SH
002632,17,AI眼镜;智能穿戴;消费电子概念;安防;石墨烯;锂电池概念;虚拟现实;固态电池;华为概念;中俄贸易概念;新能源汽车;元宇宙;光伏概念;无人机;共同富裕示范区;液冷服务器;深股通,33,002632.SZ
603803,20,F5G概念;WiFi 6;5G;6G概念;共封装光学(CPO);芯片概念;量子科技;物联网;无人驾驶;东数西算(算力);数据中心;新型工业化;车联网(车路协同);智慧城市;智能电网;工业互联网;网络安全;新型城镇化;数据安全;融资融券,17,603803.SH
603269,7,核电;超超临界发电;数据中心;氢能源;液冷服务器;海峡两岸;一带一路,17,603269.SH
002294,8,创新药;减肥药;仿制药一致性评价;参股保险;医疗器械概念;证金持股;深股通;融资融券,33,002294.SZ
000537,10,绿色电力;光热发电;风电;新疆振兴;央企国企改革;国企改革;储能;京津冀一体化;深股通;融资融券,33,000537.SZ
002467,29,智慧政务;云办公;Web3.0;网络安全;信创;云计算;虚拟数字人;智谱AI;区块链;在线教育;AIGC概念;AI智能体;元宇宙;鸿蒙概念;腾讯概念;阿里巴巴概念;语音技术;数字经济;DeepSeek概念;网红经济;人工智能;虚拟现实;物联网;低空经济;数据中心;小米概念;一带一路;融资融券;深股通,33,002467.SZ
000949,3,新疆振兴;国企改革;深股通,33,000949.SZ
002290,13,2025年报预增;云游戏;芯片概念;东数西算(算力);2025三季报预增;信创;人工智能;智能医疗;家用电器;DeepSeek概念;智能物流;文化传媒概念;深股通,33,002290.SZ
601869,22,光纤概念;共封装光学(CPO);铜缆高速连接;特高压;第三代半导体;风电;智能电网;海工装备;5G;太赫兹;芯片概念;新能源汽车;一带一路;沪股通;专精特新;人形机器人;量子科技;机器人概念;工业互联网;创投;抖音概念(字节概念);融资融券,17,601869.SH
002903,17,军工;同花顺新质50;工业母机;苹果概念;新能源汽车;芯片概念;比亚迪概念;专精特新;富士康概念;新型工业化;减速器;第三代半导体;消费电子概念;机器人概念;华为概念;小米概念;融资融券,33,002903.SZ
002281,19,F5G概念;共封装光学(CPO);光纤概念;液冷服务器;5G;数据中心;6G概念;东数西算(算力);芯片概念;量子科技;华为概念;抖音概念(字节概念);阿里巴巴概念;腾讯概念;百度概念;央企国企改革;国企改革;深股通;融资融券,33,002281.SZ
002384,20,共封装光学(CPO);同花顺果指数;PCB概念;苹果概念;5G;数据中心;高压快充;芯片概念;消费电子概念;小米概念;新能源汽车;深股通;人形机器人;MiniLED;特斯拉概念;华为概念;机器人概念;人民币贬值受益;长三角一体化;融资融券,33,002384.SZ
002993,22,第三代半导体;光伏概念;AI眼镜;无线充电;小米概念;储能;汽车电子;AI PC;消费电子概念;新能源汽车;充电桩;专精特新;机器人概念;苹果概念;数据中心;华为概念;露营经济;一带一路;跨境电商;网红经济;广东自贸区;深股通,33,002993.SZ
001267,8,共封装光学(CPO);铜缆高速连接;土壤修复;污水处理;新型城镇化;乡村振兴;深股通;股权转让(并购重组),33,001267.SZ
000014,5,物业管理;深圳国企改革;粤港澳大湾区;国企改革;股权转让(并购重组),33,000014.SZ
002025,23,卫星导航;商业航天;大飞机;军工;低空经济;同花顺新质50;核电;央企国企改革;机器视觉;5G;华为概念;数据中心;智能物流;比亚迪概念;小米概念;新能源汽车;铜缆高速连接;西部大开发;国企改革;液冷服务器;共封装光学(CPO);深股通;融资融券,33,002025.SZ
600769,1,国企改革,17,600769.SH
002536,21,液冷服务器;芯片概念;汽车电子;汽车热管理;数据中心;小米汽车;新能源汽车;特斯拉概念;充电桩;无人机;储能;燃料电池;机器人概念;华为概念;长安汽车概念;人民币贬值受益;海峡两岸;低空经济;一带一路;深股通;融资融券,33,002536.SZ
603949,7,汽车热管理;农机;新能源汽车;专精特新;创投;乡村振兴;军工,17,603949.SH
002636,6,PCB概念;2025年报预增;消毒剂;医疗器械概念;深股通;融资融券,33,002636.SZ
002760,6,海工装备;数据中心;军工;金属回收;股权转让(并购重组);金属锌,33,002760.SZ
605268,8,新型城镇化;智能家居;物联网;人脸识别;智慧城市;安防;华为概念;数据要素,17,605268.SH
002729,13,福建自贸区;海峡两岸;数据中心;比亚迪概念;光伏概念;家用电器;消费电子概念;充电桩;新能源汽车;储能;汽车电子;风电;融资融券,33,002729.SZ
002575,12,Sora概念(文生视频);算力租赁;腾讯概念;区块链;华为昇腾;DeepSeek概念;东数西算(算力);创投;物业管理;粤港澳大湾区;深股通;融资融券,33,002575.SZ
002350,21,特高压;虚拟电厂;智能电网;风电;绿色电力;充电桩;氢能源;光伏概念;高压快充;光伏建筑一体化;俄乌冲突概念;超级电容;储能;中俄贸易概念;燃料电池;高端装备;雄安新区;数据中心;京津冀一体化;阿里巴巴概念;融资融券,33,002350.SZ
600108,15,玉米;粮食概念;土地流转;农业种植;代糖概念;啤酒概念;乡村振兴;西部大开发;国企改革;参股券商;回购增持再贷款概念;水利;跨境电商;融资融券;沪股通,17,600108.SH
600376,12,冰雪产业;体育产业;京津冀一体化;新型城镇化;物业管理;雄安新区;租售同权;养老概念;国企改革;证金持股;融资融券;沪股通,17,600376.SH
601789,18,算力租赁;房屋检测;新型城镇化;水利;国资云;PPP概念;区块链;装配式建筑;阿里巴巴概念;腾讯概念;东数西算(算力);数据中心;百度概念;参股券商;国企改革;低空经济;沪股通;融资融券,17,601789.SH
600726,8,超超临界发电;煤炭概念;绿色电力;风电;国企改革;央企国企改革;黑龙江自贸区;沪股通,17,600726.SH
300878,6,创新药;肝炎概念;民营医院;医药电商;流感;融资融券,33,300878.SZ
688292,20,华为昇腾;华为欧拉;华为鲲鹏;数据安全;多模态AI;网络安全;AI智能体;AIGC概念;数据要素;AI应用;同花顺新质50;车联网(车路协同);DeepSeek概念;人工智能;商业航天;低空经济;5G;无人驾驶;互联网金融;融资融券,17,688292.SH
688759,7,科创次新股;细胞免疫治疗;减肥药;创新药;注册制次新股;新股与次新股;融资融券,17,688759.SH
688143,10,光纤概念;共封装光学(CPO);军工;海工装备;汽车热管理;芯片概念;专精特新;DeepSeek概念;沪股通;融资融券,17,688143.SH
301317,11,数据中心;2025年报预增;专精特新;新能源汽车;空气能热泵;污水处理;人工智能;共同富裕示范区;中俄贸易概念;深股通;融资融券,33,301317.SZ
301010,8,冰雪产业;建筑节能;特斯拉概念;专精特新;碳中和;数据中心;冷链物流;融资融券,33,301010.SZ
600487,31,光纤概念;F5G概念;共封装光学(CPO);特高压;柔性直流输电;液冷服务器;智能电网;风电;海工装备;5G;数据中心;6G概念;芯片概念;太赫兹;新能源汽车;一带一路;长三角一体化;量子科技;军工;小米汽车;华为概念;机器人概念;无人驾驶;水利;人形机器人;创投;智慧城市;网络安全;DeepSeek概念;沪股通;融资融券,17,600487.SH
300835,7,稀土永磁;数据中心;消费电子概念;新能源汽车;专精特新;光伏概念;深股通,33,300835.SZ
688551,13,光伏概念;储能;芯片概念;专精特新;低空经济;宁德时代概念;新能源汽车;比亚迪概念;固态电池;华为概念;燃料电池;氢能源;融资融券,17,688551.SH
300843,19,铜缆高速连接;富士康概念;液冷服务器;新型烟草(电子烟);消费电子概念;人形机器人;数据中心;比亚迪概念;小米概念;新能源汽车;智能座舱;无人机;飞行汽车(eVTOL);高压快充;储能;机器人概念;充电桩;低空经济;深股通,33,300843.SZ
688195,19,共封装光学(CPO);光纤概念;光刻机;数据中心;芯片概念;AI眼镜;量子科技;商业航天;卫星导航;专精特新;海峡两岸;华为概念;福建自贸区;无人驾驶;独角兽概念;医疗器械概念;沪股通;股权转让(并购重组);融资融券,17,688195.SH
688488,5,创新药;专精特新;DeepSeek概念;沪股通;融资融券,17,688488.SH
688733,14,存储芯片;宁德时代概念;固态电池;先进封装;锂电池概念;PCB概念;芯片概念;光伏概念;钠离子电池;新能源汽车;专精特新;燃料电池;华为概念;融资融券,17,688733.SH
688513,6,创新药;仿制药一致性评价;智能医疗;西部大开发;沪股通;融资融券,17,688513.SH
688372,9,先进封装;存储芯片;汽车芯片;MCU芯片;芯片概念;消费电子概念;2025年报预增;沪股通;融资融券,17,688372.SH
300683,7,细胞免疫治疗;CRO概念;重组蛋白;创新药;仿制药一致性评价;眼科医疗;股权转让(并购重组),33,300683.SZ
301446,4,风电;数据中心;农机;融资融券,33,301446.SZ
688309,7,固废处理;碳中和;高端装备;2025年报预增;专精特新;人民币贬值受益;融资融券,17,688309.SH
688512,8,芯片概念;国家大基金持股;5G;专精特新;物联网;人民币贬值受益;沪股通;融资融券,17,688512.SH
603124,8,PET铜箔;PCB概念;液冷服务器;工业母机;专精特新;注册制次新股;新股与次新股;融资融券,17,603124.SH
301580,9,牙科医疗;3D打印;专精特新;医疗器械概念;人民币贬值受益;智能医疗;阿里巴巴概念;深股通;融资融券,33,301580.SZ
002970,20,EDR概念;星闪概念;毫米波雷达;汽车电子;智能座舱;机器视觉;比亚迪概念;新能源汽车;无人驾驶;多模态AI;专精特新;物联网;车联网(车路协同);卫星导航;垃圾分类;人工智能;人脸识别;鸿蒙概念;云计算;深股通,33,002970.SZ
300548,15,F5G概念;共封装光学(CPO);光纤概念;铜缆高速连接;芯片概念;5G;数据中心;2025年报预增;专精特新;长三角一体化;华为概念;抖音概念(字节概念);机器人概念;融资融券;深股通,33,300548.SZ
301128,28,富士康概念;液冷服务器;PCB概念;苹果概念;共封装光学(CPO);华为手机;人形机器人;华为海思概念股;比亚迪概念;柔性屏(折叠屏);芯片概念;新能源汽车;高端装备;华为汽车;消费电子概念;新型工业化;无人机;华为数字能源;军工;数据中心;机器人概念;无人驾驶;华为概念;虚拟现实;粤港澳大湾区;人工智能;深股通;融资融券,33,301128.SZ
301391,10,芯片概念;东数西算(算力);MicroLED概念;机器视觉;虚拟现实;AI应用;人工智能;元宇宙;深股通;融资融券,33,301391.SZ
688388,13,共封装光学(CPO);PCB概念;PET铜箔;宁德时代概念;固态电池;新能源汽车;锂电池概念;储能;飞行汽车(eVTOL);低空经济;光伏概念;沪股通;融资融券,17,688388.SH
002491,13,光纤概念;数据中心;储能;5G;长三角一体化;深股通;专精特新;独角兽概念;固态电池;网络安全;数字水印;数据安全;融资融券,33,002491.SZ
603290,14,MCU芯片;汽车芯片;第三代半导体;芯片概念;专精特新;新能源汽车;人民币贬值受益;数据中心;高压快充;低空经济;光伏概念;储能;融资融券;沪股通,17,603290.SH
300545,28,MicroLED概念;MiniLED;柔性屏(折叠屏);OLED;先进封装;华为手机;AI眼镜;MR(混合现实);消费电子概念;钙钛矿电池;智能穿戴;苹果概念;富士康概念;芯片概念;汽车电子;智能座舱;5G;光伏概念;固态电池;锂电池概念;虚拟现实;华为概念;专精特新;机器人概念;新型工业化;华为汽车;钠离子电池;深股通,33,300545.SZ
688059,6,工业母机;2025年报预增;专精特新;机器人概念;沪股通;融资融券,17,688059.SH
002653,6,创新药;仿制药一致性评价;医疗器械概念;深股通;融资融券;西部大开发,33,002653.SZ
688651,18,商业航天;卫星导航;量子科技;低空经济;网络安全;国产操作系统;专精特新;数据安全;数字货币;信创;华为概念;空间计算;云计算;智慧城市;数据要素;人工智能;DeepSeek概念;融资融券,17,688651.SH
301251,13,共封装光学(CPO);PCB概念;富士康概念;5G;MiniLED;汽车电子;专精特新;新型工业化;工业互联网;机器人概念;一带一路;深股通;融资融券,33,301251.SZ
301071,6,培育钻石;第三代半导体;芯片概念;海峡两岸;深股通;融资融券,33,301071.SZ
688335,6,专精特新;碳交易;绿色电力;污水处理;氢能源;融资融券,17,688335.SH
603088,20,液冷服务器;工业母机;汽车热管理;芯片概念;比亚迪概念;小米概念;新型工业化;特斯拉概念;宁德时代概念;高端装备;新能源汽车;专精特新;机器人概念;锂电池概念;空气能热泵;动力电池回收;氢能源;国企改革;沪股通;融资融券,17,603088.SH
300870,17,液冷服务器;富士康概念;第三代半导体;数据中心;WiFi 6;消费电子概念;光伏概念;充电桩;无人机;华为概念;比亚迪概念;阿里巴巴概念;海峡两岸;一带一路;智能家居;深股通;融资融券,33,300870.SZ
688630,13,先进封装;光刻机;PCB概念;OLED;2025年报预增;芯片概念;光刻胶;专精特新;高端装备;BC电池;光伏概念;融资融券;沪股通,17,688630.SH
600667,11,存储芯片;先进封装;OLED;芯片概念;数据中心;回购增持再贷款概念;绿色电力;光伏建筑一体化;国企改革;沪股通;融资融券,17,600667.SH
688689,11,先进封装;汽车芯片;第三代半导体;芯片概念;汽车电子;传感器;专精特新;比亚迪概念;新能源汽车;无人驾驶;融资融券,17,688689.SH
301595,8,商业航天;专精特新;智能家居;注册制次新股;露营经济;跨境电商;新股与次新股;融资融券,33,301595.SZ
603083,14,共封装光学(CPO);F5G概念;液冷服务器;WiFi 6;5G;华为概念;人民币贬值受益;2025年报预增;工业互联网;物联网;一带一路;智能家居;沪股通;融资融券,17,603083.SH
688157,25,华为手机;PCB概念;MR(混合现实);苹果概念;飞行汽车(eVTOL);小米汽车;低空经济;AI手机;柔性屏(折叠屏);AI眼镜;无人驾驶;消费电子概念;比亚迪概念;小米概念;特斯拉概念;智能穿戴;固态电池;专精特新;新能源汽车;华为汽车;机器人概念;华为概念;光刻胶;沪股通;融资融券,17,688157.SH
300620,20,共封装光学(CPO);光纤概念;5G;数据中心;芯片概念;量子科技;海工装备;3D打印;商业航天;卫星导航;2025年报预增;无人驾驶;2025三季报预增;粤港澳大湾区;一带一路;横琴新区;国企改革;股权转让(并购重组);深股通;融资融券,33,300620.SZ
603757,14,液冷服务器;数据中心;新能源汽车;空气能热泵;储能;高端装备;燃料电池;核电;专精特新;海工装备;氢能源;商业航天;水利;沪股通,17,603757.SH
603319,20,减速器;长安汽车概念;人形机器人;PEEK材料;特斯拉概念;汽车热管理;新能源汽车;比亚迪概念;汽车电子;机器人概念;智能物流;飞行汽车(eVTOL);无人驾驶;低空经济;一带一路;腾讯概念;蚂蚁集团概念;期货概念;沪股通;融资融券,17,603319.SH
000533,21,抽水蓄能;智能电网;超超临界发电;风电;核电;可控核聚变;充电桩;光伏概念;储能;海工装备;水利;数据中心;比亚迪概念;东数西算(算力);粤港澳大湾区;阿里巴巴概念;数字经济;百度概念;中芯国际概念;深股通;融资融券,33,000533.SZ
300246,7,智能医疗;血氧仪;横琴新区;民营医院;医疗器械概念;三胎概念;智能穿戴,33,300246.SZ
300310,23,信创;车联网(车路协同);AIGC概念;AI智能体;算力租赁;DeepSeek概念;智慧灯杆;物联网;华为概念;低空经济;商业航天;工业互联网;创投;粤港澳大湾区;5G;数据中心;机器人概念;光伏概念;充电桩;储能;共封装光学(CPO);深股通;融资融券,33,300310.SZ
