code,所属概念数量,股票代码,所属概念,market_code
688668,12,688668.SH,铜缆高速连接;液冷服务器;英伟达概念;5G;比亚迪概念;新能源汽车;长安汽车概念;机器视觉;商业航天;2025年报预增;融资融券;沪股通,17
688599,20,688599.SH,BC电池;TOPCON电池;HJT电池;钙钛矿电池;虚拟电厂;光伏概念;商业航天;光伏建筑一体化;储能;氢能源;DeepSeek概念;东数西算(算力);华为概念;锂电池概念;机器人概念;一带一路;同花顺漂亮100;智能家居;沪股通;融资融券,17
688326,21,688326.SH,智能座舱;百度概念;毫米波雷达;无人驾驶;车联网(车路协同);小米汽车;长安汽车概念;汽车电子;虚拟现实;飞行汽车(eVTOL);DeepSeek概念;华为概念;机器人概念;低空经济;比亚迪概念;汽车热管理;大飞机;新能源汽车;回购增持再贷款概念;商业航天;融资融券,17
300461,9,300461.SZ,新型工业化;长三角一体化;比亚迪概念;新型烟草(电子烟);汽车电子;苹果概念;消费电子概念;无线耳机;无线充电,33
920007,5,920007.BJ,新股与次新股;融资融券;一带一路;光伏概念;人民币贬值受益,151
688568,30,688568.SH,AIGC概念;多模态AI;AI智能体;AI应用;数据要素;云计算;时空大数据;空间计算;卫星导航;商业航天;DeepSeek概念;人工智能;数字经济;智慧城市;同花顺新质50;数字孪生;东数西算(算力);军工;低空经济;华为概念;无人机;数据中心;水利;海工装备;碳交易;碳中和;国企改革;中字头股票;沪股通;融资融券,17
300136,32,300136.SZ,商业航天;卫星导航;6G概念;毫米波雷达;WiFi 6;无人机;同花顺果指数;低空经济;无线充电;智能音箱;5G;车联网(车路协同);柔性屏(折叠屏);富士康概念;AI眼镜;智能穿戴;无线耳机;物联网;华为概念;机器人概念;苹果概念;汽车电子;虚拟现实;特斯拉概念;消费电子概念;粤港澳大湾区;一带一路;回购增持再贷款概念;人民币贬值受益;海峡两岸;深股通;融资融券,33
301005,26,301005.SZ,商业航天;航空发动机;卫星导航;大飞机;军工;无人机;低空经济;PEEK材料;飞行汽车(eVTOL);换电概念;机器人概念;小米汽车;专精特新;华为汽车;人形机器人;小米概念;创投;氢能源;家用电器;汽车热管理;智能物流;比亚迪概念;新能源汽车;特斯拉概念;深股通;融资融券,33
688375,18,688375.SH,军工信息化;卫星导航;商业航天;6G概念;军民融合;DeepSeek概念;军工;无人机;毫米波雷达;芯片概念;5G;央企国企改革;第三代半导体;先进封装;回购增持再贷款概念;国企改革;沪股通;融资融券,17
300433,41,300433.SZ,同花顺果指数;商业航天;元宇宙;智能座舱;虚拟现实;AI眼镜;智能穿戴;无线耳机;人形机器人;苹果概念;华为概念;3D打印;新型烟草(电子烟);汽车电子;小米概念;传感器;液冷服务器;消费电子概念;蚂蚁集团概念;特斯拉概念;机器人概念;柔性屏(折叠屏);工业互联网;新型工业化;减速器;小米汽车;比亚迪概念;OLED;新能源汽车;智能家居;人民币贬值受益;充电桩;宁德时代概念;智能物流;光伏概念;回购增持再贷款概念;TOPCON电池;同花顺漂亮100;深股通;AI手机;融资融券,33
300707,6,300707.SZ,储能;新型工业化;新能源汽车;锂电池概念;特斯拉概念;2025年报预增,33
301636,7,301636.SZ,钙钛矿电池;光伏概念;专精特新;注册制次新股;新能源汽车;新股与次新股;融资融券,33
920116,10,920116.BJ,DeepSeek概念;专精特新;数字经济;AIGC概念;人工智能;融资融券;商业航天;数据要素;卫星导航;国企改革,151
300331,21,300331.SZ,光刻机;中芯国际概念;电子纸;AI PC;OLED;柔性屏(折叠屏);芯片概念;3D打印;虚拟现实;智能穿戴;华为概念;小米概念;元宇宙;专精特新;人工智能;光伏概念;烟草;IP经济(谷子经济);体育产业;深股通;融资融券,33
300344,13,300344.SZ,ST板块;光伏建筑一体化;互联网金融;数据安全;智慧城市;数字经济;云计算;信创;数字孪生;东数西算(算力);人工智能;DeepSeek概念;数据中心,33
920056,9,920056.BJ,固态电池;POE胶膜;3D打印;锂电池概念;钙钛矿电池;光伏概念;专精特新;新股与次新股;融资融券,151
688155,14,688155.SH,人工智能;固态电池;宁德时代概念;DeepSeek概念;专精特新;新型工业化;机器人概念;锂电池概念;新能源汽车;高端装备;燃料电池;一带一路;沪股通;融资融券,17
300337,24,300337.SZ,航空发动机;商业航天;国产航母;大飞机;军工;核污染防治;3D打印;海工装备;华为手机;富士康概念;华为概念;消费电子概念;专精特新;高铁;比亚迪概念;小米概念;特斯拉概念;新能源汽车;汽车热管理;宁德时代概念;牙科医疗;医疗器械概念;深股通;融资融券,33
688032,7,688032.SH,光伏概念;储能;回购增持再贷款概念;专精特新;人民币贬值受益;沪股通;融资融券,17
688523,8,688523.SH,卫星导航;商业航天;大飞机;航空发动机;无人机;低空经济;沪股通;融资融券,17
688315,4,688315.SH,基因测序;医疗器械概念;沪股通;融资融券,17
300053,23,300053.SZ,卫星导航;商业航天;时空大数据;低空经济;人脸识别;飞行汽车(eVTOL);智慧城市;东数西算(算力);数据要素;安防;MCU芯片;人工智能;芯片概念;汽车芯片;数据中心;专精特新;横琴新区;粤港澳大湾区;国企改革;地下管网;存储芯片;深股通;融资融券,33
301093,6,301093.SZ,人工智能;创投;医疗器械概念;创新药;深股通;融资融券,33
688045,11,688045.SH,消费电子概念;AI眼镜;小米概念;专精特新;芯片概念;传感器;MCU芯片;第三代半导体;粤港澳大湾区;储能;融资融券,17
300393,10,300393.SZ,钙钛矿电池;TOPCON电池;光伏建筑一体化;BC电池;光伏概念;国企改革;华为概念;AI智能体;深股通;融资融券,33
920770,3,920770.BJ,绿色电力;融资融券;光伏概念,151
300776,15,300776.SZ,钙钛矿电池;HJT电池;TOPCON电池;BC电池;芯片概念;第三代半导体;光伏概念;MicroLED概念;消费电子概念;MiniLED;先进封装;OLED;PCB概念;融资融券;深股通,33
301617,5,301617.SZ,固态电池;专精特新;金属回收;深股通;融资融券,33
300943,16,300943.SZ,核电;商业航天;军民融合;军工;天然气;氢能源;卫星导航;燃料电池;无人机;智慧城市;新能源汽车;传感器;汽车热管理;芯片概念;股权转让(并购重组);融资融券,33
688768,15,688768.SH,多模态AI;ChatGPT概念;AI智能体;数据要素;DeepSeek概念;人工智能;工业互联网;机器人概念;专精特新;传感器;高端装备;2025三季报预增;风电;AI应用;融资融券,17
301595,8,301595.SZ,商业航天;专精特新;智能家居;露营经济;注册制次新股;跨境电商;新股与次新股;融资融券,33
301662,11,301662.SZ,固态电池;钠离子电池;宁德时代概念;动力电池回收;锂电池概念;比亚迪概念;粤港澳大湾区;注册制次新股;深股通;新股与次新股;融资融券,33
300749,6,300749.SZ,商业航天;海工装备;人工智能;智能家居;家用电器;回购增持再贷款概念,33
300447,14,300447.SZ,卫星导航;军工信息化;商业航天;军民融合;大飞机;军工;成飞概念;无人机;低空经济;高铁;专精特新;光纤概念;芯片概念;共封装光学(CPO),33
300816,7,300816.SZ,云计算;智能医疗;DeepSeek概念;算力租赁;专精特新;氢能源;燃料电池,33
688472,12,688472.SH,BC电池;TOPCON电池;HJT电池;钙钛矿电池;光伏概念;锂电池概念;储能;一带一路;回购增持再贷款概念;人民币贬值受益;沪股通;融资融券,17
688408,8,688408.SH,光热发电;光伏建筑一体化;光伏概念;一带一路;人民币贬值受益;机器人概念;沪股通;融资融券,17
688292,18,688292.SH,华为昇腾;多模态AI;AIGC概念;AI智能体;华为鲲鹏;华为欧拉;数据安全;网络安全;数据要素;DeepSeek概念;AI应用;人工智能;车联网(车路协同);同花顺新质50;5G;低空经济;无人驾驶;融资融券,17
300490,40,300490.SZ,钠离子电池;固态电池;宁德时代概念;锂电池概念;高压快充;换电概念;光伏概念;MiniLED;储能;虚拟电厂;垃圾分类;净水概念;智能电网;比亚迪概念;数据中心;华为概念;充电桩;多模态AI;光伏建筑一体化;华为鲲鹏;虚拟现实;碳中和;新型工业化;数字孪生;数据要素;机器视觉;人工智能;污水处理;工业互联网;DeepSeek概念;数字经济;绿色电力;水利;机器人概念;军工;一带一路;风电;碳交易;航空发动机;国产操作系统,33
300617,15,300617.SZ,虚拟电厂;电力物联网;智能电网;特高压;风电;腾讯概念;充电桩;光伏概念;储能;核电;数据中心;专精特新;氟化工概念;宁德时代概念;深股通,33
920394,11,920394.BJ,比亚迪概念;风电;高铁;特高压;融资融券;大飞机;新能源汽车;低空经济;无人机;国企改革;专精特新,151
300575,2,300575.SZ,人民币贬值受益;创新药,33
688627,10,688627.SH,存储芯片;OLED;MicroLED概念;芯片概念;专精特新;东数西算(算力);机器人概念;粤港澳大湾区;沪股通;融资融券,17
920985,8,920985.BJ,石墨电极;氢能源;融资融券;光伏概念;TOPCON电池;HJT电池;换电概念;储能,151
688560,12,688560.SH,POE胶膜;HJT电池;BC电池;TOPCON电池;固态电池;锂电池概念;光伏概念;回购增持再贷款概念;专精特新;人民币贬值受益;比亚迪概念;融资融券,17
920522,8,920522.BJ,宁德时代概念;锂电池概念;融资融券;固态电池;碳纤维;比亚迪概念;钠离子电池;专精特新,151
688071,14,688071.SH,人形机器人;无人驾驶;车联网(车路协同);无人机;机器人概念;长安汽车概念;华为汽车;比亚迪概念;新能源汽车;专精特新;宁德时代概念;高端装备;燃料电池;融资融券,17
688031,20,688031.SH,MLOps概念;华为昇腾;多模态AI;数字水印;AIGC概念;华为鲲鹏;AI智能体;数据安全;商业航天;信创;数据要素;DeepSeek概念;人工智能;独角兽概念;华为概念;AI PC;工业互联网;AI应用;沪股通;融资融券,17
300004,7,300004.SZ,核电;3D打印;PM2.5;专精特新;粤港澳大湾区;一带一路;国企改革,33
300837,6,300837.SZ,动力电池回收;共同富裕示范区;雅下水电概念;固废处理;专精特新;金属铅,33
002506,18,002506.SZ,钙钛矿电池;TOPCON电池;HJT电池;BC电池;光伏建筑一体化;光伏概念;碳交易;碳中和;储能;钒电池;华为数字能源;雄安新区;长三角一体化;华为概念;区块链;蚂蚁集团概念;深股通;融资融券,33
300508,11,300508.SZ,工业母机;新型工业化;高端装备;信创;专精特新;物联网;工业互联网;机器人概念;机器视觉;人形机器人;牙科医疗,33
600307,15,600307.SH,特钢概念;核电;西部大开发;国企改革;氢能源;雅下水电概念;可控核聚变;回购增持再贷款概念;商业航天;华为概念;超导概念;新能源汽车;金属铜;融资融券;沪股通,17
002218,17,002218.SZ,钙钛矿电池;HJT电池;POE胶膜;硅能源;光伏建筑一体化;商业航天;光伏概念;卫星导航;充电桩;储能;华为概念;绿色电力;粤港澳大湾区;新能源汽车;芯片概念;深股通;融资融券,33
601118,10,601118.SH,海南自贸区;赛马概念;农业种植;乡村振兴;碳中和;国企改革;可降解塑料;军工;融资融券;沪股通,17
002721,16,002721.SZ,互联网金融;数字经济;DeepSeek概念;国企改革;区块链;移动支付;AI智能体;人工智能;智慧政务;阿里巴巴概念;数字货币;黄金概念;3D打印;小金属概念;深股通;摘帽,33
002323,10,002323.SZ,光伏建筑一体化;国企改革;绿色电力;一带一路;HJT电池;光伏概念;储能;数字乡村;智慧城市;融资融券,33
000591,17,000591.SZ,碳中和;DeepSeek概念;碳交易;钙钛矿电池;绿色电力;虚拟电厂;西部大开发;光伏建筑一体化;TOPCON电池;国企改革;工业互联网;光伏概念;储能;央企国企改革;机器人概念;深股通;融资融券,33
600586,8,600586.SH,钙钛矿电池;光伏建筑一体化;光伏概念;建筑节能;一带一路;特斯拉概念;融资融券;沪股通,17
603878,5,603878.SH,光热发电;海工装备;超超临界发电;核电;氢能源,17
600986,32,600986.SH,小红书概念;快手概念;短剧游戏;AIGC概念;抖音概念(字节概念);虚拟数字人;Web3.0;多模态AI;AI智能体;手机游戏;NFT概念;文化传媒概念;阿里巴巴概念;腾讯概念;百度概念;元宇宙;电子竞技;算力租赁;AI应用;蚂蚁集团概念;人工智能;东数西算(算力);DeepSeek概念;数字经济;网红经济;独角兽概念;华为概念;小米概念;长安汽车概念;国企改革;沪股通;融资融券,17
000607,20,000607.SZ,文化传媒概念;知识产权保护;NFT概念;虚拟数字人;在线教育;职业教育;数据确权;快手概念;数字经济;蚂蚁集团概念;百度概念;阿里巴巴概念;托育服务;创投;三胎概念;共同富裕示范区;低空经济;国企改革;长三角一体化;融资融券,33
000561,13,000561.SZ,军工信息化;商业航天;军民融合;大飞机;军工;无人机;低空经济;光伏概念;西部大开发;国企改革;硅能源;股权转让(并购重组);深股通,33
002679,7,002679.SZ,海峡两岸;特色小镇;碳中和;碳交易;国企改革;互联网金融;人工智能,33
002658,19,002658.SZ,固废处理;碳中和;碳交易;雄安新区;PM2.5;氢能源;京津冀一体化;核电;数字经济;商业航天;专精特新;DeepSeek概念;航空发动机;数据要素;物联网;AI智能体;芯片概念;中芯国际概念;深股通,33
000990,15,000990.SZ,国企改革;NMN概念;POE胶膜;人造肉;碳中和;工业大麻;民营医院;合成生物;氢能源;医美概念;燃料电池;OLED;小米概念;深股通;融资融券,33
003042,4,003042.SZ,供销社;乡村振兴;中俄贸易概念;草甘膦,33
603212,28,603212.SH,钙钛矿电池;HJT电池;BC电池;TOPCON电池;POE胶膜;固态电池;MiniLED;光伏概念;锂电池概念;长三角一体化;消费电子概念;高铁;无线耳机;OLED;专精特新;储能;比亚迪概念;芯片概念;高压快充;特斯拉概念;宁德时代概念;新能源汽车;人工智能;风电;先进封装;AI应用;沪股通;融资融券,17
002471,24,002471.SZ,商业航天;大飞机;航空发动机;军民融合;军工;低空经济;海工装备;无人机;核电;高端装备;风电;水利;机器人概念;柔性直流输电;数字经济;充电桩;智能电网;光伏概念;东数西算(算力);创投;石墨烯;数据中心;深股通;融资融券,33
600916,9,600916.SH,同花顺中特估100;黄金概念;央企国企改革;国企改革;培育钻石;回购增持再贷款概念;中字头股票;沪股通;融资融券,17
603939,4,603939.SH,医药电商;家庭医生;沪股通;融资融券,17
300450,26,300450.SZ,PET铜箔;固态电池;钠离子电池;宁德时代概念;BC电池;PCB概念;锂电池概念;TOPCON电池;HJT电池;钙钛矿电池;3D打印;比亚迪概念;特斯拉概念;储能;光伏概念;新能源汽车;燃料电池;机器视觉;新型工业化;高端装备;氢能源;同花顺漂亮100;深股通;智能物流;2025年报预增;融资融券,33
603051,17,603051.SH,POE胶膜;TOPCON电池;HJT电池;锂电池概念;固态电池;BC电池;钙钛矿电池;光伏概念;柔性屏(折叠屏);比亚迪概念;智能穿戴;水利;氢能源;OLED;人形机器人;商业航天;融资融券,17
000159,8,000159.SZ,新疆振兴;乡村振兴;一带一路;西部大开发;光伏概念;金属铜;特高压;融资融券,33
601615,14,601615.SH,钙钛矿电池;HJT电池;阿里巴巴概念;海工装备;人工智能;芯片概念;光伏概念;风电;氢能源;储能;光伏建筑一体化;绿色电力;融资融券;沪股通,17
002112,10,002112.SZ,智能电网;光伏概念;风电;储能;核电;数据中心;共同富裕示范区;专精特新;国企改革;融资融券,33
605016,6,605016.SH,代糖概念;参股银行;人民币贬值受益;专精特新;海峡两岸;沪股通,17
001337,5,001337.SZ,黄金概念;西部大开发;国企改革;融资融券;深股通,33
600552,19,600552.SH,商业航天;华为概念;柔性屏(折叠屏);无线充电;芯片概念;消费电子概念;汽车电子;新能源汽车;先进封装;光伏概念;OLED;央企国企改革;PCB概念;锂电池概念;固态电池;国企改革;有机硅概念;沪股通;融资融券,17
601012,18,601012.SH,硅能源;BC电池;TOPCON电池;HJT电池;钙钛矿电池;光伏概念;同花顺漂亮100;光伏建筑一体化;绿色电力;氢能源;储能;西部大开发;百度概念;华为概念;证金持股;特斯拉概念;沪股通;融资融券,17
603773,20,603773.SH,卫星导航;柔性屏(折叠屏);商业航天;MicroLED概念;MiniLED;6G概念;汽车电子;智能穿戴;消费电子概念;先进封装;OLED;芯片概念;小米概念;钙钛矿电池;华为概念;PET铜箔;存储芯片;共封装光学(CPO);光刻机;沪股通,17
601702,6,601702.SH,特斯拉概念;新能源汽车;比亚迪概念;专精特新;融资融券;沪股通,17
001316,7,001316.SZ,商业航天;大飞机;航空发动机;低空经济;AI眼镜;海峡两岸;消毒剂,33
002993,22,002993.SZ,AI PC;无线充电;苹果概念;消费电子概念;小米概念;汽车电子;数据中心;华为概念;第三代半导体;机器人概念;新能源汽车;专精特新;充电桩;储能;光伏概念;一带一路;跨境电商;网红经济;露营经济;广东自贸区;AI眼镜;深股通,33
002202,20,002202.SZ,商业航天;海工装备;风电;人工智能;抽水蓄能;工业互联网;氢能源;独角兽概念;储能;碳交易;西部大开发;创投;碳中和;新疆振兴;绿色电力;污水处理;PPP概念;同花顺出海50;深股通;融资融券,33
002943,12,002943.SZ,HJT电池;第三代半导体;芯片概念;TOPCON电池;智能穿戴;AI眼镜;工业母机;光伏概念;比亚迪概念;稀土永磁;深股通;融资融券,33
603396,10,603396.SH,钙钛矿电池;HJT电池;TOPCON电池;光伏概念;氢能源;高端装备;一带一路;专精特新;新型工业化;融资融券,17
002931,4,002931.SZ,机器人概念;长安汽车概念;新能源汽车;股权转让(并购重组),33
603200,13,603200.SH,固态电池;钠离子电池;液冷服务器;锂电池概念;数据中心;华为概念;腾讯概念;低空经济;海工装备;风电;消毒剂;污水处理;沪股通,17
002667,8,002667.SZ,金属铅;金属锌;磷化工;小金属概念;锂电池概念;垃圾分类;储能;融资融券,33
000565,8,000565.SZ,西部大开发;氢能源;国企改革;军工;石墨烯;数字经济;储能;融资融券,33
002810,5,002810.SZ,专精特新;人民币贬值受益;锂电池概念;融资融券;深股通,33
600774,14,600774.SH,医药电商;民营医院;三胎概念;流感;幽门螺杆菌概念;物业管理;医美概念;辅助生殖;医疗器械概念;创新药;DeepSeek概念;低空经济;股权转让(并购重组);智能医疗,17
600118,21,600118.SH,商业航天;卫星导航;6G概念;大飞机;国产航母;中字头股票;军民融合;军工;无人机;低空经济;人工智能;智能医疗;高端装备;央企国企改革;京津冀一体化;水利;芯片概念;一带一路;国企改革;沪股通;融资融券,17
600531,12,600531.SH,金属铅;金属锌;黄金概念;金属铜;小金属概念;金属回收;锂电池概念;核电;沪股通;固废处理;国企改革;融资融券,17
600293,6,600293.SH,参股银行;硅能源;国企改革;回购增持再贷款概念;光伏概念;融资融券,17
600959,31,600959.SH,文化传媒概念;养老概念;足球概念;短剧游戏;乡村振兴;食品安全;国企改革;数字孪生;人工智能;数字乡村;DeepSeek概念;虚拟数字人;数据要素;智慧城市;国资云;AIGC概念;元宇宙;工业互联网;算力租赁;云办公;数据安全;储能;网络安全;东数西算(算力);数据中心;光伏概念;机器视觉;低空经济;5G;沪股通;融资融券,17
002149,18,002149.SZ,商业航天;可控核聚变;卫星导航;超导概念;军工;海工装备;核电;柔性屏(折叠屏);燃料电池;氢能源;5G;专精特新;西部大开发;小金属概念;国企改革;俄乌冲突概念;深股通;融资融券,33
002088,6,002088.SZ,光热发电;建筑节能;可燃冰;锂电池概念;融资融券;深股通,33
600732,7,600732.SH,BC电池;TOPCON电池;光伏概念;光伏建筑一体化;风电;沪股通;融资融券,17
002150,10,002150.SZ,储能;光伏概念;充电桩;风电;一带一路;农机;人民币贬值受益;乡村振兴;深股通;融资融券,33
600879,20,600879.SH,卫星导航;商业航天;军工信息化;太赫兹;军民融合;军工;无人机;低空经济;量子科技;物联网;高端装备;京津冀一体化;央企国企改革;传感器;芯片概念;特高压;国企改革;医疗器械概念;沪股通;融资融券,17
603612,14,603612.SH,石墨电极;固态电池;锂电池概念;宁德时代概念;储能;新能源汽车;燃料电池;沪股通;飞行汽车(eVTOL);无人驾驶;无人机;一带一路;DeepSeek概念;融资融券,17
002780,5,002780.SZ,露营经济;旅游概念;冰雪产业;三胎概念;体育产业,33
300088,29,300088.SZ,车联网(车路协同);智能穿戴;虚拟现实;元宇宙;华为概念;小米概念;柔性屏(折叠屏);智能座舱;算力租赁;MicroLED概念;东数西算(算力);电子纸;消费电子概念;汽车电子;华为汽车;比亚迪概念;新能源汽车;一带一路;苹果概念;特斯拉概念;国企改革;储能;AI手机;OLED;石墨烯;锂电池概念;固态电池;深股通;融资融券,33
002636,6,002636.SZ,PCB概念;消毒剂;医疗器械概念;深股通;2025年报预增;融资融券,33
000751,6,000751.SZ,金属锌;金属铜;小金属概念;金属回收;深股通;黄金概念,33
002865,9,002865.SZ,BC电池;TOPCON电池;钙钛矿电池;商业航天;光伏概念;海南自贸区;新能源汽车;融资融券;深股通,33
000592,9,000592.SZ,海峡两岸;福建自贸区;化肥;旅游概念;乡村振兴;民营医院;合成生物;深股通;融资融券,33
003038,9,003038.SZ,绿色电力;金属回收;风电;飞行汽车(eVTOL);低空经济;光伏概念;专精特新;新能源汽车;人形机器人,33
003041,4,003041.SZ,共同富裕示范区;人民币贬值受益;一带一路;股权转让(并购重组),33
001400,10,001400.SZ,商业航天;3D打印;液冷服务器;专精特新;汽车热管理;新能源汽车;风电;注册制次新股;新股与次新股;融资融券,33
605598,8,605598.SH,商业航天;卫星导航;无人机;钙钛矿电池;土壤修复;一带一路;人民币贬值受益;沪股通,17
603130,2,603130.SH,共同富裕示范区;沪股通,17
603078,11,603078.SH,光刻胶;中芯国际概念;芯片概念;OLED;先进封装;专精特新;国企改革;锂电池概念;股权转让(并购重组);沪股通;融资融券,17
000603,9,000603.SZ,金属铅;金属锌;黄金概念;金属镍;金属铜;小金属概念;文化传媒概念;深股通;融资融券,33
600498,36,600498.SH,华为昇腾;6G概念;云计算;华为鲲鹏;数据安全;智慧政务;数据要素;网络安全;WiFi 6;智能医疗;卫星导航;东数西算(算力);商业航天;DeepSeek概念;人工智能;光纤概念;国资云;F5G概念;5G;数字乡村;数据中心;共封装光学(CPO);芯片概念;智慧城市;MCU芯片;汽车芯片;特高压;海工装备;创投;液冷服务器;一带一路;央企国企改革;国企改革;沪股通;融资融券;AI智能体,17
603138,10,603138.SH,横琴新区;数据要素;人工智能;华为鲲鹏;数据安全;雄安新区;信创;华为概念;数据中心;融资融券,17
002792,26,002792.SZ,商业航天;卫星导航;6G概念;WiFi 6;低空经济;毫米波雷达;虚拟电厂;数字乡村;人工智能;无人驾驶;换电概念;华为概念;中俄贸易概念;5G;一带一路;汽车电子;F5G概念;铜缆高速连接;粤港澳大湾区;消费电子概念;乡村振兴;储能;华为汽车;共封装光学(CPO);深股通;融资融券,33
603920,30,603920.SH,共封装光学(CPO);毫米波雷达;智能座舱;AI眼镜;人形机器人;脑机接口;汽车电子;5G;PCB概念;无人驾驶;飞行汽车(eVTOL);特斯拉概念;无人机;东数西算(算力);数据中心;低空经济;机器人概念;OLED;新能源汽车;充电桩;粤港澳大湾区;储能;人民币贬值受益;光伏概念;国企改革;商业航天;海峡两岸;股权转让(并购重组);融资融券;沪股通,17
001223,9,001223.SZ,无人机;固态电池;PET铜箔;锂电池概念;新型工业化;消费电子概念;机器人概念;可降解塑料;专精特新,33
002342,15,002342.SZ,商业航天;军工;京津冀一体化;海工装备;水利;抽水蓄能;核电;雄安新区;风电;高端装备;一带一路;光伏概念;白酒概念;深股通;融资融券,33
002492,4,002492.SZ,横琴新区;统一大市场;创投;粤港澳大湾区,33
001203,16,001203.SZ,金属铅;金属锌;固态电池;小金属概念;锂电池概念;金属回收;储能;参股银行;旅游概念;回购增持再贷款概念;绿色电力;乡村振兴;职业教育;西部大开发;创投;深股通,33
002623,9,002623.SZ,光伏建筑一体化;建筑节能;POE胶膜;绿色电力;钙钛矿电池;一带一路;光伏概念;特斯拉概念;融资融券,33
