所属概念数量,code,股票代码,market_code,所属概念
11,301550,301550.SZ,33,人形机器人;减速器;专精特新;新能源汽车;机器人概念;工业互联网;人民币贬值受益;农机;数字经济;深股通;融资融券
21,301189,301189.SZ,33,宠物经济;智能音箱;消费电子概念;专精特新;汽车电子;星闪概念;英伟达概念;人脸识别;智能家居;机器人概念;物联网;人民币贬值受益;无线耳机;算力租赁;腾讯概念;车联网(车路协同);人工智能;跨境电商;鸿蒙概念;虚拟数字人;融资融券
7,920981,920981.BJ,151,共封装光学(CPO);华为海思概念股;融资融券;芯片概念;消费电子概念;汽车电子;专精特新
14,301413,301413.SZ,33,人形机器人;机器人概念;传感器;无人驾驶;专精特新;华为概念;比亚迪概念;新能源汽车;粤港澳大湾区;汽车芯片;创投;储能;深股通;融资融券
3,300955,300955.SZ,33,三胎概念;海峡两岸;融资融券
43,300657,300657.SZ,33,算力租赁;东数西算(算力);英伟达概念;云计算;液冷服务器;数据中心;AI PC;共封装光学(CPO);智谱AI;阿里巴巴概念;抖音概念(字节概念);AI手机;华为概念;卫星导航;PCB概念;汽车电子;消费电子概念;AI眼镜;商业航天;虚拟现实;元宇宙;小米概念;无人机;智能穿戴;传感器;MiniLED;DeepSeek概念;柔性屏(折叠屏);军工;新型烟草(电子烟);无线耳机;华为手机;机器人概念;2025年报预增;小米汽车;新能源汽车;智能医疗;储能;海峡两岸;宁德时代概念;福建自贸区;深股通;融资融券
13,300585,300585.SZ,33,汽车电子;比亚迪概念;专精特新;传感器;减速器;小米概念;新能源汽车;小米汽车;军工;锂电池概念;机器人概念;长安汽车概念;钙钛矿电池
8,000509,000509.SZ,33,碳交易;碳中和;人民币贬值受益;工业母机;国企改革;网络安全;信创;西部大开发
10,000889,000889.SZ,33,算力租赁;腾讯概念;抖音概念(字节概念);阿里巴巴概念;华为概念;5G;百度概念;小米概念;互联网金融;摘帽
11,600207,600207.SH,17,光热发电;天然气;光伏概念;储能;建筑节能;医疗器械概念;国企改革;富士康概念;芯片概念;沪股通;融资融券
16,600936,600936.SH,17,文化传媒概念;AI应用;鸿蒙概念;智慧政务;AI智能体;DeepSeek概念;数字乡村;机器人概念;乡村振兴;无人机;5G;西部大开发;国企改革;股权转让(并购重组);沪股通;融资融券
27,002217,002217.SZ,33,电子纸;华为手机;柔性屏(折叠屏);OLED;富士康概念;PCB概念;无线充电;消费电子概念;智能穿戴;汽车电子;5G;传感器;虚拟现实;比亚迪概念;新能源汽车;海峡两岸;华为概念;东数西算(算力);机器人概念;ETC;福建自贸区;人民币贬值受益;算力租赁;创投;国企改革;深股通;摘帽
17,002591,002591.SZ,33,垃圾分类;拼多多概念;专精特新;文化传媒概念;智慧城市;军民融合;军工;数据要素;腾讯概念;锂电池概念;抖音概念(字节概念);阿里巴巴概念;百度概念;固态电池;绿色电力;钠离子电池;超超临界发电
10,600815,600815.SH,17,福建自贸区;海峡两岸;军工;高端装备;地下管网;国企改革;职业教育;智能物流;中俄贸易概念;沪股通
10,601991,601991.SH,17,绿色电力;风电;储能;雅下水电概念;核电;央企国企改革;国企改革;2025年报预增;沪股通;融资融券
5,603997,603997.SH,17,人民币贬值受益;特斯拉概念;新能源汽车;沪股通;融资融券
5,600130,600130.SH,17,卫星导航;人脸识别;汽车电子;消费电子概念;摘帽
6,002930,002930.SZ,33,东数西算(算力);粤港澳大湾区;智能物流;统一大市场;融资融券;深股通
13,002194,002194.SZ,33,毫米波雷达;汽车电子;5G;卫星导航;芯片概念;商业航天;华为概念;军工;职业教育;创投;6G概念;融资融券;深股通
33,600736,600736.SH,17,特色小镇;华为数字能源;新型城镇化;虚拟电厂;污水处理;绿色电力;净水概念;风电;储能;航空发动机;建筑节能;水利;工业母机;创投;固废处理;华为概念;乡村振兴;参股银行;芯片概念;地下管网;大飞机;商业航天;低空经济;军工;国企改革;卫星导航;医疗器械概念;军民融合;旅游概念;冰雪产业;证金持股;沪股通;融资融券
22,000818,000818.SZ,33,算力租赁;云计算;东数西算(算力);数据中心;英伟达概念;DeepSeek概念;人工智能;卫星导航;5G;军工;创投;军民融合;芯片概念;存储芯片;燃料电池;铜缆高速连接;国企改革;共封装光学(CPO);氢能源;环氧丙烷;深股通;融资融券
12,603316,603316.SH,17,数据中心;存储芯片;芯片概念;水利;房屋检测;新型城镇化;碳中和;污水处理;共同富裕示范区;PPP概念;地下管网;特色小镇
12,600284,600284.SH,17,建筑节能;新型城镇化;自由贸易港;水利;创投;车联网(车路协同);国企改革;算力租赁;上海自贸区;证金持股;沪股通;融资融券
14,002664,002664.SZ,33,人形机器人;华为汽车;特斯拉概念;比亚迪概念;新能源汽车;汽车电子;机器人概念;小米概念;无人机;华为概念;低空经济;2025年报预增;深股通;融资融券
11,605218,605218.SH,17,虚拟现实;MiniLED;长安汽车概念;OLED;智能家居;汽车电子;智能座舱;元宇宙;消费电子概念;比亚迪概念;特斯拉概念
9,002552,002552.SZ,33,黄金概念;2026一季报预增;PCB概念;股权转让(并购重组);5G;汽车电子;国企改革;互联网金融;深股通
44,603636,603636.SH,17,电子身份证;智慧政务;Web3.0;数据要素;鸿蒙概念;信创;AI应用;区块链;华为鲲鹏;虚拟数字人;数据安全;数字经济;网络安全;数据确权;数字乡村;人脸识别;AI智能体;蚂蚁集团概念;百度概念;智慧城市;华为盘古;云计算;人工智能;阿里巴巴概念;DeepSeek概念;车联网(车路协同);数字水印;智谱AI;华为昇腾;物联网;智能医疗;华为概念;房屋检测;东数西算(算力);算力租赁;智慧灯杆;无人驾驶;水利;海峡两岸;军工;乡村振兴;PPP概念;沪股通;融资融券
8,002951,002951.SZ,33,蚂蚁集团概念;数字经济;超级电容;储能;风电;西部大开发;深股通;摘帽
13,002491,002491.SZ,33,光纤概念;5G;数据中心;储能;专精特新;长三角一体化;数字水印;独角兽概念;网络安全;数据安全;固态电池;深股通;融资融券
14,002081,002081.SZ,33,新型城镇化;装配式建筑;长三角一体化;光伏建筑一体化;第三代半导体;芯片概念;PPP概念;数据中心;一带一路;深股通;融资融券;人工智能;智能家居;数字孪生
18,002655,002655.SZ,33,智能音箱;苹果概念;消费电子概念;芯片概念;新型烟草(电子烟);智能穿戴;无线耳机;华为概念;汽车电子;小米概念;传感器;元宇宙;无人机;无线充电;新能源汽车;毫米波雷达;智能家居;一带一路
16,002698,002698.SZ,33,人形机器人;新型工业化;机器人概念;工业互联网;专精特新;智能物流;高端装备;智能医疗;3D打印;创投;医疗器械概念;中俄贸易概念;污水处理;黑龙江自贸区;深股通;融资融券
10,603938,603938.SH,17,光纤概念;有机硅概念;存储芯片;芯片概念;海峡两岸;光伏概念;硅能源;京津冀一体化;沪股通;融资融券
28,603738,603738.SH,17,光刻机;共封装光学(CPO);6G概念;华为海思概念股;WiFi 6;宁德时代概念;芯片概念;5G;卫星导航;汽车芯片;军工;消费电子概念;AI眼镜;智能穿戴;汽车电子;数据中心;无人机;MCU芯片;比亚迪概念;华为概念;专精特新;人形机器人;智能座舱;无人驾驶;机器人概念;创投;融资融券;沪股通
20,601208,601208.SH,17,PET铜箔;PCB概念;苹果概念;OLED;光刻胶;柔性屏(折叠屏);消费电子概念;芯片概念;BC电池;2025年报预增;新能源汽车;光伏概念;商业航天;军工;燃料电池;特高压;氢能源;西部大开发;沪股通;融资融券
13,603315,603315.SH,17,算力租赁;东数西算(算力);抽水蓄能;军工;特钢概念;核电;专精特新;宁德时代概念;超超临界发电;锂电池概念;中俄贸易概念;石墨电极;俄乌冲突概念
39,000070,000070.SZ,33,光纤概念;F5G概念;共封装光学(CPO);成飞概念;6G概念;特高压;5G;高铁;深圳国企改革;大飞机;军工;数据中心;军工信息化;国资云;无人机;卫星导航;东数西算(算力);智慧灯杆;算力租赁;低空经济;智能电网;一带一路;光伏概念;传感器;华为概念;智慧城市;绿色电力;国企改革;抖音概念(字节概念);粤港澳大湾区;创投;百度概念;阿里巴巴概念;腾讯概念;信创;人工智能;深股通;物业管理;摘帽
16,002436,002436.SZ,33,PCB概念;共封装光学(CPO);存储芯片;先进封装;6G概念;芯片概念;毫米波雷达;5G;商业航天;军工;华为概念;机器人概念;低空经济;粤港澳大湾区;深股通;融资融券
4,603931,603931.SH,17,光刻胶;OLED;芯片概念;沪股通
19,603045,603045.SH,17,汽车电子;5G;比亚迪概念;数据中心;BC电池;智能电网;新能源汽车;HJT电池;充电桩;TOPCON电池;工业互联网;智能家居;2025年报预增;储能;高铁;金属回收;黄金概念;股权转让(并购重组);融资融券
8,000697,000697.SZ,33,军工;航空发动机;大飞机;西部大开发;无人机;国企改革;人民币贬值受益;摘帽
6,603095,603095.SH,17,高端装备;专精特新;参股银行;机器视觉;创投;华为概念
3,605006,605006.SH,17,PCB概念;风电;国企改革
45,002929,002929.SZ,33,算力租赁;华为昇腾;云办公;东数西算(算力);数据安全;信创;多模态AI;数据中心;阿里巴巴概念;百度概念;空间计算;虚拟数字人;AI智能体;数据要素;电力物联网;数字乡村;5G;元宇宙;AI应用;智慧灯杆;华为数字能源;数字孪生;智慧城市;华为概念;MR(混合现实);DeepSeek概念;虚拟现实;人工智能;智能电网;虚拟电厂;工业互联网;无人机;充电桩;低空经济;军工;机器人概念;储能;光伏概念;雄安新区;乡村振兴;一带一路;跨境电商;西部大开发;融资融券;深股通
6,603688,603688.SH,17,光纤概念;存储芯片;芯片概念;光伏概念;沪股通;融资融券
20,603803,603803.SH,17,F5G概念;共封装光学(CPO);6G概念;WiFi 6;数据中心;5G;东数西算(算力);量子科技;智能电网;芯片概念;网络安全;新型工业化;数据安全;工业互联网;无人驾驶;物联网;智慧城市;车联网(车路协同);新型城镇化;融资融券
8,605598,605598.SH,17,卫星导航;商业航天;钙钛矿电池;无人机;人民币贬值受益;一带一路;土壤修复;沪股通
13,002729,002729.SZ,33,消费电子概念;比亚迪概念;福建自贸区;汽车电子;海峡两岸;新能源汽车;家用电器;光伏概念;数据中心;充电桩;储能;风电;融资融券
28,002335,002335.SZ,33,算力租赁;液冷服务器;东数西算(算力);数据中心;阿里巴巴概念;5G;腾讯概念;量子科技;智慧政务;智能电网;AI智能体;华为概念;小红书概念;无人驾驶;DeepSeek概念;人工智能;核电;数字经济;储能;光伏概念;高铁;海工装备;海峡两岸;锂电池概念;福建自贸区;氢能源;深股通;融资融券
15,603618,603618.SH,17,光纤概念;特高压;抽水蓄能;智能电网;风电;光伏概念;5G;储能;石墨烯;PET铜箔;新能源汽车;锂电池概念;共同富裕示范区;沪股通;融资融券
25,603459,603459.SH,17,注册制次新股;华为手机;MiniLED;存储芯片;东数西算(算力);PCB概念;共封装光学(CPO);智能座舱;智能穿戴;汽车电子;锂电池概念;比亚迪概念;消费电子概念;芯片概念;小米概念;华为概念;无人驾驶;虚拟现实;富士康概念;卫星导航;机器人概念;商业航天;一带一路;新股与次新股;融资融券
42,600522,600522.SH,17,光纤概念;共封装光学(CPO);铜缆高速连接;6G概念;超导概念;特高压;液冷服务器;可控核聚变;柔性直流输电;超级电容;5G;海工装备;芯片概念;商业航天;数据中心;核电;汽车电子;量子科技;风电;智能电网;光伏概念;东数西算(算力);钙钛矿电池;新能源汽车;储能;华为概念;氢能源;固态电池;低空经济;机器人概念;工业互联网;一带一路;锂电池概念;绿色电力;碳中和;阿里巴巴概念;DeepSeek概念;数字经济;数据要素;沪股通;融资融券;证金持股
4,605258,605258.SH,17,PCB概念;汽车电子;5G;毫米波雷达
13,603031,603031.SH,17,共封装光学(CPO);芯片概念;固态电池;AI PC;锂电池概念;储能;商业航天;华为概念;回购增持再贷款概念;股权转让(并购重组);跨境电商;超级品牌;沪股通
24,002384,002384.SZ,33,共封装光学(CPO);同花顺果指数;光纤概念;PCB概念;苹果概念;2026一季报预增;5G;消费电子概念;MiniLED;芯片概念;智能穿戴;数据中心;AI手机;小米概念;高压快充;华为概念;特斯拉概念;人形机器人;新能源汽车;机器人概念;人民币贬值受益;长三角一体化;深股通;融资融券
40,002008,002008.SZ,33,光刻机;光纤概念;PCB概念;富士康概念;先进封装;第三代半导体;OLED;存储芯片;苹果概念;MicroLED概念;MR(混合现实);芯片概念;MiniLED;AI眼镜;3D打印;消费电子概念;工业母机;商业航天;钙钛矿电池;小米概念;光伏概念;新能源汽车;华为概念;宁德时代概念;机器视觉;比亚迪概念;特斯拉概念;高端装备;固态电池;储能;HJT电池;新型工业化;锂电池概念;机器人概念;TOPCON电池;物联网;粤港澳大湾区;减速器;深股通;融资融券
7,601996,601996.SH,17,土地流转;乡村振兴;碳中和;创投;农业种植;西部大开发;融资融券
10,603067,603067.SH,17,钛白粉概念;小金属概念;钒电池;军工;储能;锂电池概念;固态电池;维生素;沪股通;融资融券
9,002647,002647.SZ,33,芯片概念;东数西算(算力);区块链;移动支付;云计算;跨境支付(CIPS);数字货币;互联网金融;摘帽
37,000066,000066.SZ,33,中国AI 50;AI PC;东数西算(算力);数据安全;信创;国产操作系统;华为鲲鹏;网络安全;数据中心;百度概念;卫星导航;智能电网;液冷服务器;区块链;芯片概念;车联网(车路协同);量子科技;5G;华为概念;人工智能;商业航天;DeepSeek概念;数字经济;智慧城市;消费电子概念;军工;军民融合;汽车电子;粤港澳大湾区;海工装备;锂电池概念;钠离子电池;央企国企改革;国企改革;深股通;中字头股票;融资融券
48,002298,002298.SZ,33,虚拟电厂;电力物联网;智能电网;东数西算(算力);网络安全;信创;云计算;数据安全;数据中心;智慧政务;充电桩;腾讯概念;阿里巴巴概念;人脸识别;抽水蓄能;数据要素;时空大数据;智慧城市;光伏建筑一体化;华为概念;物联网;储能;工业互联网;安防;AIGC概念;数字经济;5G;数字乡村;人工智能;绿色电力;碳交易;机器视觉;无人机;传感器;军工信息化;消费电子概念;军工;碳中和;专精特新;水利;无线充电;高铁;新型城镇化;锂电池概念;PPP概念;光纤概念;深股通;融资融券
21,002350,002350.SZ,33,虚拟电厂;特高压;绿色电力;智能电网;光伏建筑一体化;充电桩;风电;光伏概念;氢能源;储能;高压快充;数据中心;中俄贸易概念;俄乌冲突概念;超级电容;燃料电池;雄安新区;高端装备;京津冀一体化;阿里巴巴概念;融资融券
8,603950,603950.SH,17,汽车电子;比亚迪概念;2025年报预增;新能源汽车;飞行汽车(eVTOL);低空经济;股权转让(并购重组);沪股通
5,600610,600610.SH,17,国企改革;西部大开发;沪股通;中字头股票;融资融券
4,000720,000720.SZ,33,光纤概念;国企改革;物业管理;央企国企改革
12,603256,603256.SH,17,PCB概念;华为手机;5G;苹果概念;芯片概念;消费电子概念;数据中心;2025年报预增;专精特新;华为概念;海峡两岸;沪股通
13,603306,603306.SH,17,共封装光学(CPO);光刻胶;芯片概念;新能源汽车;比亚迪概念;特斯拉概念;数据中心;机器人概念;海峡两岸;福建自贸区;回购增持再贷款概念;沪股通;融资融券
6,603179,603179.SH,17,机器人概念;特斯拉概念;比亚迪概念;新能源汽车;沪股通;融资融券
29,002990,002990.SZ,33,存储芯片;华为昇腾;人脸识别;多模态AI;信创;芯片概念;鸿蒙概念;网络安全;智慧政务;传感器;人形机器人;安防;华为概念;物联网;车联网(车路协同);无人驾驶;机器视觉;核污染防治;语音技术;AI智能体;AIGC概念;机器人概念;人工智能;智慧城市;数字经济;DeepSeek概念;冷链物流;一带一路;深股通
17,002903,002903.SZ,33,富士康概念;苹果概念;工业母机;消费电子概念;芯片概念;第三代半导体;军工;新型工业化;比亚迪概念;同花顺新质50;专精特新;小米概念;新能源汽车;减速器;华为概念;机器人概念;融资融券
21,002980,002980.SZ,33,共封装光学(CPO);血氧仪;核污染防治;PM2.5;食品安全;智能穿戴;AI眼镜;流感;光伏概念;医疗器械概念;核电;充电桩;人民币贬值受益;储能;新能源汽车;物联网;智能医疗;华为鲲鹏;DeepSeek概念;AI智能体;鸿蒙概念
25,002757,002757.SZ,33,算力租赁;云计算;东数西算(算力);网络安全;抖音概念(字节概念);阿里巴巴概念;腾讯概念;AI智能体;AIGC概念;数据中心;AI应用;华为概念;数字孪生;数字经济;人工智能;工业互联网;新型工业化;工业母机;专精特新;机器人概念;粤港澳大湾区;智能家居;海峡两岸;中俄贸易概念;深股通
15,002824,002824.SZ,33,华为手机;消费电子概念;柔性屏(折叠屏);汽车热管理;小米概念;比亚迪概念;新能源汽车;2025年报预增;宁德时代概念;华为概念;智能家居;储能;三胎概念;深股通;融资融券
21,605168,605168.SH,17,小红书概念;算力租赁;Web3.0;多模态AI;抖音概念(字节概念);ChatGPT概念;AIGC概念;腾讯概念;文化传媒概念;AI智能体;东数西算(算力);AI应用;数据要素;体育产业;人工智能;低空经济;无人机;西部大开发;参股券商;融资融券;沪股通
15,002342,002342.SZ,33,商业航天;军工;高端装备;海工装备;水利;核电;雄安新区;一带一路;光伏概念;京津冀一体化;风电;白酒概念;抽水蓄能;深股通;融资融券
5,003041,003041.SZ,33,2025年报预增;人民币贬值受益;共同富裕示范区;一带一路;股权转让(并购重组)
