股票代码,所属概念数量,market_code,所属概念,code
920045.BJ,9,151,2025年报预增;粤港澳大湾区;无人驾驶;数据中心;光纤概念;新股与次新股;融资融券;共封装光学(CPO);人民币贬值受益,920045
301183.SZ,14,33,共封装光学(CPO);F5G概念;华为手机;消费电子概念;6G概念;汽车电子;2025年报预增;专精特新;小米概念;无人驾驶;华为概念;虚拟现实;深股通;融资融券,301183
300131.SZ,26,33,存储芯片;共封装光学(CPO);第三代半导体;汽车芯片;AI眼镜;OLED;芯片概念;汽车电子;智能座舱;小米概念;传感器;数据中心;智能家居;无人驾驶;物联网;车联网(车路协同);新能源汽车;粤港澳大湾区;机器人概念;长安汽车概念;智慧城市;ERP概念;阿里巴巴概念;腾讯概念;深股通;融资融券,300131
300071.SZ,22,33,Sora概念(文生视频);小红书概念;AI语料;Web3.0;ChatGPT概念;AIGC概念;多模态AI;虚拟数字人;抖音概念(字节概念);文化传媒概念;元宇宙;数据要素;百度概念;腾讯概念;数字经济;DeepSeek概念;人工智能;华为概念;京津冀一体化;AI应用;比亚迪概念;深股通,300071
300008.SZ,17,33,军民融合;太赫兹;军工;海工装备;数字孪生;人工智能;2025年报预增;高端装备;风电;机器人概念;一带一路;垃圾分类;专精特新;天然气;航运概念;深股通;融资融券,300008
688556.SH,9,17,减速器;光伏概念;第三代半导体;人形机器人;机器视觉;机器人概念;多模态AI;沪股通;融资融券,688556
301162.SZ,11,33,智能电网;虚拟电厂;光伏概念;专精特新;人工智能;风电;碳交易;储能;绿色电力;深股通;融资融券,301162
300620.SZ,20,33,共封装光学(CPO);光纤概念;5G;芯片概念;数据中心;量子科技;3D打印;2025年报预增;商业航天;卫星导航;无人驾驶;2025三季报预增;海工装备;粤港澳大湾区;横琴新区;一带一路;国企改革;股权转让(并购重组);深股通;融资融券,300620
300490.SZ,40,33,钠离子电池;固态电池;宁德时代概念;锂电池概念;高压快充;MiniLED;光伏概念;储能;换电概念;比亚迪概念;新型工业化;智能电网;虚拟电厂;充电桩;光伏建筑一体化;数据中心;垃圾分类;机器视觉;华为概念;净水概念;碳中和;机器人概念;虚拟现实;风电;工业互联网;军工;航空发动机;污水处理;绿色电力;一带一路;数字孪生;多模态AI;人工智能;国产操作系统;碳交易;华为鲲鹏;DeepSeek概念;数据要素;水利;数字经济,300490
300102.SZ,17,33,商业航天;卫星导航;军工;MicroLED概念;福建自贸区;光伏概念;人脸识别;MiniLED;海峡两岸;第三代半导体;芯片概念;共封装光学(CPO);消费电子概念;汽车电子;家用电器;智能家居;深股通,300102
688071.SH,14,17,华为汽车;长安汽车概念;无人驾驶;比亚迪概念;无人机;专精特新;机器人概念;车联网(车路协同);人形机器人;高端装备;新能源汽车;燃料电池;宁德时代概念;融资融券,688071
300751.SZ,16,33,钙钛矿电池;HJT电池;MicroLED概念;第三代半导体;光伏概念;MiniLED;高端装备;新型工业化;芯片概念;先进封装;OLED;存储芯片;锂电池概念;回购增持再贷款概念;融资融券;深股通,300751
301141.SZ,11,33,稀土永磁;5G;消费电子概念;智能音箱;一带一路;专精特新;机器人概念;新能源汽车;2025年报预增;深股通;融资融券,301141
688503.SH,14,17,BC电池;OLED;TOPCON电池;HJT电池;液冷服务器;光伏概念;芯片概念;汽车电子;专精特新;5G;商业航天;卫星导航;沪股通;融资融券,688503
600683.SH,8,17,土地流转;特色小镇;物业管理;旅游概念;养老概念;国企改革;京津冀一体化;创投,600683
600266.SH,11,17,卫星导航;商业航天;时空大数据;参股券商;京津冀一体化;创投;新型城镇化;国企改革;旅游概念;沪股通;融资融券,600266
003035.SZ,15,33,固废处理;绿色电力;建筑节能;虚拟电厂;碳中和;国企改革;智能电网;风电;乡村振兴;央企国企改革;2025三季报预增;光伏概念;华为数字能源;融资融券;深股通,003035
002361.SZ,16,33,卫星导航;商业航天;军民融合;航空发动机;军工;低空经济;无人机;高铁;3D打印;高端装备;国企改革;污水处理;石墨烯;深股通;股权转让(并购重组);融资融券,002361
002165.SZ,6,33,环氧丙烷;水泥概念;建筑节能;医疗器械概念;深股通;融资融券,002165
600590.SH,29,17,太赫兹;军民融合;国产航母;卫星导航;军工;无人机;军工信息化;碳纤维;6G概念;低空经济;光伏概念;机器人概念;数据中心;华为概念;虚拟现实;燃料电池;储能;氢能源;智能电网;创投;电力物联网;一带一路;腾讯概念;区块链;AI智能体;智能医疗;IP经济(谷子经济);沪股通;融资融券,600590
600149.SH,4,17,雄安新区;物业管理;国企改革;京津冀一体化,600149
002342.SZ,15,33,商业航天;京津冀一体化;军工;海工装备;水利;雄安新区;核电;一带一路;高端装备;风电;光伏概念;抽水蓄能;白酒概念;深股通;融资融券,002342
002455.SZ,13,33,磷化工;石墨电极;金属回收;钠离子电池;动力电池回收;锂电池概念;固态电池;宁德时代概念;光刻胶;储能;新能源汽车;深股通;融资融券,002455
002012.SZ,8,33,烟草;共同富裕示范区;碳中和;储能;超级电容;数字经济;互联网金融;数据要素,002012
000811.SZ,31,33,可控核聚变;液冷服务器;3D打印;新能源汽车;海工装备;核电;数据中心;储能;燃料电池;军工;中芯国际概念;海峡两岸;固态电池;机器人概念;氢能源;空气能热泵;中俄贸易概念;雅下水电概念;智能物流;回购增持再贷款概念;碳中和;创投;人工智能;国企改革;天然气;冰雪产业;冷链物流;体育产业;融资融券;宠物经济;深股通,000811
600869.SH,44,17,超导概念;可控核聚变;铜缆高速连接;核电;光伏概念;海工装备;光纤概念;特高压;商业航天;芯片概念;雅下水电概念;柔性直流输电;液冷服务器;风电;军工;高端装备;智能电网;PET铜箔;无人机;军民融合;储能;锂电池概念;数据中心;充电桩;回购增持再贷款概念;宁德时代概念;低空经济;新能源汽车;特斯拉概念;固态电池;东数西算(算力);西部大开发;机器人概念;人形机器人;华为概念;钠离子电池;独角兽概念;智慧城市;参股银行;人工智能;DeepSeek概念;阿里巴巴概念;沪股通;融资融券,600869
605599.SH,4,17,黄金概念;国企改革;IP经济(谷子经济);沪股通,605599
603778.SH,11,17,钙钛矿电池;HJT电池;TOPCON电池;硅能源;固态电池;虚拟电厂;锂电池概念;光伏概念;新型城镇化;储能;PPP概念,603778
600481.SH,16,17,硅能源;光热发电;光伏概念;核电;氢能源;碳中和;高端装备;超超临界发电;储能;DeepSeek概念;数据中心;工业互联网;专精特新;液冷服务器;融资融券;沪股通,600481
603103.SH,8,17,短剧游戏;文化传媒概念;IP经济(谷子经济);共同富裕示范区;虚拟现实;沪股通;AI应用;融资融券,603103
600673.SH,18,17,液冷服务器;东数西算(算力);数据中心;华为概念;芯片概念;超级电容;2025三季报预增;PVDF概念;人形机器人;储能;锂电池概念;回购增持再贷款概念;消毒剂;氟化工概念;沪股通;融资融券;煤炭概念;AI应用,600673
000534.SZ,8,33,航空发动机;大飞机;军工;无人机;低空经济;创新药;深股通;融资融券,000534
002364.SZ,26,33,中国AI 50;阿里巴巴概念;数据中心;百度概念;5G;腾讯概念;拼多多概念;华为概念;海工装备;高压快充;数字孪生;核电;智能电网;特高压;工业互联网;换电概念;充电桩;储能;虚拟电厂;风电;新能源汽车;水利;碳中和;两轮车;深股通;融资融券,002364
603773.SH,20,17,MicroLED概念;柔性屏(折叠屏);MiniLED;先进封装;OLED;卫星导航;光刻机;商业航天;汽车电子;消费电子概念;钙钛矿电池;智能穿戴;6G概念;PET铜箔;小米概念;芯片概念;存储芯片;共封装光学(CPO);华为概念;沪股通,603773
600410.SH,33,17,云计算;智慧政务;华为鲲鹏;网络安全;信创;AIGC概念;AI智能体;元宇宙;在线教育;抖音概念(字节概念);区块链;腾讯概念;百度概念;阿里巴巴概念;数据要素;东数西算(算力);时空大数据;智慧城市;人工智能;DeepSeek概念;安防;华为概念;无线耳机;军工;数据中心;芯片概念;京津冀一体化;工业互联网;创投;一带一路;沪股通;融资融券;AI应用,600410
603211.SH,11,17,特斯拉概念;卫星导航;毫米波雷达;机器人概念;无人驾驶;比亚迪概念;新能源汽车;专精特新;智能家居;长三角一体化;沪股通,603211
002830.SZ,3,33,粤港澳大湾区;华为概念;物业管理,002830
002922.SZ,14,33,高压快充;华为数字能源;光伏概念;储能;充电桩;新能源汽车;数据中心;5G;一带一路;华为概念;粤港澳大湾区;智能家居;深股通;融资融券,002922
002785.SZ,8,33,盐湖提锂;俄乌冲突概念;锂电池概念;中俄贸易概念;一带一路;福建自贸区;海峡两岸;深股通,002785
000962.SZ,13,33,小金属概念;超导概念;可控核聚变;超级电容;航空发动机;核电;商业航天;3D打印;央企国企改革;芯片概念;西部大开发;国企改革;深股通,000962
603031.SH,13,17,共封装光学(CPO);芯片概念;AI PC;固态电池;储能;锂电池概念;商业航天;回购增持再贷款概念;华为概念;股权转让(并购重组);跨境电商;超级品牌;沪股通,603031
603920.SH,30,17,OLED;AI眼镜;智能座舱;毫米波雷达;人形机器人;汽车电子;特斯拉概念;共封装光学(CPO);PCB概念;飞行汽车(eVTOL);5G;商业航天;无人驾驶;无人机;光伏概念;新能源汽车;低空经济;机器人概念;脑机接口;储能;数据中心;充电桩;东数西算(算力);粤港澳大湾区;人民币贬值受益;海峡两岸;国企改革;股权转让(并购重组);融资融券;沪股通,603920
601799.SH,10,17,沪股通;无人驾驶;智能座舱;机器人概念;人形机器人;毫米波雷达;华为汽车;MicroLED概念;汽车电子;融资融券,601799
002155.SZ,10,33,金属锌;黄金概念;金属铅;小金属概念;乡村振兴;深股通;国企改革;2025年报预增;股权转让(并购重组);融资融券,002155
600330.SH,29,17,商业航天;卫星导航;PCB概念;5G;第三代半导体;毫米波雷达;军工;先进封装;汽车电子;芯片概念;量子科技;无线充电;高端装备;数据中心;新能源汽车;AI眼镜;光伏概念;OLED;智能穿戴;储能;锂电池概念;充电桩;长三角一体化;智能物流;创投;固废处理;乡村振兴;融资融券;沪股通,600330
603051.SH,18,17,TOPCON电池;BC电池;HJT电池;钙钛矿电池;POE胶膜;光伏概念;固态电池;柔性屏(折叠屏);OLED;锂电池概念;比亚迪概念;传感器;氢能源;商业航天;智能穿戴;水利;人形机器人;融资融券,603051
603612.SH,15,17,石墨电极;固态电池;锂电池概念;宁德时代概念;2025年报预增;储能;燃料电池;一带一路;新能源汽车;飞行汽车(eVTOL);无人机;无人驾驶;DeepSeek概念;沪股通;融资融券,603612
600053.SH,6,17,人形机器人;创投;PPP概念;跨境电商;沪股通;融资融券,600053
001400.SZ,10,33,商业航天;3D打印;专精特新;汽车热管理;风电;新能源汽车;液冷服务器;注册制次新股;新股与次新股;融资融券,001400
603806.SH,9,17,BC电池;HJT电池;POE胶膜;光伏概念;固态电池;储能;PCB概念;沪股通;融资融券,603806
601992.SH,15,17,房屋检测;京津冀一体化;水泥概念;雄安新区;创投;商业航天;装配式建筑;物业管理;国企改革;一带一路;固废处理;可控核聚变;储能;沪股通;融资融券,601992
002865.SZ,9,33,BC电池;钙钛矿电池;TOPCON电池;商业航天;海南自贸区;光伏概念;新能源汽车;融资融券;深股通,002865
603172.SH,2,17,染料;融资融券,603172
605123.SH,12,17,航空发动机;大飞机;商业航天;可控核聚变;卫星导航;军工;海工装备;核电;风电;专精特新;沪股通;融资融券,605123
001316.SZ,8,33,航空发动机;大飞机;商业航天;低空经济;海峡两岸;AI眼镜;消毒剂;2025年报预增,001316
002792.SZ,26,33,卫星导航;商业航天;6G概念;WiFi 6;低空经济;数字乡村;毫米波雷达;人工智能;虚拟电厂;华为概念;F5G概念;换电概念;5G;无人驾驶;中俄贸易概念;一带一路;铜缆高速连接;粤港澳大湾区;储能;乡村振兴;汽车电子;消费电子概念;华为汽车;共封装光学(CPO);深股通;融资融券,002792
002126.SZ,24,33,人形机器人;汽车热管理;特斯拉概念;小米汽车;华为汽车;液冷服务器;新能源汽车;长安汽车概念;比亚迪概念;小米概念;机器人概念;燃料电池;宁德时代概念;储能;充电桩;数据中心;工业互联网;氢能源;低空经济;东数西算(算力);回购增持再贷款概念;创投;深股通;融资融券,002126
603285.SH,2,17,锂电池概念;融资融券,603285
000738.SZ,12,33,国产航母;航空发动机;大飞机;军民融合;商业航天;军工;无人机;央企国企改革;高端装备;国企改革;深股通;融资融券,000738
002943.SZ,12,33,HJT电池;TOPCON电池;第三代半导体;光伏概念;芯片概念;AI眼镜;工业母机;智能穿戴;比亚迪概念;稀土永磁;深股通;融资融券,002943
600785.SH,6,17,统一大市场;IP经济(谷子经济);粮食概念;西部大开发;智能物流;抖音概念(字节概念),600785
603095.SH,6,17,高端装备;机器视觉;创投;华为概念;专精特新;参股银行,603095
000995.SZ,4,33,白酒概念;农业种植;乡村振兴;西部大开发,000995
002471.SZ,24,33,商业航天;大飞机;航空发动机;军民融合;军工;低空经济;无人机;海工装备;核电;高端装备;光伏概念;数字经济;水利;机器人概念;风电;东数西算(算力);充电桩;智能电网;创投;柔性直流输电;数据中心;石墨烯;深股通;融资融券,002471
002238.SZ,18,33,短剧游戏;文化传媒概念;在线教育;虚拟数字人;数据要素;智慧政务;国资云;AI智能体;腾讯概念;智慧城市;足球概念;网络安全;算力租赁;国企改革;数据中心;5G;深股通;融资融券,002238
002957.SZ,28,33,液冷服务器;苹果概念;宁德时代概念;共封装光学(CPO);新型烟草(电子烟);固态电池;消费电子概念;2025年报预增;芯片概念;AI眼镜;无线耳机;比亚迪概念;锂电池概念;智能穿戴;机器视觉;新型工业化;人形机器人;机器人概念;粤港澳大湾区;华为概念;虚拟现实;物联网;工业互联网;无人机;智能物流;低空经济;融资融券;深股通,002957
000547.SZ,33,33,军工信息化;商业航天;卫星导航;军民融合;军工;福建自贸区;无人机;海峡两岸;低空经济;华为欧拉;安防;MR(混合现实);网络安全;智慧政务;数据安全;华为鲲鹏;5G;海工装备;信创;多模态AI;虚拟现实;元宇宙;华为概念;芯片概念;人工智能;数字经济;DeepSeek概念;央企国企改革;风电;乡村振兴;国企改革;深股通;融资融券,000547
002112.SZ,10,33,智能电网;光伏概念;风电;核电;储能;国企改革;共同富裕示范区;数据中心;专精特新;融资融券,002112
688726.SH,10,17,BC电池;钙钛矿电池;TOPCON电池;第三代半导体;光伏概念;芯片概念;专精特新;比亚迪概念;沪股通;融资融券,688726
600986.SH,32,17,小红书概念;快手概念;短剧游戏;Web3.0;AIGC概念;虚拟数字人;文化传媒概念;NFT概念;多模态AI;抖音概念(字节概念);AI智能体;手机游戏;蚂蚁集团概念;百度概念;阿里巴巴概念;腾讯概念;元宇宙;电子竞技;网红经济;算力租赁;AI应用;DeepSeek概念;数字经济;人工智能;独角兽概念;东数西算(算力);华为概念;国企改革;小米概念;长安汽车概念;沪股通;融资融券,600986
688560.SH,12,17,BC电池;HJT电池;TOPCON电池;POE胶膜;固态电池;光伏概念;锂电池概念;专精特新;比亚迪概念;人民币贬值受益;回购增持再贷款概念;融资融券,688560
000533.SZ,21,33,抽水蓄能;可控核聚变;智能电网;超超临界发电;核电;风电;光伏概念;储能;充电桩;海工装备;水利;中芯国际概念;数据中心;比亚迪概念;粤港澳大湾区;东数西算(算力);数字经济;阿里巴巴概念;百度概念;深股通;融资融券,000533
002951.SZ,8,33,数字经济;储能;风电;超级电容;蚂蚁集团概念;西部大开发;深股通;摘帽,002951
000039.SZ,28,33,可燃冰;天然气;航运概念;统一大市场;冷链物流;氢能源;海工装备;同花顺出海50;储能;核电;一带一路;风电;雄安新区;智能物流;机器人概念;数据中心;粤港澳大湾区;商业航天;物联网;机器视觉;无人驾驶;人工智能;AI应用;参股券商;DeepSeek概念;智谱AI;深股通;融资融券,000039
600586.SH,8,17,钙钛矿电池;光伏建筑一体化;光伏概念;建筑节能;特斯拉概念;一带一路;融资融券;沪股通,600586
000856.SZ,7,33,建筑节能;京津冀一体化;国企改革;水泥概念;机器人概念;高端装备;智能电网,000856
603618.SH,15,17,特高压;智能电网;光纤概念;PET铜箔;光伏概念;石墨烯;储能;抽水蓄能;风电;新能源汽车;锂电池概念;5G;共同富裕示范区;沪股通;融资融券,603618
600984.SH,3,17,西部大开发;国企改革;一带一路,600984
300480.SZ,13,33,先进封装;第三代半导体;工业母机;芯片概念;传感器;专精特新;高端装备;机器人概念;华为概念;物联网;工业互联网;一带一路;深股通,300480
688583.SH,10,17,空间计算;阿里巴巴概念;3D打印;专精特新;大飞机;机器人概念;比亚迪概念;特斯拉概念;宁德时代概念;融资融券,688583
301235.SZ,10,33,芯片概念;2025年报预增;专精特新;医疗器械概念;辅助生殖;医疗废物处理;回购增持再贷款概念;人工智能;智能医疗;融资融券,301235
301526.SZ,17,33,PCB概念;华为手机;5G;消费电子概念;汽车电子;华为概念;特高压;光伏概念;一带一路;工业互联网;风电;数字经济;西部大开发;国企改革;绿色电力;深股通;融资融券,301526
300776.SZ,15,33,BC电池;TOPCON电池;钙钛矿电池;HJT电池;第三代半导体;MicroLED概念;光伏概念;芯片概念;先进封装;OLED;MiniLED;消费电子概念;PCB概念;融资融券;深股通,300776
605288.SH,9,17,新能源汽车;光伏概念;一带一路;智能家居;人民币贬值受益;创投;医疗器械概念;智能医疗;沪股通,605288
300467.SZ,7,33,网络游戏;手机游戏;文化传媒概念;腾讯概念;华为概念;鸿蒙概念;西部大开发,300467
688593.SH,7,17,电子纸;AI眼镜;芯片概念;智能穿戴;OLED;沪股通;融资融券,688593
300457.SZ,15,33,固态电池;宁德时代概念;锂电池概念;OLED;新型烟草(电子烟);比亚迪概念;储能;机器视觉;氢能源;粤港澳大湾区;上海国企改革;人民币贬值受益;国企改革;深股通;融资融券,300457
301181.SZ,9,33,汽车热管理;飞行汽车(eVTOL);长安汽车概念;新能源汽车;低空经济;比亚迪概念;燃料电池;宁德时代概念;融资融券,301181
688316.SH,19,17,华为欧拉;智谱AI;华为鲲鹏;云计算;算力租赁;智慧政务;信创;网络安全;东数西算(算力);数字经济;互联网金融;DeepSeek概念;华为概念;数据中心;英伟达概念;低空经济;物联网;无人驾驶;融资融券,688316
688239.SH,14,17,航空发动机;大飞机;商业航天;核电;海工装备;低空经济;高端装备;风电;专精特新;DeepSeek概念;西部大开发;锂电池概念;沪股通;融资融券,688239
002826.SZ,4,33,仿制药一致性评价;西部大开发;2025年报预增;股权转让(并购重组),002826
688523.SH,8,17,卫星导航;商业航天;大飞机;航空发动机;无人机;低空经济;沪股通;融资融券,688523
300594.SZ,19,33,低空经济;烟草;专精特新;芯片概念;飞行汽车(eVTOL);数据中心;高铁;比亚迪概念;换电概念;液冷服务器;空气能热泵;农机;新能源汽车;光伏概念;汽车热管理;储能;充电桩;回购增持再贷款概念;风电,300594
603306.SH,13,17,共封装光学(CPO);光刻胶;芯片概念;特斯拉概念;新能源汽车;比亚迪概念;数据中心;机器人概念;回购增持再贷款概念;沪股通;海峡两岸;福建自贸区;融资融券,603306
600331.SH,10,17,磷化工;化肥;金属锌;小金属概念;金属铜;西部大开发;信托概念;国企改革;融资融券;沪股通,600331
