股票代码,market_code,code,所属概念数量,所属概念
002240.SZ,33,002240,10,盐湖提锂;固态电池;小金属概念;锂电池概念;宁德时代概念;比亚迪概念;西部大开发;回购增持再贷款概念;深股通;融资融券
002756.SZ,33,002756,7,锂电池概念;特钢概念;核电;军工;互联网金融;融资融券;深股通
603655.SH,17,603655,2,新能源汽车;2025年报预增
600527.SH,17,600527,2,互联网金融;新型工业化
603876.SH,17,603876,11,钠离子电池;固态电池;锂电池概念;宁德时代概念;储能;比亚迪概念;回购增持再贷款概念;一带一路;2025年报预增;沪股通;融资融券
001339.SZ,33,001339,31,算力租赁;东数西算(算力);英伟达概念;中国AI 50;AI PC;5G;云办公;数据安全;网络安全;信创;安防;车联网(车路协同);人脸识别;物联网;消费电子概念;智慧城市;智能座舱;机器视觉;鸿蒙概念;ETC;专精特新;DeepSeek概念;工业互联网;新型工业化;人工智能;在线教育;机器人概念;人形机器人;粤港澳大湾区;智能医疗;深股通
001211.SZ,33,001211,5,露营经济;三胎概念;预制菜;跨境电商;IP经济(谷子经济)
002192.SZ,33,002192,7,锂电池概念;储能;比亚迪概念;回购增持再贷款概念;粤港澳大湾区;深股通;融资融券
600499.SH,17,600499,15,盐湖提锂;光伏建筑一体化;锂电池概念;人民币贬值受益;新型工业化;宁德时代概念;同花顺出海50;储能;高端装备;机器人概念;一带一路;充电桩;海工装备;沪股通;融资融券
001234.SZ,33,001234,5,体育产业;三胎概念;长三角一体化;国企改革;股权转让(并购重组)
000062.SZ,33,000062,27,华为海思概念股;2026一季报预增;存储芯片;共封装光学(CPO);第三代半导体;芯片概念;6G概念;汽车电子;华为概念;传感器;华为昇腾;比亚迪概念;新能源汽车;人形机器人;粤港澳大湾区;2025年报预增;腾讯概念;机器人概念;人民币贬值受益;互联网金融;AI智能体;智慧城市;创投;雄安新区;深股通;融资融券;证金持股
600338.SH,17,600338,13,金属铅;金属锌;小金属概念;金属铜;盐湖提锂;锂电池概念;2025年报预增;人民币贬值受益;西部大开发;一带一路;免税店;沪股通;融资融券
603066.SH,17,603066,20,烟草;跨境电商;冷链物流;统一大市场;智能物流;一带一路;国企改革;人工智能;数字孪生;物联网;工业互联网;机器人概念;新型工业化;专精特新;比亚迪概念;机器视觉;华为概念;特斯拉概念;宁德时代概念;华为数字能源
002331.SZ,33,002331,17,ETC;水利;数字孪生;安防;华为概念;智慧城市;智能物流;雄安新区;数字经济;数字乡村;华为鲲鹏;智慧政务;华为昇腾;DeepSeek概念;区块链;鸿蒙概念;航运概念
003036.SZ,33,003036,7,共同富裕示范区;新型工业化;机器人概念;参股银行;高端装备;锂电池概念;固态电池
002407.SZ,33,002407,22,钠离子电池;氟化工概念;固态电池;PVDF概念;动力电池回收;锂电池概念;硅能源;特斯拉概念;储能;比亚迪概念;新能源汽车;回购增持再贷款概念;中芯国际概念;第三代半导体;存储芯片;芯片概念;创投;工业互联网;独角兽概念;数字孪生;融资融券;深股通
603819.SH,17,603819,4,新能源汽车;安防;风电;股权转让(并购重组)
600633.SH,17,600633,41,Sora概念(文生视频);AIGC概念;AI应用;数据确权;多模态AI;NFT概念;云计算;文化传媒概念;手机游戏;AI智能体;华为昇腾;阿里巴巴概念;腾讯概念;算力租赁;智慧政务;网络游戏;百度概念;电子竞技;数据要素;区块链;鸿蒙概念;元宇宙;DeepSeek概念;智能医疗;数字经济;东数西算(算力);人工智能;独角兽概念;智慧城市;旅游概念;华为概念;养老概念;数据中心;体育产业;创投;共同富裕示范区;国企改革;证金持股;绿色电力;沪股通;融资融券
000546.SZ,33,000546,9,盐湖提锂;小金属概念;金属镍;金属回收;金属铜;锂电池概念;医疗废物处理;垃圾分类;固废处理
002787.SZ,33,002787,8,2025年报预增;锂电池概念;芯片概念;食品安全;液冷服务器;长三角一体化;海峡两岸;创投
600545.SH,17,600545,10,华为概念;新型工业化;机器人概念;AI智能体;DeepSeek概念;人民币贬值受益;一带一路;西部大开发;新疆振兴;融资融券
603060.SH,17,603060,15,房屋检测;雄安新区;水利;土壤修复;国企改革;碳交易;碳中和;光伏建筑一体化;雅下水电概念;央企国企改革;核污染防治;核电;光伏概念;商业航天;沪股通
600770.SH,17,600770,15,汽车芯片;芯片概念;语音技术;数据安全;2025年报预增;碳纤维;人工智能;创投;跨境电商;网络游戏;手机游戏;绿色电力;融资融券;股权转让(并购重组);沪股通
300575.SZ,33,300575,2,创新药;人民币贬值受益
300501.SZ,33,300501,4,固态电池;锂电池概念;回购增持再贷款概念;消费电子概念
920207.BJ,151,920207,32,乡村振兴;数字乡村;AI应用;AI智能体;虚拟现实;融资融券;空间计算;虚拟数字人;职业教育;智能医疗;数字经济;华为概念;智慧城市;芯片概念;智慧政务;元宇宙;多模态AI;网络安全;数字孪生;信创;数据要素;数据中心;数据安全;华为鲲鹏;鸿蒙概念;华为昇腾;人工智能;东数西算(算力);DeepSeek概念;云计算;AIGC概念;专精特新
688001.SH,17,688001,15,MicroLED概念;OLED;苹果概念;消费电子概念;汽车电子;芯片概念;5G;无线耳机;智能穿戴;智能音箱;特斯拉概念;人形机器人;回购增持再贷款概念;沪股通;融资融券
301588.SZ,33,301588,3,粤港澳大湾区;人民币贬值受益;融资融券
300339.SZ,33,300339,47,华为欧拉;华为昇腾;MLOps概念;数字货币;财税数字化;华为鲲鹏;ChatGPT概念;ERP概念;智慧政务;多模态AI;AI智能体;互联网金融;信创;国产操作系统;鸿蒙概念;跨境支付(CIPS);区块链;网络安全;阿里巴巴概念;虚拟数字人;在线教育;元宇宙;DeepSeek概念;智慧城市;人工智能;东数西算(算力);星闪概念;智能医疗;物联网;华为概念;虚拟现实;创投;无人驾驶;智能座舱;华为数字能源;华为海思概念股;小米概念;机器人概念;智能家居;华为汽车;人形机器人;AI应用;电力物联网;芯片概念;智能电网;深股通;融资融券
688519.SH,17,688519,11,PCB概念;共封装光学(CPO);MiniLED;存储芯片;5G;新能源汽车;2025年报预增;专精特新;华为概念;沪股通;融资融券
301273.SZ,33,301273,6,专精特新;新型工业化;芯片概念;低空经济;稀土永磁;融资融券
920914.BJ,151,920914,12,商业航天;氢能源;小金属概念;回购增持再贷款概念;融资融券;宁德时代概念;卫星导航;军工;专精特新;金属镍;锂电池概念;比亚迪概念
301165.SZ,33,301165,31,共封装光学(CPO);WiFi 6;中国AI 50;液冷服务器;6G概念;东数西算(算力);5G;数据中心;网络安全;云办公;信创;国资云;抖音概念(字节概念);阿里巴巴概念;腾讯概念;百度概念;快手概念;AI智能体;小米概念;工业互联网;新型工业化;AIGC概念;蚂蚁集团概念;人工智能;智能医疗;数字经济;一带一路;AI应用;国企改革;深股通;融资融券
300397.SZ,33,300397,29,军民融合;军工信息化;卫星导航;军工;太赫兹;无人机;低空经济;时空大数据;海工装备;毫米波雷达;量子科技;车联网(车路协同);智慧城市;安防;智慧灯杆;5G;无人驾驶;数据中心;华为概念;东数西算(算力);人工智能;机器人概念;传感器;芯片概念;算力租赁;西部大开发;先进封装;深股通;融资融券
301239.SZ,33,301239,6,民营医院;眼科医疗;智能医疗;西部大开发;深股通;融资融券
300723.SZ,33,300723,16,重组蛋白;减肥药;创新药;肝炎概念;猴痘概念;仿制药一致性评价;生物疫苗;流感;医药电商;智能医疗;三胎概念;DeepSeek概念;粤港澳大湾区;英伟达概念;融资融券;深股通
002466.SZ,33,002466,13,盐湖提锂;动力电池回收;固态电池;锂电池概念;化肥;2026一季报预增;特斯拉概念;新能源汽车;西部大开发;同花顺漂亮100;深股通;融资融券;证金持股
002980.SZ,33,002980,21,共封装光学(CPO);血氧仪;核污染防治;PM2.5;AI眼镜;智能穿戴;食品安全;光伏概念;核电;充电桩;储能;新能源汽车;物联网;人民币贬值受益;医疗器械概念;华为鲲鹏;流感;DeepSeek概念;AI智能体;智能医疗;鸿蒙概念
300905.SZ,33,300905,7,光刻胶;染料;专精特新;3D打印;足球概念;深股通;融资融券
688041.SH,17,688041,13,中国AI 50;东数西算(算力);芯片概念;信创;阿里巴巴概念;腾讯概念;抖音概念(字节概念);百度概念;人工智能;DeepSeek概念;同花顺中特估100;沪股通;融资融券
301248.SZ,33,301248,50,算力租赁;华为昇腾;东数西算(算力);云计算;云办公;智谱AI;数据确权;财税数字化;华为鲲鹏;网络安全;信创;人脸识别;智慧政务;华为数字能源;多模态AI;智慧灯杆;腾讯概念;数据中心;阿里巴巴概念;语音技术;时空大数据;AI智能体;安防;液冷服务器;数据要素;区块链;AIGC概念;在线教育;智慧城市;华为概念;数字乡村;物联网;5G;数字孪生;DeepSeek概念;智能医疗;人工智能;芯片概念;数字经济;卫星导航;智能电网;粤港澳大湾区;无人机;新型工业化;机器人概念;低空经济;AI应用;智能物流;新型城镇化;融资融券
002092.SZ,33,002092,17,煤化工概念;煤炭概念;水泥概念;消毒剂;可降解塑料;新疆振兴;碳交易;碳中和;国企改革;石墨烯;西部大开发;一带一路;风电;跨境电商;职业教育;深股通;摘帽
003030.SZ,33,003030,4,人造肉;宠物经济;共同富裕示范区;网红经济
000762.SZ,33,000762,10,盐湖提锂;小金属概念;金属铜;化肥;锂电池概念;西部大开发;国企改革;央企国企改革;深股通;融资融券
688558.SH,17,688558,9,工业母机;专精特新;新型工业化;人形机器人;机器人概念;高端装备;航空发动机;商业航天;融资融券
300005.SZ,33,300005,21,露营经济;体育产业;冰雪产业;三胎概念;足球概念;商业航天;机器人概念;京津冀一体化;跨境电商;柔性屏(折叠屏);消费电子概念;智能穿戴;芯片概念;MiniLED;MicroLED概念;AI眼镜;OLED;汽车芯片;MCU芯片;融资融券;深股通
600331.SH,17,600331,10,金属锌;金属铜;小金属概念;磷化工;化肥;西部大开发;国企改革;信托概念;融资融券;沪股通
600227.SH,17,600227,9,化肥;煤化工概念;煤炭概念;民营医院;阿尔茨海默概念;仿制药一致性评价;西部大开发;医疗器械概念;创投
301150.SZ,33,301150,10,PET铜箔;固态电池;宁德时代概念;锂电池概念;PCB概念;储能;比亚迪概念;专精特新;深股通;融资融券
603738.SH,17,603738,28,共封装光学(CPO);光刻机;6G概念;华为海思概念股;WiFi 6;芯片概念;卫星导航;5G;军工;消费电子概念;AI眼镜;汽车芯片;智能穿戴;汽车电子;宁德时代概念;无人机;数据中心;MCU芯片;专精特新;华为概念;比亚迪概念;智能座舱;无人驾驶;人形机器人;机器人概念;创投;融资融券;沪股通
688130.SH,17,688130,5,芯片概念;智能家居;血氧仪;储能;融资融券
688148.SH,17,688148,9,固态电池;动力电池回收;锂电池概念;宁德时代概念;比亚迪概念;特斯拉概念;人形机器人;芯片概念;融资融券
000688.SZ,33,000688,12,金属铅;钛白粉概念;金属锌;小金属概念;金属铜;黄金概念;锂电池概念;西部大开发;2025年报预增;深股通;股权转让(并购重组);融资融券
002943.SZ,33,002943,12,HJT电池;TOPCON电池;光伏概念;第三代半导体;工业母机;稀土永磁;比亚迪概念;芯片概念;AI眼镜;智能穿戴;深股通;融资融券
300919.SZ,33,300919,21,金属钴;金属镍;小金属概念;盐湖提锂;钠离子电池;金属回收;磷化工;固态电池;动力电池回收;锂电池概念;宁德时代概念;2026一季报预增;特斯拉概念;回购增持再贷款概念;储能;新能源汽车;低空经济;西部大开发;机器人概念;深股通;融资融券
688338.SH,17,688338,3,医疗器械概念;专精特新;融资融券
002709.SZ,33,002709,15,钠离子电池;氟化工概念;固态电池;动力电池回收;锂电池概念;宁德时代概念;PEEK材料;有机硅概念;特斯拉概念;同花顺漂亮100;比亚迪概念;回购增持再贷款概念;2025年报预增;深股通;融资融券
600791.SH,17,600791,2,国企改革;京津冀一体化
301391.SZ,33,301391,11,机器视觉;芯片概念;华为昇腾;东数西算(算力);虚拟现实;MicroLED概念;人工智能;元宇宙;AI应用;深股通;融资融券
002440.SZ,33,002440,6,染料;氟化工概念;消毒剂;2025年报预增;深股通;融资融券
688802.SH,17,688802,9,科创次新股;注册制次新股;先进封装;芯片概念;东数西算(算力);信创;人工智能;新股与次新股;融资融券
603006.SH,17,603006,3,冷链物流;新能源汽车;特斯拉概念
688702.SH,17,688702,8,国家大基金持股;中国AI 50;5G;芯片概念;数据中心;网络安全;沪股通;融资融券
688381.SH,17,688381,24,AI手机;汽车芯片;AI眼镜;汽车电子;消费电子概念;芯片概念;智能座舱;小米概念;传感器;5G;共封装光学(CPO);小米汽车;专精特新;虚拟现实;比亚迪概念;人形机器人;安防;机器人概念;数据中心;海峡两岸;人民币贬值受益;回购增持再贷款概念;沪股通;融资融券
000593.SZ,33,000593,10,青蒿素;信托概念;天然气;股权转让(并购重组);西部大开发;碳中和;地下管网;氢能源;储能;融资融券
300092.SZ,33,300092,15,高端装备;核污染防治;光伏概念;军工;核电;商业航天;氢能源;中俄贸易概念;水利;可降解塑料;一带一路;硅能源;超超临界发电;西部大开发;天然气
300856.SZ,33,300856,3,人民币贬值受益;融资融券;深股通
002712.SZ,33,002712,23,短剧游戏;文化传媒概念;快手概念;小红书概念;知识产权保护;虚拟数字人;AIGC概念;网络游戏;IP经济(谷子经济);抖音概念(字节概念);网红经济;智谱AI;腾讯概念;百度概念;阿里巴巴概念;旅游概念;人工智能;AI应用;创投;华为概念;小米概念;国企改革;苹果概念
603829.SH,17,603829,3,智能电网;光伏概念;储能
300408.SZ,33,300408,11,共封装光学(CPO);光纤概念;消费电子概念;5G;燃料电池;小米概念;数据中心;华为概念;深股通;证金持股;融资融券
301630.SZ,33,301630,6,PCB概念;专精特新;注册制次新股;深股通;新股与次新股;融资融券
002921.SZ,33,002921,10,新能源汽车;减速器;农机;燃料电池;机器人概念;光热发电;人民币贬值受益;光伏概念;氢能源;乡村振兴
603906.SH,17,603906,18,钠离子电池;固态电池;动力电池回收;锂电池概念;宁德时代概念;磷化工;储能;液冷服务器;比亚迪概念;燃料电池;数据中心;新能源汽车;无人机;氢能源;数字经济;一带一路;融资融券;沪股通
688258.SH,17,688258,15,AI应用;AI智能体;云计算;华为鲲鹏;华为欧拉;信创;人工智能;华为概念;物联网;华为海思概念股;2025年报预增;芯片概念;回购增持再贷款概念;沪股通;融资融券
002556.SZ,33,002556,25,化肥;供销社;粮食概念;玉米;磷化工;土地流转;农村电商;农业种植;煤化工概念;染料;民爆概念;乡村振兴;维生素;建筑节能;装配式建筑;统一大市场;毛发医疗;生物质能发电;医美概念;创投;数字乡村;互联网金融;光伏概念;融资融券;深股通
603659.SH,17,603659,17,钠离子电池;石墨电极;固态电池;锂电池概念;宁德时代概念;PVDF概念;PET铜箔;储能;特斯拉概念;氢能源;新能源汽车;2025年报预增;消费电子概念;碳中和;芯片概念;沪股通;融资融券
603196.SH,17,603196,4,锂电池概念;虚拟数字人;三胎概念;股权转让(并购重组)
002497.SZ,33,002497,15,固态电池;锂电池概念;宁德时代概念;民爆概念;特斯拉概念;比亚迪概念;2025年报预增;西部大开发;雅下水电概念;军工;机器人概念;工业互联网;军民融合;深股通;融资融券
603868.SH,17,603868,4,短剧游戏;家用电器;沪股通;融资融券
000912.SZ,33,000912,8,化肥;煤化工概念;乡村振兴;西部大开发;国企改革;回购增持再贷款概念;深股通;融资融券
601636.SH,17,601636,6,硅能源;光伏概念;建筑节能;芯片概念;沪股通;融资融券
002652.SZ,33,002652,2,雄安新区;中芯国际概念
002460.SZ,33,002460,22,盐湖提锂;金属钴;小金属概念;动力电池回收;固态电池;锂电池概念;化肥;同花顺漂亮100;光伏概念;储能;特斯拉概念;燃料电池;新能源汽车;无线耳机;人形机器人;消费电子概念;长安汽车概念;无人机;充电桩;深股通;融资融券;低空经济
600429.SH,17,600429,5,乳业;三胎概念;国企改革;京津冀一体化;沪股通
002634.SZ,33,002634,3,互联网金融;TOPCON电池;光伏概念
002549.SZ,33,002549,11,俄乌冲突概念;光刻机;氢能源;碳中和;芯片概念;啤酒概念;眼科医疗;冷链物流;专精特新;融资融券;深股通
002738.SZ,33,002738,11,小金属概念;金属铜;稀土永磁;金属回收;动力电池回收;锂电池概念;2026一季报预增;特斯拉概念;一带一路;融资融券;深股通
600605.SH,17,600605,4,租售同权;物业管理;芯片概念;沪股通
300075.SZ,33,300075,40,智慧政务;区块链;鸿蒙概念;数据要素;AI智能体;华为鲲鹏;AIGC概念;信创;智谱AI;多模态AI;阿里巴巴概念;腾讯概念;元宇宙;数字经济;华为昇腾;DeepSeek概念;时空大数据;人工智能;智慧城市;ETC;数字孪生;车联网(车路协同);智能医疗;安防;虚拟现实;华为概念;京津冀一体化;AI应用;机器视觉;低空经济;无人驾驶;卫星导航;机器人概念;雄安新区;AI眼镜;人形机器人;垃圾分类;地下管网;深股通;融资融券
600566.SH,17,600566,18,高股息精选;医药电商;流感;仿制药一致性评价;肝炎概念;幽门螺杆菌概念;创新药;维生素;重组蛋白;农业种植;家庭医生;三胎概念;参股银行;旅游概念;创投;沪股通;融资融券;数字经济
920651.BJ,151,920651,8,智慧城市;地下管网;传感器;核电;融资融券;物联网;专精特新;人工智能
603399.SH,17,603399,7,小金属概念;固态电池;锂电池概念;股权转让(并购重组);专精特新;沪股通;融资融券
300654.SZ,33,300654,10,文化传媒概念;AIGC概念;AI语料;ChatGPT概念;在线教育;AI智能体;职业教育;人工智能;AI应用;三胎概念
688595.SH,17,688595,18,MCU芯片;汽车芯片;AI PC;AI眼镜;芯片概念;星闪概念;消费电子概念;小米概念;传感器;物联网;华为概念;无人机;鸿蒙概念;专精特新;机器人概念;锂电池概念;沪股通;融资融券
002799.SZ,33,002799,13,文化传媒概念;虚拟数字人;快手概念;抖音概念(字节概念);数字经济;腾讯概念;百度概念;区块链;ChatGPT概念;阿里巴巴概念;智能物流;西部大开发;国企改革
002919.SZ,33,002919,5,虚拟现实;网络游戏;手机游戏;元宇宙;抖音概念(字节概念)
002947.SZ,33,002947,16,苹果概念;柔性屏(折叠屏);无线耳机;消费电子概念;AI PC;智能穿戴;5G;虚拟现实;比亚迪概念;新能源汽车;数据中心;东数西算(算力);储能;人民币贬值受益;深股通;融资融券
001203.SZ,33,001203,17,固态电池;小金属概念;锂电池概念;金属铅;金属锌;金属回收;储能;绿色电力;西部大开发;回购增持再贷款概念;参股银行;乡村振兴;创投;旅游概念;职业教育;融资融券;深股通
688820.SH,17,688820,7,存储芯片;先进封装;芯片概念;注册制次新股;科创次新股;新股与次新股;融资融券
300082.SZ,33,300082,12,钠离子电池;固态电池;锂电池概念;宁德时代概念;污水处理;碳中和;储能;新能源汽车;柔性屏(折叠屏);一带一路;深股通;融资融券
301371.SZ,33,301371,10,网红经济;医美概念;合成生物;医疗器械概念;医药电商;重组蛋白;黑龙江自贸区;NMN概念;深股通;融资融券
300599.SZ,33,300599,4,石墨烯;粤港澳大湾区;水利;地下管网
600694.SH,17,600694,5,免税店;证金持股;高股息精选;沪股通;融资融券
002382.SZ,33,002382,10,医药电商;三胎概念;医疗器械概念;绿色电力;跨境电商;一带一路;人民币贬值受益;深股通;特斯拉概念;融资融券
