market_code,股票代码,code,所属概念,所属概念数量
33,300951.SZ,300951,苹果概念;富士康概念;汽车电子;消费电子概念;智能穿戴;智能座舱;虚拟现实;专精特新;新能源汽车;新型烟草(电子烟);低空经济;锂电池概念;深股通;融资融券,14
17,688758.SH,688758,专精特新;重组蛋白;沪股通;融资融券,4
17,688222.SH,688222,CRO概念;减肥药;重组蛋白;创新药;智能医疗;人民币贬值受益;AI应用;腾讯概念;人工智能;AI智能体;西部大开发;沪股通;融资融券,13
17,688498.SH,688498,共封装光学(CPO);光纤概念;汽车芯片;芯片概念;5G;数据中心(AIDC);西部大开发;2026中报预增;沪股通;融资融券,10
17,688699.SH,688699,先进封装;芯片概念;MiniLED;专精特新;沪股通;融资融券,6
17,688519.SH,688519,PCB概念;存储芯片;共封装光学(CPO);MiniLED;5G;新能源汽车;专精特新;华为概念;2026中报预增;沪股通;融资融券,11
17,688571.SH,688571,光刻胶;专精特新;PCB概念;稀土永磁;国企改革;融资融券,6
17,688137.SH,688137,重组蛋白;CRO概念;细胞免疫治疗;流感;合成生物;专精特新;融资融券,7
33,301169.SZ,301169,苹果概念;华为概念;华为昇腾;阿里巴巴概念;云计算;腾讯概念;信创;数据安全;元宇宙;时空大数据;云办公;AI智能体;数字孪生;智慧政务;人工智能;AIGC概念;鸿蒙概念;智慧城市;数据要素;数据确权;烟草;DeepSeek概念;蚂蚁集团概念;数字经济;数字乡村;财税数字化;互联网金融;一带一路;跨境电商;跨境支付(CIPS);融资融券,31
17,688046.SH,688046,专精特新;DeepSeek概念;沪股通;融资融券,4
33,300502.SZ,300502,共封装光学(CPO);芯片概念;5G;中国AI 50;数据中心(AIDC);深股通;人民币贬值受益;西部大开发;2026中报预增;融资融券,10
17,688167.SH,688167,光纤概念;共封装光学(CPO);光刻机;存储芯片;先进封装;OLED;MicroLED概念;芯片概念;消费电子概念;可控核聚变;3D打印;MR(混合现实);智能座舱;无人驾驶;机器视觉;虚拟现实;医美概念;西部大开发;沪股通;融资融券,20
33,301018.SZ,301018,富士康概念;液冷服务器;5G;数据中心(AIDC);高压快充;东数西算(算力);可控核聚变;宁德时代概念;特高压;柔性直流输电;华为概念;成飞概念;新能源汽车;军工;锂电池概念;储能;抖音概念(字节概念);腾讯概念;空气能热泵;阿里巴巴概念;百度概念;核电;海工装备;DeepSeek概念;风电;抽水蓄能;碳中和;深股通;融资融券,29
33,300363.SZ,300363,CRO概念;减肥药;细胞免疫治疗;创新药;流感;西部大开发;人民币贬值受益;新型烟草(电子烟);融资融券;深股通,10
33,301319.SZ,301319,先进封装;富士康概念;芯片概念;比亚迪概念;新能源汽车;专精特新;光伏概念;华为概念;低空经济;粤港澳大湾区;深股通;融资融券,12
33,301209.SZ,301209,光刻胶;专精特新;染料;光刻机;深股通;融资融券,6
22,688646.SH,688646,固态电池;锂电池概念;芯片概念;比亚迪概念;宁德时代概念;钠离子电池;专精特新;钙钛矿电池;储能;机器视觉;新能源汽车;长安汽车概念;动力电池回收;机器人概念;人形机器人;超级电容;新型工业化;一带一路;智能物流;装配式建筑;ST板块,21
33,300814.SZ,300814,共封装光学(CPO);铜缆高速连接;先进封装;PCB概念;MiniLED;5G;汽车电子;毫米波雷达;华为数字能源;数据中心(AIDC);新能源汽车;华为概念;华为汽车;一带一路;深股通;融资融券,16
17,688202.SH,688202,CRO概念;减肥药;创新药;合成生物;智能医疗;人工智能;AI应用;沪股通;融资融券,9
33,300308.SZ,300308,共封装光学(CPO);F5G概念;芯片概念;5G;液冷服务器;汽车电子;中国AI 50;数据中心(AIDC);同花顺新质50;无人驾驶;深股通;人民币贬值受益;创投;融资融券,14
33,300548.SZ,300548,光纤概念;共封装光学(CPO);F5G概念;铜缆高速连接;5G;芯片概念;数据中心(AIDC);专精特新;机器视觉;华为概念;机器人概念;长三角一体化;抖音概念(字节概念);2026中报预增;融资融券;深股通,16
17,688593.SH,688593,电子纸;AI眼镜;MicroLED概念;OLED;智能穿戴;芯片概念;沪股通;融资融券,8
33,300131.SZ,300131,第三代半导体;存储芯片;共封装光学(CPO);汽车芯片;OLED;芯片概念;AI眼镜;汽车电子;传感器;小米概念;数据中心(AIDC);新能源汽车;智能座舱;无人驾驶;智能家居;物联网;机器人概念;粤港澳大湾区;ERP概念;长安汽车概念;车联网(车路协同);阿里巴巴概念;腾讯概念;智慧城市;深股通;融资融券,26
33,300570.SZ,300570,共封装光学(CPO);光纤概念;F5G概念;铜缆高速连接;芯片概念;5G;传感器;数据中心(AIDC);人民币贬值受益;融资融券;深股通,11
33,301321.SZ,301321,MiniLED;消费电子概念;OLED;MicroLED概念;汽车电子;华为概念;虚拟现实;融资融券,8
33,301183.SZ,301183,共封装光学(CPO);F5G概念;华为手机;6G概念;消费电子概念;汽车电子;专精特新;小米概念;无人驾驶;虚拟现实;华为概念;2026中报预增;深股通;融资融券,14
17,688512.SH,688512,国家大基金持股;芯片概念;5G;专精特新;物联网;人民币贬值受益;沪股通;融资融券,8
17,688048.SH,688048,共封装光学(CPO);光纤概念;第三代半导体;汽车芯片;芯片概念;数据中心(AIDC);可控核聚变;商业航天;专精特新;无人驾驶;华为概念;医美概念;沪股通;融资融券,14
17,688025.SH,688025,共封装光学(CPO);PCB概念;光纤概念;苹果概念;芯片概念;MR(混合现实);3D打印;钙钛矿电池;机器视觉;比亚迪概念;专精特新;TOPCON电池;虚拟现实;宁德时代概念;固态电池;光伏概念;华为概念;沪股通;融资融券,19
17,688652.SH,688652,中芯国际概念;存储芯片;芯片概念;专精特新;高端装备;京津冀一体化;国企改革;沪股通;融资融券,9
17,688521.SH,688521,国家大基金持股;汽车芯片;先进封装;MCU芯片;AI手机;芯片概念;AI眼镜;智能音箱;东数西算(算力);上海自贸区;虚拟现实;物联网;无人驾驶;数字货币;阿里巴巴概念;腾讯概念;人工智能;沪股通;融资融券,19
17,688603.SH,688603,PCB概念;先进封装;芯片概念;2026中报预增;玻璃基板;沪股通;融资融券,7
17,688293.SH,688293,CRO概念;重组蛋白;2026中报预增;沪股通;股权转让(并购重组);融资融券,6
33,300487.SZ,300487,盐湖提锂;金属钴;金属镍;小金属概念;锂电池概念;金属回收;比亚迪概念;芯片概念;专精特新;净水概念;固废处理;减肥药;存储芯片;工业大麻;核污染防治;西部大开发;生物疫苗;碳中和;碳交易;核电;融资融券;深股通,22
17,688508.SH,688508,国家大基金持股;中芯国际概念;汽车芯片;第三代半导体;芯片概念;数据中心(AIDC);高压快充;专精特新;智能电网;充电桩;无人机;人工智能;机器人概念;DeepSeek概念;人形机器人;新能源汽车;沪股通;融资融券,18
17,688020.SH,688020,PET铜箔;PCB概念;先进封装;华为手机;消费电子概念;稀土永磁;5G;小米概念;专精特新;华为概念;沪股通;融资融券,12
33,300943.SZ,300943,芯片概念;传感器;卫星导航;商业航天;汽车热管理;无人机;军工;新能源汽车;核电;智慧城市;军民融合;燃料电池;氢能源;天然气;深股通;股权转让(并购重组);融资融券,17
33,301392.SZ,301392,第三代半导体;PET铜箔;富士康概念;芯片概念;苹果概念;钙钛矿电池;TOPCON电池;专精特新;光伏概念;比亚迪概念;锂电池概念;玻璃基板;融资融券;深股通,14
17,688418.SH,688418,卫星导航;6G概念;商业航天;WiFi 6;无人机;军工;F5G概念;5G;低空经济;量子科技;飞行汽车(eVTOL);网络安全;数据中心(AIDC);物联网;华为概念;智慧灯杆;车联网(车路协同);光纤概念;无人驾驶;机器人概念;智慧政务;智慧城市;华为数字能源;人工智能;AI智能体;储能;工业互联网;DeepSeek概念;一带一路;养老概念;东数西算(算力);沪股通;融资融券,33
33,301377.SZ,301377,PCB概念;工业母机;机器视觉;高端装备;机器人概念;粤港澳大湾区;2026中报预增;深股通;融资融券,9
33,301092.SZ,301092,净水概念;盐湖提锂;核污染防治;减肥药;专精特新;污水处理;稀土永磁;核电;超超临界发电;芯片概念;深股通;融资融券,12
33,301248.SZ,301248,算力租赁;华为昇腾;东数西算(算力);云办公;智谱AI;云计算;数据确权;时空大数据;智慧灯杆;华为数字能源;网络安全;数据中心(AIDC);腾讯概念;华为鲲鹏;人脸识别;信创;阿里巴巴概念;财税数字化;智慧政务;5G;多模态AI;语音技术;液冷服务器;AI智能体;数据要素;华为概念;AIGC概念;物联网;数字孪生;智慧城市;安防;芯片概念;智能电网;AI应用;数字乡村;卫星导航;区块链;在线教育;DeepSeek概念;人工智能;粤港澳大湾区;数字经济;智能医疗;新型工业化;无人机;低空经济;机器人概念;智能物流;新型城镇化;深股通;融资融券,51
17,688630.SH,688630,PCB概念;光刻机;先进封装;OLED;光刻胶;芯片概念;BC电池;2026一季报预增;光伏概念;TOPCON电池;专精特新;高端装备;融资融券;沪股通,14
17,688158.SH,688158,算力租赁;华为昇腾;东数西算(算力);中国AI 50;云计算;智谱AI;数据安全;云游戏;数据中心(AIDC);信创;液冷服务器;智慧政务;财税数字化;AI智能体;数据要素;华为概念;数字乡村;智慧城市;DeepSeek概念;商业航天;数字经济;人工智能;低空经济;工业互联网;无人驾驶;脑机接口;专精特新;智能医疗;机器人概念;融资融券,30
33,300182.SZ,300182,AI视频;短剧游戏;快手概念;AI语料;虚拟数字人;NFT概念;ChatGPT概念;文化传媒概念;AIGC概念;在线教育;多模态AI;华为盘古;元宇宙;IP经济(谷子经济);抖音概念(字节概念);百度概念;AI应用;数据要素;腾讯概念;AI智能体;阿里巴巴概念;数字经济;华为昇腾;DeepSeek概念;人工智能;虚拟现实;军工信息化;华为概念;小米概念;深股通;融资融券,31
17,688531.SH,688531,共封装光学(CPO);PCB概念;芯片概念;液冷服务器;商业航天;宁德时代概念;比亚迪概念;专精特新;固态电池;锂电池概念;特斯拉概念;高端装备;储能;一体化压铸;食品安全;人工智能;2026中报预增;沪股通;融资融券,19
33,301123.SZ,301123,PCB概念;共封装光学(CPO);铜缆高速连接;液冷服务器;消费电子概念;汽车电子;新型烟草(电子烟);小米概念;比亚迪概念;宁德时代概念;新能源汽车;人形机器人;储能;锂电池概念;机器人概念;深股通;融资融券,17
17,688115.SH,688115,芯片概念;WiFi 6;苹果概念;机器视觉;新型工业化;军工;虚拟现实;华为概念;工业互联网;数字孪生;股权转让(并购重组);融资融券,12
33,300749.SZ,300749,人工智能;智能家居;海工装备;家用电器;商业航天,5
17,688031.SH,688031,MLOps概念;AI PC;数字水印;华为昇腾;华为鲲鹏;多模态AI;数据安全;AIGC概念;信创;英伟达概念;数据要素;AI应用;AI智能体;独角兽概念;东数西算(算力);华为概念;DeepSeek概念;人工智能;工业互联网;沪股通;融资融券,21
33,300054.SZ,300054,中芯国际概念;存储芯片;光刻胶;先进封装;OLED;第三代半导体;芯片概念;柔性屏(折叠屏);2026一季报预增;锂电池概念;深股通;2026中报预增;玻璃基板;融资融券,14
33,300229.SZ,300229,MLOps概念;AI语料;华为盘古;AI视频;多模态AI;ChatGPT概念;华为昇腾;华为鲲鹏;数据安全;智慧政务;AIGC概念;信创;Web3.0;腾讯概念;AI智能体;阿里巴巴概念;AI应用;数据要素;虚拟数字人;网络安全;电子身份证;元宇宙;数字货币;知识产权保护;蚂蚁集团概念;互联网金融;东数西算(算力);DeepSeek概念;数字经济;人工智能;华为概念;数据中心(AIDC);军工信息化;机器人概念;小米概念;军工;专精特新;军民融合;乡村振兴;深股通;融资融券,41
17,688003.SH,688003,英伟达概念;苹果概念;PCB概念;先进封装;第三代半导体;机器视觉;芯片概念;消费电子概念;新型工业化;高端装备;人形机器人;专精特新;无人驾驶;小米概念;新能源汽车;机器人概念;低空经济;车联网(车路协同);光伏概念;百度概念;人工智能;智能物流;DeepSeek概念;共封装光学(CPO);存储芯片;汽车热管理;沪股通;融资融券,28
33,300811.SZ,300811,共封装光学(CPO);存储芯片;芯片概念;英伟达概念;比亚迪概念;数据中心(AIDC);专精特新;新能源汽车;光伏概念;华为概念;东数西算(算力);充电桩;储能;融资融券;深股通,15
33,300725.SZ,300725,CRO概念;创新药;合成生物;智能医疗;人民币贬值受益;人工智能;AI应用;深股通;融资融券,9
17,688368.SH,688368,第三代半导体;汽车芯片;MCU芯片;芯片概念;无线充电;汽车电子;小米概念;英伟达概念;专精特新;数据中心(AIDC);机器人概念;股权转让(并购重组);沪股通;融资融券,14
17,688485.SH,688485,光纤概念;芯片概念;专精特新;京津冀一体化;融资融券,5
151,920125.BJ,920125,2026中报预增;专精特新;消费电子概念;PCB概念;芯片概念;新能源汽车;先进封装;储能;新股与次新股;融资融券,10
17,688300.SH,688300,先进封装;存储芯片;芯片概念;专精特新;新能源汽车;沪股通;融资融券,7
33,301217.SZ,301217,PET铜箔;PCB概念;固态电池;宁德时代概念;5G;锂电池概念;比亚迪概念;储能;国企改革;2026中报预增;深股通;融资融券,12
33,300602.SZ,300602,华为手机;共封装光学(CPO);华为海思概念股;富士康概念;苹果概念;AI PC;5G;液冷服务器;AI眼镜;小米概念;数据中心(AIDC);MR(混合现实);宁德时代概念;光伏概念;华为概念;比亚迪概念;虚拟现实;无人机;无人驾驶;新能源汽车;特斯拉概念;充电桩;石墨烯;锂电池概念;储能;人形机器人;粤港澳大湾区;机器人概念;工业互联网;汽车热管理;华为汽车;一体化压铸;长安汽车概念;家用电器;智能物流;一带一路;物业管理;融资融券;深股通,39
33,301200.SZ,301200,PCB概念;先进封装;工业母机;高端装备;2026中报预增;玻璃基板;深股通;融资融券,8
33,300990.SZ,300990,光刻机;液冷服务器;芯片概念;数据中心(AIDC);宁德时代概念;专精特新;新能源汽车;高端装备;储能;换电概念;氢能源;深股通;融资融券,13
17,688403.SH,688403,先进封装;存储芯片;OLED;芯片概念;汽车芯片;专精特新;人民币贬值受益;沪股通;融资融券,9
17,688690.SH,688690,减肥药;食品安全;专精特新;2026一季报预增;2026中报预增;融资融券;沪股通,7
17,688352.SH,688352,先进封装;MCU芯片;第三代半导体;OLED;芯片概念;国企改革;沪股通;融资融券,8
17,688548.SH,688548,存储芯片;芯片概念;氢能源;商业航天;专精特新;粤港澳大湾区;华为概念;国企改革;数字孪生;2026中报预增;沪股通;融资融券,12
151,920685.BJ,920685,股权转让(并购重组);合成生物;基因测序;融资融券;专精特新,5
33,300759.SZ,300759,CRO概念;创新药;智能医疗;人民币贬值受益;人工智能;融资融券;深股通,7
17,688312.SH,688312,PCB概念;苹果概念;芯片概念;5G;消费电子概念;传感器;机器视觉;专精特新;粤港澳大湾区;人工智能;共封装光学(CPO);沪股通;融资融券,13
17,688720.SH,688720,国家大基金持股;存储芯片;中芯国际概念;先进封装;光刻胶;OLED;PCB概念;芯片概念;专精特新;沪股通;融资融券,11
33,300083.SZ,300083,工业母机;新型工业化;人形机器人;一体化压铸;高端装备;比亚迪概念;机器人概念;飞行汽车(eVTOL);小米概念;新能源汽车;无线充电;消费电子概念;军工;智能穿戴;苹果概念;无人机;低空经济;工业互联网;粤港澳大湾区;华为概念;人工智能;液冷服务器;5G;创投;储能;深股通;融资融券,27
17,688401.SH,688401,先进封装;第三代半导体;OLED;PCB概念;MiniLED;芯片概念;消费电子概念;专精特新;光刻机;沪股通;融资融券,11
33,301611.SZ,301611,光刻机;存储芯片;第三代半导体;OLED;芯片概念;专精特新;锂电池概念;燃料电池;医疗器械概念;深股通;融资融券,11
17,688150.SH,688150,PCB概念;OLED;柔性屏(折叠屏);钙钛矿电池;专精特新;西部大开发;沪股通;融资融券,8
33,002501.SZ,002501,ST板块;军工;光伏概念;新能源汽车;股权转让(并购重组),5
33,300776.SZ,300776,MicroLED概念;第三代半导体;BC电池;先进封装;MiniLED;OLED;钙钛矿电池;消费电子概念;HJT电池;PCB概念;芯片概念;TOPCON电池;光伏概念;玻璃基板;融资融券;深股通,16
17,688693.SH,688693,第三代半导体;汽车芯片;芯片概念;专精特新;无人机;新能源汽车;充电桩;智能电网;融资融券,9
33,301021.SZ,301021,第三代半导体;PCB概念;培育钻石;MicroLED概念;消费电子概念;芯片概念;先进封装;3D打印;光伏概念;钙钛矿电池;高端装备;TOPCON电池;BC电池;医疗器械概念;CRO概念;深股通;融资融券,17
17,688147.SH,688147,存储芯片;中芯国际概念;先进封装;汽车芯片;第三代半导体;OLED;芯片概念;BC电池;HJT电池;TOPCON电池;钙钛矿电池;专精特新;光伏概念;高端装备;沪股通;融资融券,16
33,300077.SZ,300077,汽车芯片;共封装光学(CPO);MCU芯片;芯片概念;EDR概念;无线耳机;汽车电子;消费电子概念;量子科技;光伏概念;网络安全;充电桩;数据安全;华为概念;3D打印;无人机;物联网;储能;车联网(车路协同);新能源汽车;人形机器人;宁德时代概念;机器人概念;智能家居;粤港澳大湾区;人脸识别;锂电池概念;工业互联网;AI智能体;移动支付;数字货币;区块链;知识产权保护;石墨电极;医疗器械概念;深股通;融资融券,37
33,002425.SZ,002425,手机游戏;网络游戏;IP经济(谷子经济);文化传媒概念;NFT概念;AIGC概念;元宇宙;AI应用;云游戏;人工智能;创投;快手概念;腾讯概念;阿里巴巴概念;抖音概念(字节概念);虚拟现实;华为概念;摘帽,18
33,301338.SZ,301338,共封装光学(CPO);华为手机;PCB概念;富士康概念;先进封装;MiniLED;第三代半导体;汽车芯片;苹果概念;消费电子概念;芯片概念;工业母机;小米概念;专精特新;华为概念;机器视觉;新型工业化;比亚迪概念;工业互联网;军工;高端装备;锂电池概念;玻璃基板;深股通;融资融券,25
33,002421.SZ,002421,数字孪生;华为鲲鹏;人脸识别;信创;云计算;鸿蒙概念;抖音概念(字节概念);物联网;AI智能体;小米概念;机器人概念;AI应用;工业互联网;智慧城市;华为概念;腾讯概念;液冷服务器;东数西算(算力);数字经济;人工智能;数据中心(AIDC);DeepSeek概念;建筑节能;粤港澳大湾区;宁德时代概念;雄安新区;碳中和;智能医疗;PPP概念;养老概念;深股通;融资融券,32
33,002793.SZ,002793,仿制药一致性评价;医药电商;流感;创新药;幽门螺杆菌概念;民营医院;医疗器械概念;股权转让(并购重组);2026中报预增;深股通,10
33,002303.SZ,002303,人造肉;工业大麻;一带一路;预制菜;绿色电力;区块链;军民融合;海峡两岸;高股息精选;深股通;融资融券,11
33,000820.SZ,000820,金属铜;固废处理;储能;光伏概念;摘帽,5
33,000595.SZ,000595,风电;储能;西部大开发;国企改革;绿色电力;军工;光伏概念;国产航母;摘帽;股权转让(并购重组),10
17,603567.SH,603567,流感;智能医疗;医药电商;仿制药一致性评价;黑龙江自贸区;创新药;沪股通;融资融券,8
33,300632.SZ,300632,先进封装;第三代半导体;共封装光学(CPO);PET铜箔;芯片概念;OLED;MiniLED;富士康概念;PCB概念;柔性屏(折叠屏);传感器;消费电子概念;AI眼镜;5G;智能穿戴;汽车电子;人形机器人;无线耳机;比亚迪概念;机器人概念;无人驾驶;脑机接口;充电桩;无人机;家用电器;储能;锂电池概念;固态电池;鸿蒙概念;海峡两岸;福建自贸区;人民币贬值受益;一带一路;养老概念;医美概念;消毒剂;深股通,37
33,002354.SZ,002354,AI视频;虚拟数字人;AI语料;Web3.0;小红书概念;在线教育;快手概念;手机游戏;短剧游戏;ChatGPT概念;文化传媒概念;AIGC概念;网络游戏;电子竞技;元宇宙;多模态AI;数据确权;数字孪生;AI应用;IP经济(谷子经济);云计算;数据要素;抖音概念(字节概念);AI智能体;百度概念;信创;腾讯概念;数字经济;DeepSeek概念;人工智能;算力租赁;跨境电商;智能医疗;虚拟现实;机器视觉;MR(混合现实);乡村振兴;人形机器人;机器人概念;东数西算(算力);虚拟电厂;芯片概念;深股通;融资融券,44
17,688689.SH,688689,先进封装;第三代半导体;芯片概念;汽车芯片;专精特新;传感器;汽车电子;5G;比亚迪概念;新能源汽车;无人驾驶;融资融券,12
17,600186.SH,600186,算力租赁;东数西算(算力);AI智能体;DeepSeek概念;智能医疗;土壤修复;粮食概念;超级品牌;融资融券;沪股通,10
17,603559.SH,603559,时空大数据;云计算;数据中心(AIDC);东数西算(算力);5G;摘帽,6
33,000609.SZ,000609,高铁;创投;互联网金融;芯片概念;ST板块;存储芯片;先进封装;股权转让(并购重组),8
