股票代码,code,涨停原因类别[20260420],market_code
603261.SH,603261,退市博弈+C919配套+航空装备,22
605299.SH,605299,足球概念+体育产业+健身器材+外销,17
603699.SH,603699,年报增长+核电阀门+氢能应用,17
600707.SH,600707,玻璃基板+ITC胜诉+国企改革,17
000711.SZ,000711,,33
600072.SH,600072,中船系+风电+氢氨醇,17
001270.SZ,001270,摘帽+T/R芯片+商业航天,33
600601.SH,600601,AI扩建+HDI+光模块+珠海国资,17
002428.SZ,002428,磷化铟扩产+光纤级锗+商业航天,33
603189.SH,603189,,17
603057.SH,603057,限制性股票激励+卤味龙头+一带一路,17
603332.SH,603332,年报增长+高分红+仿皮草纤维+涤纶长丝,17
601698.SH,601698,卫星互联网+商业航天+央企,17
001229.SZ,001229,商业航天+光纤KVMS+分布式视听,33
002492.SZ,002492,石化仓储+创投+横琴新区,33
000752.SZ,000752,ST重整+拟全资控股拉萨啤酒+业绩预增,33
000586.SZ,000586,光纤+特种光缆+车载电子+定增推进,33
002331.SZ,002331,智慧高速+智慧交通+AI运维+华为合作,33
603178.SH,603178,低空经济+机器人关节+新能源电驱,17
002885.SZ,002885,电源类产品+磁性元器件+数据中心+业绩预增,33
600184.SH,600184,光纤概念+人形机器人+军工装备+央企,17
002289.SZ,002289,IDC并购+算力租赁+液晶显示,33
002300.SZ,002300,海缆+数据中心+特高压,33
600696.SH,600696,退市博弈+酱香型白酒+ST板块,22
603773.SH,603773,玻璃基板+CPO+商业航天,17
603272.SH,603272,,17
000404.SZ,000404,一季报增长+压缩机龙头+国企,33
002935.SZ,002935,商业航天+原子钟+军工存储+央企,33
603813.SH,603813,退市风险博弈+氢能物流+电商物流,22
002898.SZ,002898,,33
002361.SZ,002361,商业航天+无人机+聚酯树脂+地方国资,33
600872.SH,600872,一季报增长+味滋美并购+大股东增持,17
002686.SZ,002686,数据中心冷却+控制权变更+浙江国资,33
002217.SZ,002217,算力租赁+电子纸+福建国资,33
002647.SZ,002647,AI算力+第三方支付+摘帽,33
002512.SZ,002512,商业航天+卫星通信+显示主板,33
600590.SH,600590,算力+军工电源+储能,17
605081.SH,605081,,22
600330.SH,600330,铌酸锂晶体+光模块+商业航天,17
603489.SH,603489,电踏车电机+欧洲去库+年报预增,17
603017.SH,603017,商业航天+低空经济+工程设计,17
002242.SZ,002242,小家电+机器人+太空科技,33
603398.SH,603398,,22
603268.SH,603268,摘帽复牌+船舶制造+VLCC订单,17
600193.SH,600193,,22
603130.SH,603130,革基布龙头+扩产+现金分红,17
000880.SZ,000880,数据中心+船机替代燃料+山东国资,33
002081.SZ,002081,半导体洁净室+建筑装饰+城市更新,33
605168.SH,605168,年报增长+算力租赁+AI营销,17
600103.SH,600103,光模块+林浆纸+福建国资,17
603843.SH,603843,算力租赁+重整预期+ST板块,22
603025.SH,603025,一季报增长+缝制电控龙头+机器人+北京国资,17
003018.SZ,003018,液冷收购+瓶盖龙头+饮料供应链,33
600734.SH,600734,,17
001896.SZ,001896,参股算力+火电+绿电储备+河南国资,33
002803.SZ,002803,AI营销+跨境社交电商+一带一路,33
002692.SZ,002692,电线电缆+参股半导体+超短期融资券发行+国企改革,33
603557.SH,603557,,22
600522.SH,600522,光纤+光模块+海缆+储能扩产,17
