code,涨停原因类别[20260429],股票代码,market_code
000567,困境资管+海南自贸区+业绩暴增,000567.SZ,33
600186,业绩高增+算力租赁+半导体材料,600186.SH,17
002210,固废处理+黄金供应链+一季度扭亏,002210.SZ,33
600730,AI教育+ST板块+国资背景,600730.SH,22
300245,,300245.SZ,33
002136,磷酸铁锂+钛白粉+国企改革,002136.SZ,33
002354,一季报大增+算力租赁+AI应用,002354.SZ,33
002079,业绩大增+光伏银浆+半导体封测,002079.SZ,33
002111,低空经济+无人机+空港装备+业绩高增,002111.SZ,33
600421,,600421.SH,22
600599,,600599.SH,22
603378,,603378.SH,17
002867,业绩增长+高股息+黄金珠宝,002867.SZ,33
688121,,688121.SH,17
600759,,600759.SH,22
000692,一季度扭亏+风电项目+供热龙头,000692.SZ,33
605299,足球概念+外销扩张+健身器材,605299.SH,17
000657,钨价上涨+PCB微钻+一季报大增+央企,000657.SZ,33
000820,申请撤销退市风险警示+储能+冶金设计,000820.SZ,33
002693,,002693.SZ,33
001396,地下管网+专精特新+一季报扭亏,001396.SZ,33
001270,,001270.SZ,33
603317,一季报高增+火锅调料+员工持股,603317.SH,17
603095,AI验布机+高端装备+纺织机械,603095.SH,17
001203,锂矿放量+铁矿龙头+固态电池材料,001203.SZ,33
605158,热镀锌板+南通项目+彩色涂层板,605158.SH,17
002655,增持+车载声学+股权激励,002655.SZ,33
002956,一季报高增+药食同源新品+全渠道扩张,002956.SZ,33
002192,一季报大增+锂矿+负极材料,002192.SZ,33
600338,业绩高增+碳酸锂+盐湖提锂+资产聚焦,600338.SH,17
000752,,000752.SZ,33
300438,固态电池+587Ah扩产+储能满产+业绩高增,300438.SZ,33
002847,一季报增长+魔芋零食+渠道优化,002847.SZ,33
600965,,600965.SH,17
002832,一季报增长+高分红+服装纺织,002832.SZ,33
600111,稀土永磁+人形机器人+国企改革,600111.SH,17
002289,一季报增长+IDC并购完成+算力租赁+盛合晶微上市,002289.SZ,33
600696,,600696.SH,22
603933,业绩大增+IC分销+人形机器人+拟收购博泰智能,603933.SH,17
603773,玻璃基板+CPO+MicroLED+商业航天,603773.SH,17
300029,,300029.SZ,33
002652,中芯国际概念+半导体洁净室+有机涂层板,002652.SZ,33
603272,*ST+墙布+外部流通盘相对较小,603272.SH,22
301217,一季报大增+PCB铜箔+锂电池铜箔+安徽国资,301217.SZ,33
688201,,688201.SH,22
000551,一季报增长+商业航天+洁净环保+苏州国资,000551.SZ,33
002898,,002898.SZ,33
002548,机器人+生猪养殖+饲料,002548.SZ,33
688280,,688280.SH,17
600423,双氧水扩产+电子级双氧水+柳州国资,600423.SH,22
603353,拟控股奎芯+芯片IP+成品油+一季报增长,603353.SH,17
603215,,603215.SH,17
002497,固态电池+硫化锂+锂盐产能,002497.SZ,33
000973,一季报大增+锂电隔膜+广东国资,000973.SZ,33
603937,电池铝箔+扭亏为盈+锂电池概念,603937.SH,17
002512,一季报扭亏+卫星通信+商业航天,002512.SZ,33
002779,,002779.SZ,33
605081,,605081.SH,22
603282,,603282.SH,17
002808,,002808.SZ,33
603489,电踏车电机+力矩传感器+业绩大增+锂电池,603489.SH,17
002969,一季报增长+追觅入主+要约收购+三片罐龙头,002969.SZ,33
002842,一季报大增+钨价上涨+光伏钨丝+硬质合金,002842.SZ,33
002709,一季报大增+固态电池+电解液龙头,002709.SZ,33
601233,一季度净利大增+涤纶长丝龙头+全产业链,601233.SH,17
603017,商业航天+工程设计+低空经济,603017.SH,17
002378,一季报大增+钨价上涨+钨精矿,002378.SZ,33
920125,先进封装+果链+北交所次新股,920125.BJ,151
002851,一季报增长+英伟达AI电源+数据中心电源+储能,002851.SZ,33
000039,模块化数据中心+商业航天+氢能,000039.SZ,33
600881,创新药+亏损缩窄+拟出售东北证券股权,600881.SH,17
002081,半导体洁净室+海外EPC+城市更新,002081.SZ,33
603008,,603008.SH,22
002627,省际游轮首航+两坝一峡+宜昌国资,002627.SZ,33
605168,算力租赁+英伟达合作+AI营销,605168.SH,17
603738,625MHz晶振+光模块+人形机器人,603738.SH,17
603843,算力租赁+重整预期+ST板块,603843.SH,22
002514,,002514.SZ,33
603959,,603959.SH,22
000903,,000903.SZ,33
000056,,000056.SZ,33
600289,算力转型+ST保壳+GPU定制,600289.SH,22
002199,业绩改善+申请撤销退市风险警示+碳酸锂+石英晶体,002199.SZ,33
000716,一季报高增+广西国资入主+黑色健康食品,000716.SZ,33
002174,AI应用+全球化卡牌+业绩反转,002174.SZ,33
002520,扭亏为盈+人形机器人+高端机床,002520.SZ,33
001336,一季报高增+废气治理+半导体,001336.SZ,33
000402,一季度扭亏+减债+北京国资,000402.SZ,33
