股票代码,code,market_code,所属概念,所属概念数量
688548.SH,688548,17,芯片概念;氢能源;专精特新;商业航天;华为概念;数字孪生;粤港澳大湾区;国企改革;沪股通;融资融券,10
688106.SH,688106,17,俄乌冲突概念;天然气;固态电池;氢能源;中芯国际概念;碳中和;锂电池概念;光伏概念;存储芯片;第三代半导体;可控核聚变;燃料电池;回购增持再贷款概念;冷链物流;商业航天;核电;长三角一体化;芯片概念;专精特新;新疆振兴;沪股通;融资融券,22
688368.SH,688368,17,汽车芯片;MCU芯片;芯片概念;英伟达概念;汽车电子;小米概念;无线充电;专精特新;机器人概念;股权转让(并购重组);沪股通;融资融券,12
301055.SZ,301055,33,2025年报预增;露营经济;AI智能体;物联网;DeepSeek概念;家用电器;跨境电商;NFT概念;IP经济(谷子经济);超级品牌;融资融券,11
301458.SZ,301458,33,富士康概念;英伟达概念;消费电子概念;智能穿戴;传感器;小米概念;无人机;华为概念;机器人概念;海峡两岸;新能源汽车;高压快充;粤港澳大湾区;家用电器;深股通;融资融券,16
688707.SH,688707,17,钠离子电池;固态电池;动力电池回收;锂电池概念;宁德时代概念;碳中和;低空经济;西部大开发;国企改革;央企国企改革;融资融券;沪股通,12
300081.SZ,300081,33,网络游戏;在线教育;Web3.0;数字水印;数据确权;区块链;智慧政务;IP经济(谷子经济);三胎概念;ChatGPT概念;数据安全;数字乡村;虚拟数字人;AIGC概念;AI智能体;数字经济;短剧游戏;文化传媒概念;空间计算;元宇宙;人工智能;京津冀一体化;量子科技;算力租赁;乡村振兴;ST板块;虚拟现实;东数西算(算力);海峡两岸;华为概念;MR(混合现实);机器人概念;AI应用,33
000980.SZ,000980,33,百度概念;中俄贸易概念;一带一路;新能源汽车;深股通;融资融券,6
000802.SZ,000802,33,文化传媒概念;IP经济(谷子经济);旅游概念,3
600308.SH,600308,17,环氧丙烷;一带一路;生物质能发电;绿色电力;智能物流;光伏概念;工业互联网;数字经济;数字孪生;DeepSeek概念;新型工业化;数据要素;AI应用;元宇宙;AI语料;沪股通;融资融券,17
000056.SZ,000056,33,租售同权;物业管理;智能物流;物联网;固态电池;芯片概念;融资融券,7
002081.SZ,002081,33,装配式建筑;新型城镇化;PPP概念;光伏建筑一体化;一带一路;长三角一体化;智能家居;人工智能;芯片概念;第三代半导体;深股通;融资融券,12
002752.SZ,002752,33,海峡两岸;福建自贸区;IP经济(谷子经济);新能源汽车;储能;抖音概念(字节概念);深股通,7
002201.SZ,002201,33,高铁;商业航天;风电;创投;2025年报预增;比亚迪概念;深股通;融资融券,8
603788.SH,603788,17,医疗器械概念;小米汽车;新能源汽车;比亚迪概念;特斯拉概念;高股息精选;小米概念,7
600032.SH,600032,17,绿色电力;抽水蓄能;风电;氢能源;储能;国企改革;沪股通;融资融券,8
002950.SZ,002950,33,三胎概念;医美概念;医疗器械概念;医药电商;人民币贬值受益;回购增持再贷款概念;深股通,7
603178.SH,603178,17,减速器;长安汽车概念;华为汽车;飞行汽车(eVTOL);汽车热管理;新能源汽车;机器人概念;比亚迪概念;无人驾驶;低空经济;共同富裕示范区;数字经济;融资融券;沪股通,14
000690.SZ,000690,33,超超临界发电;绿色电力;风电;参股券商;创投;深股通;融资融券;高股息精选,8
003027.SZ,003027,33,钠离子电池;碳中和;储能;2025年报预增,4
600736.SH,600736,17,大飞机;建筑节能;商业航天;水利;军工;航空发动机;新型城镇化;低空经济;创投;卫星导航;军民融合;医疗器械概念;工业母机;地下管网;污水处理;风电;华为概念;固废处理;净水概念;储能;乡村振兴;国企改革;特色小镇;芯片概念;参股银行;旅游概念;虚拟电厂;绿色电力;冰雪产业;华为数字能源;证金持股;沪股通;融资融券,33
002342.SZ,002342,33,商业航天;军工;海工装备;京津冀一体化;水利;核电;雄安新区;高端装备;一带一路;光伏概念;风电;抽水蓄能;白酒概念;深股通;融资融券,15
603898.SH,603898,17,IP经济(谷子经济);智能家居,2
600396.SH,600396,17,超超临界发电;碳交易;绿色电力;碳中和;风电;国企改革;氢能源;央企国企改革;海工装备,9
600678.SH,600678,17,商业航天;工业互联网;无人驾驶;机器人概念;区块链;DeepSeek概念;人形机器人;新能源汽车;国企改革;西部大开发;氢能源;充电桩,12
603115.SH,603115,17,汽车电子;专精特新;储能;高股息精选,4
002565.SZ,002565,33,卫星导航;商业航天;东数西算(算力);土壤修复;工业大麻;一带一路;新型烟草(电子烟);生态农业;回购增持再贷款概念;跨境电商;深股通;融资融券,12
002853.SZ,002853,33,C2M概念;网红经济;智能家居;粤港澳大湾区;物联网;股权转让(并购重组),6
600261.SH,600261,17,高股息精选;智能家居;人民币贬值受益;氢能源;证金持股;融资融券,6
603335.SH,603335,17,一体化压铸;人民币贬值受益;动力电池回收;新能源汽车;锂电池概念;宁德时代概念;融资融券,7
600961.SH,600961,17,金属锌;金属铅;黄金概念;金属铜;小金属概念;金属回收;央企国企改革;国企改革;融资融券;沪股通,10
600699.SH,600699,17,人形机器人;汽车热管理;特斯拉概念;华为汽车;智能座舱;汽车电子;比亚迪概念;新能源汽车;无线充电;EDR概念;长安汽车概念;传感器;无人驾驶;芯片概念;汽车芯片;机器人概念;小米概念;共封装光学(CPO);高压快充;5G;英伟达概念;充电桩;车联网(车路协同);储能;人民币贬值受益;华为概念;回购增持再贷款概念;创投;数字经济;DeepSeek概念;鸿蒙概念;阿里巴巴概念;AI应用;AI智能体;沪股通;融资融券,36
605298.SH,605298,17,高铁;专精特新;沪股通,3
000715.SZ,000715,33,乡村振兴;IP经济(谷子经济),2
603016.SH,603016,17,特高压;国企改革,2
001268.SZ,001268,33,成飞概念;粤港澳大湾区,2
002952.SZ,002952,33,电子纸;柔性屏(折叠屏);汽车电子;虚拟现实;智能穿戴;消费电子概念;智能家居;家用电器;数字货币;充电桩;新能源汽车;数字经济;人民币贬值受益,13
603738.SH,603738,17,共封装光学(CPO);6G概念;光刻机;华为海思概念股;WiFi 6;卫星导航;5G;军工;芯片概念;数据中心;无人机;汽车芯片;AI眼镜;智能穿戴;消费电子概念;汽车电子;MCU芯片;华为概念;宁德时代概念;专精特新;智能座舱;比亚迪概念;无人驾驶;人形机器人;机器人概念;创投;融资融券;沪股通,28
002846.SZ,002846,33,固态电池;锂电池概念;中俄贸易概念;宠物经济;PET铜箔;新能源汽车;专精特新;深股通,8
002338.SZ,002338,33,商业航天;军民融合;军工;低空经济;同花顺新质50;芯片概念;碳纤维;机器视觉;工业母机;传感器;机器人概念;专精特新;医疗器械概念;国企改革;证金持股;深股通;融资融券,17
603017.SH,603017,17,商业航天;空间计算;低空经济;多模态AI;智慧城市;数字孪生;元宇宙;虚拟现实;独角兽概念;新型工业化;DeepSeek概念;数据中心;建筑节能;新型城镇化;装配式建筑;长三角一体化;一带一路;光伏建筑一体化;雄安新区,19
003018.SZ,003018,33,液冷服务器,1
600520.SH,600520,17,先进封装;芯片概念;机器人概念;股权转让(并购重组);国企改革;沪股通,6
002361.SZ,002361,33,卫星导航;商业航天;军民融合;航空发动机;军工;低空经济;无人机;高铁;3D打印;高端装备;国企改革;石墨烯;污水处理;深股通;股权转让(并购重组);融资融券,16
605365.SH,605365,17,人民币贬值受益;家用电器;跨境电商;智能物流;一带一路;福建自贸区;海峡两岸;传感器;新型工业化;智能家居;机器人概念;安防;物联网;毫米波雷达;华为概念;人工智能;鸿蒙概念;沪股通,18
000539.SZ,000539,33,超超临界发电;绿色电力;风电;储能;国资云;参股保险;东数西算(算力);国企改革;光伏概念;粤港澳大湾区;期货概念;创投;海工装备;深股通;融资融券,15
000819.SZ,000819,33,POE胶膜;消毒剂;国企改革;央企国企改革;深股通;融资融券,6
002982.SZ,002982,33,养鸡;猪肉;预制菜;乡村振兴;冷链物流,5
603815.SH,603815,17,新型城镇化;水利;地下管网;PPP概念;乡村振兴;一带一路;沪股通,7
600103.SH,600103,17,5G;海峡两岸;数据中心;共封装光学(CPO);创投;一带一路;碳中和;乡村振兴;国企改革;沪股通,10
600979.SH,600979,17,碳交易;天然气;绿色电力;新疆振兴;碳中和;光伏建筑一体化;风电;充电桩;污水处理;地下管网;储能;国企改革;乡村振兴;参股银行;西部大开发;智慧城市;光伏概念;创投;液冷服务器;新能源汽车;沪股通;融资融券,22
600715.SH,600715,17,文化传媒概念;短剧游戏;手机游戏;网络游戏;NFT概念;虚拟现实;AI应用;国企改革;沪股通;摘帽;股权转让(并购重组),11
603030.SH,603030,17,建筑节能;装配式建筑;新型城镇化;养老概念;跨境电商;一带一路;长三角一体化;智能家居;人工智能;物联网,10
300758.SZ,300758,33,染料;光刻胶;AI应用;钙钛矿电池;钠离子电池;光伏概念;芯片概念;专精特新;深股通,9
300916.SZ,300916,33,比亚迪概念;新能源汽车;汽车电子;新型烟草(电子烟);储能;机器人概念;充电桩;消费电子概念;无线耳机;家用电器;粤港澳大湾区;智能家居;物联网;露营经济;医疗器械概念;净水概念;深股通;融资融券,18
300131.SZ,300131,33,第三代半导体;存储芯片;OLED;共封装光学(CPO);汽车芯片;AI眼镜;芯片概念;小米概念;智能座舱;汽车电子;传感器;新能源汽车;数据中心;无人驾驶;长安汽车概念;ERP概念;机器人概念;智能家居;物联网;粤港澳大湾区;车联网(车路协同);腾讯概念;阿里巴巴概念;智慧城市;深股通;融资融券,26
301099.SZ,301099,33,存储芯片;汽车芯片;MCU芯片;AI眼镜;汽车电子;消费电子概念;智能座舱;芯片概念;语音技术;传感器;脑机接口;无人驾驶;比亚迪概念;人形机器人;百度概念;车联网(车路协同);机器人概念;长安汽车概念;新能源汽车;人工智能;光伏概念;储能;回购增持再贷款概念;深股通;股权转让(并购重组);融资融券,26
688150.SH,688150,17,PCB概念;OLED;柔性屏(折叠屏);专精特新;钙钛矿电池;西部大开发;沪股通;融资融券,8
000552.SZ,000552,33,煤炭概念;煤化工概念;天然气;页岩气;化肥;超超临界发电;国企改革;西部大开发;深股通;融资融券,10
688811.SH,688811,17,科创次新股;注册制次新股;核电;智能电网;卫星导航;商业航天;军工;央企国企改革;国企改革;新股与次新股;融资融券,11
300342.SZ,300342,33,太赫兹;军工信息化;卫星导航;商业航天;6G概念;军民融合;军工;无人机;低空经济;华为概念;无人驾驶;家用电器;国企改革;深股通;融资融券,15
300093.SZ,300093,33,钙钛矿电池;HJT电池;算力租赁;ST板块;建筑节能;西部大开发;光伏概念;光伏建筑一体化,8
688313.SH,688313,17,共封装光学(CPO);F5G概念;光纤概念;5G;芯片概念;数据中心;2025年报预增;专精特新;沪股通;融资融券,10
300788.SZ,300788,33,知识产权保护;AIGC概念;抖音概念(字节概念);AI智能体;百度概念;文化传媒概念;元宇宙;数据要素;IP经济(谷子经济);职业教育;DeepSeek概念;人工智能;AI应用;三胎概念;国企改革;深股通;中字头股票,17
603778.SH,603778,17,硅能源;TOPCON电池;钙钛矿电池;HJT电池;PPP概念;新型城镇化;光伏概念;虚拟电厂;固态电池;储能,10
300137.SZ,300137,33,核污染防治;PM2.5;水利;机器人概念;碳中和;污水处理;碳交易;雄安新区;京津冀一体化;区块链;乡村振兴;摘帽,12
300461.SZ,300461,33,新型烟草(电子烟);长三角一体化;无线充电;苹果概念;新型工业化;比亚迪概念;无线耳机;消费电子概念;汽车电子,9
300453.SZ,300453,33,医疗器械概念;工业互联网,2
603286.SH,603286,17,人形机器人;长安汽车概念;传感器;智能座舱;机器人概念;智能家居;新型工业化;无人驾驶;比亚迪概念;新能源汽车;专精特新;汽车电子;工业互联网;PM2.5;芯片概念,15
000683.SZ,000683,33,煤化工概念;化肥;碳中和;西部大开发;深股通;高股息精选;融资融券,7
301295.SZ,301295,33,专精特新;智能家居;智能电网;小米概念;光伏概念;新能源汽车;汽车电子;融资融券,8
000767.SZ,000767,33,超超临界发电;绿色电力;碳交易;风电;碳中和;国企改革;2025年报预增;深股通;融资融券,9
002384.SZ,002384,33,共封装光学(CPO);同花顺果指数;PCB概念;2026一季报预增;苹果概念;5G;消费电子概念;数据中心;MiniLED;芯片概念;高压快充;小米概念;新能源汽车;特斯拉概念;华为概念;人形机器人;机器人概念;深股通;人民币贬值受益;长三角一体化;融资融券,21
688379.SH,688379,17,共封装光学(CPO);液冷服务器;芯片概念;商业航天;无人机;新能源汽车;人形机器人;2025年报预增;核电;低空经济;机器人概念;高铁;光伏概念;锂电池概念;风电;共同富裕示范区;绿色电力;融资融券,18
920181.BJ,920181,151,芯片概念;专精特新;新股与次新股;融资融券,4
301198.SZ,301198,33,跨境电商;华为概念;智能物流;比亚迪概念;特斯拉概念;融资融券,6
002992.SZ,002992,33,AI眼镜;消费电子概念;智能穿戴;小米概念;智能座舱;MiniLED;比亚迪概念;虚拟现实;无人机;新能源汽车;PET铜箔;华为概念;固态电池;锂电池概念;深股通,15
000890.SZ,000890,33,净水概念;光纤概念;污水处理;独角兽概念;储能,5
688035.SH,688035,17,国家大基金持股;先进封装;液冷服务器;存储芯片;PCB概念;苹果概念;芯片概念;数据中心;消费电子概念;无线耳机;柔性屏(折叠屏);小米概念;MR(混合现实);智能穿戴;专精特新;宁德时代概念;有机硅概念;新能源汽车;人形机器人;华为概念;高端装备;固态电池;石墨烯;光伏概念;锂电池概念;机器人概念;储能;高铁;回购增持再贷款概念;HJT电池;TOPCON电池;沪股通;融资融券,33
000049.SZ,000049,33,钠离子电池;固态电池;锂电池概念;储能;粤港澳大湾区;比亚迪概念;新能源汽车;人民币贬值受益;华为手机;无线耳机;小米概念;机器人概念;消费电子概念;物联网;同花顺果指数;AI眼镜;智能穿戴;华为概念;苹果概念;无人机;5G;深股通;融资融券;智能家居,24
301070.SZ,301070,33,东数西算(算力);华为昇腾;比亚迪概念;无人驾驶;光伏概念;储能;锂电池概念;智慧政务;高端装备;DeepSeek概念;人工智能;回购增持再贷款概念;绿色电力;智能医疗;融资融券,15
301292.SZ,301292,33,钠离子电池;固态电池;锂电池概念;比亚迪概念;新能源汽车;专精特新;深股通;融资融券,8
300686.SZ,300686,33,富士康概念;OLED;柔性屏(折叠屏);消费电子概念;智能穿戴;小米概念;比亚迪概念;新能源汽车;华为概念;虚拟现实;机器人概念;固态电池;石墨烯;回购增持再贷款概念,14
688612.SH,688612,17,飞行汽车(eVTOL);无线充电;长安汽车概念;新能源汽车;低空经济;华为概念;粤港澳大湾区;回购增持再贷款概念;高压快充;充电桩;沪股通;融资融券,12
301150.SZ,301150,33,PET铜箔;固态电池;宁德时代概念;锂电池概念;PCB概念;比亚迪概念;储能;专精特新;深股通;融资融券,10
605098.SH,605098,17,高股息精选;在线教育;职业教育;DeepSeek概念;AI应用;沪股通,6
688195.SH,688195,17,共封装光学(CPO);光纤概念;光刻机;量子科技;AI眼镜;数据中心;芯片概念;商业航天;卫星导航;专精特新;无人驾驶;华为概念;福建自贸区;海峡两岸;医疗器械概念;独角兽概念;沪股通;股权转让(并购重组);融资融券,19
001389.SZ,001389,33,共封装光学(CPO);PCB概念;富士康概念;AI PC;5G;消费电子概念;汽车电子;数据中心;商业航天;华为概念;卫星导航;机器人概念;安防;粤港澳大湾区;人民币贬值受益;人工智能;一带一路;2026一季报预增;深股通;融资融券,20
688655.SH,688655,17,共封装光学(CPO);PCB概念;5G;汽车电子;智能穿戴;专精特新;智能座舱;新能源汽车;粤港澳大湾区;机器人概念;医疗器械概念;绿色电力;股权转让(并购重组);融资融券,14
688597.SH,688597,17,特高压;智能电网;电力物联网;虚拟电厂;高压快充;充电桩;储能;机器人概念;碳交易;军工;无人机;数字孪生;低空经济;智慧城市;京津冀一体化;空间计算;人工智能;时空大数据;数据要素;融资融券,20
002986.SZ,002986,33,可降解塑料;回购增持再贷款概念;粤港澳大湾区;深股通,4
001286.SZ,001286,33,煤炭概念;超超临界发电;国企改革;西部大开发;回购增持再贷款概念;充电桩;换电概念;高股息精选;深股通;融资融券,10
603105.SH,603105,17,光伏建筑一体化;绿色电力;虚拟电厂;光伏概念;储能;充电桩;回购增持再贷款概念;共同富裕示范区;长三角一体化;沪股通;融资融券,11
301183.SZ,301183,33,F5G概念;共封装光学(CPO);华为手机;6G概念;消费电子概念;汽车电子;小米概念;虚拟现实;专精特新;2025年报预增;华为概念;无人驾驶;深股通;融资融券,14
002392.SZ,002392,33,特钢概念;芯片概念;人工智能;回购增持再贷款概念;小金属概念;AI智能体;中俄贸易概念;锂电池概念;固态电池;碳中和;参股券商;深股通,12
688511.SH,688511,17,军民融合;军工;军工信息化;商业航天;专精特新;锂电池概念;人工智能;西部大开发;融资融券;摘帽,10
002458.SZ,002458,33,养鸡;猪肉;乳业;回购增持再贷款概念;深股通;融资融券,6
000911.SZ,000911,33,土地流转;冷链物流;国企改革;西部大开发;智能物流,5
301608.SZ,301608,33,移动支付;人工智能;物联网;腾讯概念;DeepSeek概念;百度概念;车联网(车路协同);智能家居;蚂蚁集团概念;无人驾驶;专精特新;智能穿戴;智能物流;汽车电子;网约车;换电概念;消费电子概念;卫星导航;共享单车;两轮车;深股通;融资融券,22
688450.SH,688450,17,光纤概念;MR(混合现实);物联网;地下管网;工业互联网;机器人概念;传感器;人工智能;风电;智能电网;柔性直流输电;融资融券,12
301389.SZ,301389,33,PET铜箔;富士康概念;苹果概念;消费电子概念;汽车电子;智能穿戴;智能座舱;专精特新;新能源汽车;海峡两岸;股权转让(并购重组);深股通;融资融券,13
300225.SZ,300225,33,ST板块;创投,2
603608.SH,603608,17,C2M概念;抖音概念(字节概念);AIGC概念;粤港澳大湾区;跨境电商;网红经济;股权转让(并购重组);摘帽,8
300529.SZ,300529,33,医药电商;肝炎概念;医疗器械概念;横琴新区;深股通;融资融券,6
003006.SZ,003006,33,三胎概念;西部大开发;深股通,3
002709.SZ,002709,33,钠离子电池;氟化工概念;动力电池回收;固态电池;锂电池概念;宁德时代概念;有机硅概念;PEEK材料;特斯拉概念;同花顺漂亮100;比亚迪概念;2025年报预增;回购增持再贷款概念;深股通;融资融券,15
002436.SZ,002436,33,PCB概念;共封装光学(CPO);存储芯片;先进封装;芯片概念;5G;毫米波雷达;6G概念;军工;商业航天;机器人概念;华为概念;低空经济;粤港澳大湾区;深股通;融资融券,16
603135.SH,603135,17,新型工业化;高端装备;机器人概念;中俄贸易概念;数字经济;沪股通;融资融券,7
688677.SH,688677,17,医疗器械概念;专精特新;人民币贬值受益;融资融券;沪股通,5
002856.SZ,002856,33,新型城镇化;粤港澳大湾区;垃圾分类;国企改革,4
603399.SH,603399,17,小金属概念;固态电池;锂电池概念;股权转让(并购重组);专精特新;沪股通;融资融券,7
688772.SH,688772,17,钠离子电池;固态电池;锂电池概念;人形机器人;新能源汽车;飞行汽车(eVTOL);储能;同花顺果指数;小米概念;机器人概念;消费电子概念;华为手机;智能穿戴;粤港澳大湾区;家用电器;低空经济;无人机;苹果概念;人民币贬值受益;华为概念;回购增持再贷款概念;DeepSeek概念;融资融券;沪股通,24
603268.SH,603268,17,股权转让(并购重组);高端装备;人民币贬值受益;在线教育;海工装备;跨境电商;摘帽,7
002430.SZ,002430,33,煤化工概念;可控核聚变;天然气;商业航天;氢能源;高压氧舱;超导概念;高端装备;储能;回购增持再贷款概念;一带一路;芯片概念;存储芯片;国企改革;深股通;融资融券,16
688282.SH,688282,17,卫星导航;商业航天;军民融合;军工;无人机;无人驾驶;专精特新;融资融券;摘帽,9
300165.SZ,300165,33,工业大麻;土壤修复;污水处理;食品安全;锂电池概念;医疗器械概念;专精特新;华为概念;摘帽,9
002407.SZ,002407,33,钠离子电池;氟化工概念;固态电池;动力电池回收;PVDF概念;锂电池概念;硅能源;特斯拉概念;储能;比亚迪概念;新能源汽车;回购增持再贷款概念;中芯国际概念;第三代半导体;工业互联网;创投;芯片概念;存储芯片;数字孪生;独角兽概念;融资融券;深股通,22
600072.SH,600072,17,中船系;PPP概念;氢能源;风电;海工装备;绿色电力;国产航母;国企改革;央企国企改革;储能;高端装备;同花顺中特估100;工业互联网;沪股通;中字头股票;融资融券,16
300632.SZ,300632,33,MiniLED;第三代半导体;柔性屏(折叠屏);先进封装;富士康概念;OLED;AI眼镜;汽车电子;PET铜箔;5G;消费电子概念;PCB概念;智能穿戴;芯片概念;无线耳机;传感器;无人机;脑机接口;人形机器人;无人驾驶;比亚迪概念;机器人概念;福建自贸区;海峡两岸;鸿蒙概念;医美概念;充电桩;家用电器;固态电池;储能;人民币贬值受益;锂电池概念;养老概念;一带一路;消毒剂,35
300076.SZ,300076,33,虚拟现实;智慧城市;安防;MiniLED;专精特新;MicroLED概念;智能电网;OLED;国企改革,9
600301.SH,600301,17,金属铅;金属锌;金属铜;小金属概念;西部大开发;DeepSeek概念;国企改革;沪股通,8
688312.SH,688312,17,PCB概念;苹果概念;5G;消费电子概念;芯片概念;专精特新;传感器;机器视觉;粤港澳大湾区;人工智能;融资融券,11
600118.SH,600118,17,卫星导航;商业航天;军民融合;国产航母;6G概念;大飞机;军工;无人机;低空经济;中字头股票;人工智能;智能医疗;高端装备;水利;央企国企改革;京津冀一体化;芯片概念;一带一路;国企改革;沪股通;融资融券,21
605188.SH,605188,17,预制菜;冷链物流;智能物流;沪股通,4
300953.SZ,300953,33,人形机器人;小米汽车;新能源汽车;比亚迪概念;宁德时代概念;小米概念;机器人概念;储能;锂电池概念;飞行汽车(eVTOL);2025年报预增;低空经济;一带一路;2026一季报预增;深股通;融资融券,16
603958.SH,603958,17,消费电子概念;3D打印;华为概念;海峡两岸;DeepSeek概念;机器人概念;股权转让(并购重组),7
600644.SH,600644,17,天然气;绿色电力;虚拟电厂;污水处理;地下管网;参股银行;充电桩;西部大开发;储能;乡村振兴;光伏概念;沪股通;融资融券,13
688485.SH,688485,17,芯片概念;专精特新;京津冀一体化;融资融券,4
002668.SZ,002668,33,跨境电商;家用电器;智能家居;一带一路;人民币贬值受益;人工智能;深股通;融资融券,8
002887.SZ,002887,33,足球概念;土壤修复;污水处理;新型城镇化;PPP概念;露营经济;体育产业;碳交易;雄安新区;碳中和;乡村振兴;水利;冰雪产业;旅游概念;京津冀一体化;IP经济(谷子经济),16
300649.SZ,300649,33,新型城镇化;雄安新区;水利;共同富裕示范区;PPP概念;碳中和;IP经济(谷子经济);区块链,8
000962.SZ,000962,33,小金属概念;超导概念;超级电容;可控核聚变;航空发动机;3D打印;核电;商业航天;芯片概念;央企国企改革;西部大开发;国企改革;深股通,13
600251.SH,600251,17,化肥;盐湖提锂;生态农业;土地流转;农村电商;农业种植;新疆振兴;绿色电力;西部大开发;国企改革;乡村振兴;2025年报预增;中俄贸易概念;食品安全;数字乡村;融资融券;沪股通,17
002636.SZ,002636,33,PCB概念;2025年报预增;消毒剂;医疗器械概念;深股通;融资融券,6
300101.SZ,300101,33,卫星导航;商业航天;军工;时空大数据;国产航母;军民融合;无人机;5G;芯片概念;智慧城市;人工智能;机器视觉;物联网;专精特新;机器人概念;回购增持再贷款概念;西部大开发;深股通;融资融券,19
603083.SH,603083,17,共封装光学(CPO);F5G概念;液冷服务器;WiFi 6;5G;华为概念;2025年报预增;物联网;工业互联网;人民币贬值受益;智能家居;一带一路;沪股通;融资融券,14
002466.SZ,002466,33,盐湖提锂;动力电池回收;固态电池;锂电池概念;化肥;特斯拉概念;新能源汽车;西部大开发;同花顺漂亮100;证金持股;深股通;融资融券;2026一季报预增,13
300641.SZ,300641,33,锂电池概念;深股通;融资融券,3
601512.SH,601512,17,参股券商;新型城镇化;国企改革;污水处理;一带一路;创投;长三角一体化;绿色电力;2025年报预增;储能;光伏概念;充电桩;沪股通,13
605598.SH,605598,17,商业航天;卫星导航;钙钛矿电池;无人机;一带一路;土壤修复;人民币贬值受益;沪股通,8
603319.SH,603319,17,汽车电子;人形机器人;减速器;汽车热管理;特斯拉概念;PEEK材料;比亚迪概念;新能源汽车;液冷服务器;长安汽车概念;机器人概念;飞行汽车(eVTOL);无人驾驶;低空经济;智能物流;腾讯概念;蚂蚁集团概念;一带一路;期货概念;沪股通;融资融券,21
002774.SZ,002774,33,中俄贸易概念;物联网;一带一路;粤港澳大湾区;人工智能,5
300489.SZ,300489,33,先进封装;核污染防治;新能源汽车;第三代半导体;无人驾驶;无人机;军工;核电;低空经济;氢能源;深股通,11
688668.SH,688668,17,铜缆高速连接;英伟达概念;液冷服务器;光纤概念;5G;机器视觉;商业航天;比亚迪概念;新能源汽车;2025年报预增;长安汽车概念;融资融券;沪股通,13
600389.SH,600389,17,草甘膦;磷化工;乡村振兴;2025年报预增;融资融券;沪股通,6
603693.SH,603693,17,绿色电力;生物质能发电;风电;储能;充电桩;国企改革;海工装备;钠离子电池;沪股通;融资融券,10
002629.SZ,002629,33,页岩气;俄乌冲突概念;天然气;光伏概念,4
002763.SZ,002763,33,跨境电商,1
002552.SZ,002552,33,黄金概念;2026一季报预增;PCB概念;股权转让(并购重组);国企改革;5G;互联网金融;深股通,8
600730.SH,600730,17,物业管理;创投;化债概念(AMC概念);人工智能;参股券商;信创;职业教育;在线教育;DeepSeek概念;国企改革;AI应用;融资融券;沪股通;股权转让(并购重组),14
000026.SZ,000026,33,商业航天;央企国企改革;机器人概念;智能穿戴;减速器;国企改革;人形机器人;深股通,8
